Band Value,NDTI Count
-0.287,1
-0.285,
-0.283,
-0.281,
-0.279,
-0.277,
-0.275,
-0.273,
-0.271,
-0.27,
-0.268,
-0.266,
-0.264,
-0.262,
-0.26,
-0.258,
-0.256,
-0.254,
-0.252,
-0.25,
-0.248,
-0.246,
-0.244,
-0.242,
-0.24,
-0.238,
-0.236,1
-0.234,1
-0.232,
-0.23,
-0.229,
-0.227,
-0.225,
-0.223,
-0.221,2
-0.219,1
-0.217,
-0.215,
-0.213,
-0.211,
-0.209,
-0.207,
-0.205,
-0.203,
-0.201,1
-0.199,3
-0.197,4
-0.195,5
-0.193,7
-0.191,10
-0.189,8
-0.188,27
-0.186,35
-0.184,47
-0.182,54
-0.18,69
-0.178,74
-0.176,79
-0.174,86
-0.172,95
-0.17,117
-0.168,136
-0.166,103
-0.164,135
-0.162,116
-0.16,106
-0.158,127
-0.156,89
-0.154,108
-0.152,108
-0.15,121
-0.148,103
-0.146,104
-0.145,107
-0.143,112
-0.141,95
-0.139,93
-0.137,84
-0.135,86
-0.133,84
-0.131,96
-0.129,65
-0.127,80
-0.125,49
-0.123,60
-0.121,43
-0.119,56
-0.117,37
-0.115,40
-0.113,26
-0.111,31
-0.109,29
-0.107,33
-0.105,34
-0.104,21
-0.102,26
-0.1,30
-0.098,26
-0.096,22
-0.094,28
-0.092,29
-0.09,22
-0.088,13
-0.086,18
-0.084,27
-0.082,21
-0.08,14
-0.078,22
-0.076,15
-0.074,19
-0.072,15
-0.07,14
-0.068,15
-0.066,6
-0.064,17
-0.063,11
-0.061,2
-0.059,10
-0.057,14
-0.055,3
-0.053,1
-0.051,7
-0.049,6
-0.047,4
-0.045,5
-0.043,2
-0.041,2
-0.039,9
-0.037,4.02
-0.035,2
-0.033,2
-0.031,3
-0.029,4
-0.027,2
-0.025,3
-0.023,5
-0.021,5
-0.02,2
-0.018,6.788
-0.016,4
-0.014,2
-0.012,1
-0.01,5
-0.008,3
-0.006,2
-0.004,2
-0.002,2
0,2
0.002,1
0.004,3
0.006,2
0.008,
0.01,1
0.012,2
0.014,3
0.016,2
0.018,1
0.02,
0.021,
0.023,2
0.025,
0.027,
0.029,
0.031,
0.033,
0.035,
0.037,1
0.039,
0.041,
0.043,1
0.045,
0.047,
0.049,
0.051,
0.053,
0.055,
0.057,
0.059,
0.061,
0.063,
0.064,
0.066,1
