Band Value,NDTI Count
-0.225,1
-0.223,1
-0.221,6
-0.219,2
-0.217,23
-0.215,18
-0.213,42
-0.211,49
-0.209,58
-0.207,67
-0.205,81
-0.203,74
-0.201,83
-0.199,63
-0.197,68
-0.195,56
-0.193,53
-0.191,27
-0.189,30
-0.188,26
-0.186,20
-0.184,25
-0.182,15
-0.18,19
-0.178,12
-0.176,12
-0.174,12
-0.172,15
-0.17,17
-0.168,8
-0.166,9
-0.164,12
-0.162,15
-0.16,24
-0.158,19
-0.156,24
-0.154,28
-0.152,34
-0.15,60
-0.148,60
-0.146,51
-0.145,59
-0.143,81
-0.141,66
-0.139,62
-0.137,62
-0.135,44
-0.133,29
-0.131,37
-0.129,32
-0.127,36
-0.125,20
-0.123,22
-0.121,22
-0.119,23
-0.117,26
-0.115,23
-0.113,22
-0.111,25
-0.109,31
-0.107,23
-0.105,37
-0.104,32
-0.102,32
-0.1,41
-0.098,45
-0.096,58
-0.094,62
-0.092,66
-0.09,66
-0.088,51
-0.086,72
-0.084,63
-0.082,52
-0.08,53
-0.078,63
-0.076,65
-0.074,53
-0.072,45
-0.07,41
-0.068,35
-0.066,44
-0.064,43
-0.063,30
-0.061,20
-0.059,29
-0.057,21
-0.055,30
-0.053,29
-0.051,25
-0.049,15
-0.047,16
-0.045,13
-0.043,16
-0.041,17
-0.039,12
-0.037,12
-0.035,10
-0.033,8
-0.031,2
-0.029,13
-0.027,6
-0.025,7
-0.023,5
-0.021,15
-0.02,3
-0.018,7
-0.016,4
-0.014,4
-0.012,3
-0.01,4
-0.008,6
-0.006,11
-0.004,3
-0.002,4
0,2
0.002,2
0.004,
0.006,3
0.008,1
0.01,4
0.012,1
0.014,2
0.016,3
0.018,1
0.02,1
0.021,4
0.023,2
0.025,1
0.027,
0.029,
0.031,2
0.033,2
0.035,
0.037,1
0.039,
0.041,
0.043,
0.045,
0.047,
0.049,1
0.051,
0.053,
0.055,
0.057,
0.059,2
0.061,1
0.063,1
0.064,
0.066,
0.068,1
0.07,
0.072,1
0.074,1
0.076,
0.078,
0.08,1
