Band Value,NDTI Count
-0.199,1
-0.197,
-0.195,
-0.193,
-0.191,
-0.189,
-0.188,
-0.186,
-0.184,
-0.182,
-0.18,
-0.178,
-0.176,
-0.174,
-0.172,
-0.17,
-0.168,4.831
-0.166,
-0.164,2
-0.162,2
-0.16,11
-0.158,14.816
-0.156,33
-0.154,38
-0.152,52
-0.15,56
-0.148,71
-0.146,76
-0.145,78
-0.143,61
-0.141,54
-0.139,45
-0.137,45
-0.135,24
-0.133,32
-0.131,14
-0.129,20
-0.127,36
-0.125,43
-0.123,48
-0.121,45
-0.119,60
-0.117,58
-0.115,69.027
-0.113,39
-0.111,56
-0.109,45
-0.107,33
-0.105,36
-0.104,30
-0.102,28
-0.1,35
-0.098,21
-0.096,28
-0.094,31
-0.092,33
-0.09,24
-0.088,26
-0.086,42
-0.084,45
-0.082,41
-0.08,48
-0.078,60
-0.076,64
-0.074,71
-0.072,71
-0.07,59
-0.068,67
-0.066,43
-0.064,25
-0.063,38
-0.061,26
-0.059,19
-0.057,15
-0.055,23
-0.053,17
-0.051,16
-0.049,20
-0.047,14
-0.045,11
-0.043,15
-0.041,7
-0.039,16
-0.037,6
-0.035,13
-0.033,8
-0.031,7
-0.029,8
-0.027,9
-0.025,8
-0.023,8
-0.021,10
-0.02,10
-0.018,3
-0.016,2
-0.014,5
-0.012,6
-0.01,3
-0.008,5
-0.006,3
-0.004,5
-0.002,3
0,1
0.002,3
0.004,5
0.006,2
0.008,1
0.01,3
0.012,2
0.014,2
0.016,8
0.018,1
0.02,2
0.021,4
0.023,2
0.025,1
0.027,3
0.029,
0.031,2
0.033,1
0.035,2
0.037,1
0.039,
0.041,
0.043,
0.045,
0.047,
0.049,
0.051,
0.053,
0.055,
0.057,
0.059,
0.061,
0.063,1
