Band Value,NDTI Count
-0.195,1
-0.193,
-0.191,
-0.189,
-0.188,
-0.186,
-0.184,
-0.182,
-0.18,
-0.178,
-0.176,
-0.174,
-0.172,
-0.17,
-0.168,
-0.166,
-0.164,
-0.162,
-0.16,
-0.158,
-0.156,
-0.154,
-0.152,
-0.15,
-0.148,
-0.146,
-0.145,
-0.143,
-0.141,
-0.139,
-0.137,1
-0.135,
-0.133,
-0.131,
-0.129,
-0.127,
-0.125,
-0.123,1
-0.121,
-0.119,
-0.117,2
-0.115,
-0.113,1
-0.111,1
-0.109,
-0.107,
-0.105,
-0.104,2
-0.102,
-0.1,2
-0.098,2
-0.096,3.831
-0.094,3
-0.092,2
-0.09,3
-0.088,6.816
-0.086,6
-0.084,16
-0.082,24
-0.08,38
-0.078,69
-0.076,92
-0.074,86
-0.072,106
-0.07,93
-0.068,69
-0.066,57.027
-0.064,70
-0.063,52
-0.061,51
-0.059,73
-0.057,69
-0.055,74
-0.053,79
-0.051,77
-0.049,62
-0.047,70
-0.045,56
-0.043,68
-0.041,35
-0.039,37
-0.037,35
-0.035,35.557
-0.033,33
-0.031,39
-0.029,33
-0.027,25
-0.025,28.02
-0.023,18
-0.021,24
-0.02,16
-0.018,11
-0.016,19
-0.014,17
-0.012,21
-0.01,29
-0.008,19
-0.006,11
-0.004,21
-0.002,5
0,8
0.002,7
0.004,7
0.006,1
0.008,2
0.01,
0.012,
0.014,1
0.016,2.843
0.018,
0.02,
0.021,2
0.023,
0.025,1
0.027,
0.029,4
0.031,
0.033,0.788
0.035,
0.037,
0.039,
0.041,
0.043,
0.045,
0.047,
0.049,
0.051,
0.053,
0.055,
0.057,1
0.059,
0.061,
0.063,
0.064,
0.066,
0.068,
0.07,
0.072,
0.074,
0.076,
0.078,
0.08,1
