Band Value,NDTI Count
-0.264,1
-0.262,
-0.26,
-0.258,
-0.256,
-0.254,
-0.252,
-0.25,
-0.248,
-0.246,1
-0.244,
-0.242,1
-0.24,
-0.238,
-0.236,
-0.234,2
-0.232,1
-0.23,
-0.229,
-0.227,
-0.225,1
-0.223,
-0.221,2
-0.219,1
-0.217,
-0.215,
-0.213,3
-0.211,
-0.209,
-0.207,
-0.205,1
-0.203,2
-0.201,2
-0.199,2
-0.197,
-0.195,3
-0.193,
-0.191,
-0.189,
-0.188,
-0.186,
-0.184,
-0.182,
-0.18,
-0.178,
-0.176,
-0.174,
-0.172,
-0.17,1
-0.168,
-0.166,
-0.164,
-0.162,1
-0.16,
-0.158,
-0.156,
-0.154,
-0.152,
-0.15,1
-0.148,2
-0.146,
-0.145,
-0.143,2
-0.141,5
-0.139,1
-0.137,4
-0.135,6
-0.133,3
-0.131,9
-0.129,11
-0.127,19
-0.125,17
-0.123,19
-0.121,24
-0.119,20
-0.117,23
-0.115,22
-0.113,23
-0.111,24
-0.109,38
-0.107,27
-0.105,33
-0.104,23
-0.102,21
-0.1,33
-0.098,14
-0.096,19
-0.094,25.831
-0.092,20.816
-0.09,12
-0.088,23
-0.086,23
-0.084,9
-0.082,23
-0.08,17
-0.078,8
-0.076,10
-0.074,10
-0.072,14.027
-0.07,17
-0.068,24
-0.066,9
-0.064,7
-0.063,15
-0.061,15
-0.059,11.114
-0.057,15
-0.055,20.843
-0.053,17
-0.051,15
-0.049,13
-0.047,15
-0.045,12
-0.043,28
-0.041,16
-0.039,17
-0.037,25
-0.035,46
-0.033,37
-0.031,34
-0.029,45
-0.027,44.467
-0.025,60.02
-0.023,50
-0.021,80.541
-0.02,98
-0.018,88.494
-0.016,108.992
-0.014,102
-0.012,91.8
-0.01,107
-0.008,79
-0.006,95
-0.004,95.816
-0.002,58
0,83
0.002,66
0.004,67
0.006,59.02
0.008,56
0.01,44
0.012,42
0.014,34
0.016,23
0.018,20
0.02,11
0.021,8
0.023,9
0.025,6
0.027,8
0.029,7
0.031,6
0.033,
0.035,1
0.037,4
0.039,
0.041,
0.043,1
0.045,
0.047,
0.049,2
0.051,2
0.053,
0.055,
0.057,
0.059,
0.061,
0.063,
0.064,
0.066,
0.068,
0.07,
0.072,
0.074,
0.076,
0.078,
0.08,
0.082,
0.084,
0.086,
0.088,
0.09,
0.092,
0.094,
0.096,
0.098,
0.1,
0.102,
0.104,
0.105,
0.107,
0.109,1
