Band Value,NDTI Count
-0.227,1
-0.225,
-0.223,
-0.221,
-0.219,
-0.217,
-0.215,
-0.213,
-0.211,
-0.209,1
-0.207,
-0.205,3.831
-0.203,4
-0.201,1
-0.199,4
-0.197,3
-0.195,3.929
-0.193,2
-0.191,2
-0.189,3.027
-0.188,3
-0.186,3
-0.184,3
-0.182,5
-0.18,2
-0.178,6
-0.176,8
-0.174,9
-0.172,10
-0.17,5
-0.168,10
-0.166,5
-0.164,11
-0.162,6
-0.16,11
-0.158,8
-0.156,14
-0.154,16
-0.152,10
-0.15,9
-0.148,10
-0.146,18
-0.145,10
-0.143,17
-0.141,21
-0.139,17
-0.137,9
-0.135,21
-0.133,17
-0.131,23
-0.129,14
-0.127,13
-0.125,24
-0.123,10
-0.121,9
-0.119,7
-0.117,15
-0.115,15
-0.113,9
-0.111,13
-0.109,23
-0.107,10
-0.105,16
-0.104,13
-0.102,9
-0.1,16
-0.098,8
-0.096,8
-0.094,9
-0.092,3
-0.09,14
-0.088,5
-0.086,9
-0.084,6
-0.082,9
-0.08,5
-0.078,6
-0.076,6
-0.074,4
-0.072,10
-0.07,7
-0.068,11
-0.066,14
-0.064,19
-0.063,21
-0.061,22
-0.059,30
-0.057,24
-0.055,42.8
-0.053,53
-0.051,53
-0.049,76
-0.047,91.102
-0.045,75
-0.043,93.831
-0.041,93.18
-0.039,120.478
-0.037,113.918
-0.035,137.451
-0.033,113.569
-0.031,119.906
-0.029,117
-0.027,125.282
-0.025,104.973
-0.023,99.498
-0.021,117.851
-0.02,110.718
-0.018,82.122
-0.016,87.82
-0.014,95.839
-0.012,101
-0.01,90.498
-0.008,85
-0.006,81.843
-0.004,71.09
-0.002,66
0,49
0.002,52
0.004,76
0.006,48
0.008,64
0.01,42.02
0.012,38
0.014,34
0.016,42
0.018,42
0.02,25
0.021,50
0.023,31
0.025,46
0.027,41
0.029,47
0.031,34.671
0.033,38
0.035,52
0.037,43
0.039,52
0.041,46
0.043,36
0.045,56
0.047,41
0.049,35
0.051,34
0.053,35
0.055,22
0.057,25
0.059,28
0.061,26
0.063,18
0.064,11
0.066,12
0.068,16
0.07,18
0.072,9
0.074,9
0.076,8
0.078,3
0.08,5
0.082,3
0.084,7
0.086,3
0.088,2
0.09,3
0.092,2
0.094,4
0.096,3
0.098,1
0.1,
0.102,
0.104,5
0.105,2
0.107,1
0.109,1
0.111,
0.113,1
0.115,
0.117,1
0.119,
0.121,
0.123,
0.125,
0.127,
0.129,1
0.131,
0.133,
0.135,1
