Band Value,NDTI Count
-0.195,1
-0.194,
-0.193,
-0.192,
-0.191,
-0.19,
-0.189,1
-0.188,
-0.188,1
-0.187,
-0.186,
-0.185,3
-0.184,
-0.183,2
-0.182,3
-0.181,3
-0.18,12
-0.179,4
-0.178,10
-0.177,9
-0.176,9
-0.175,7
-0.174,17
-0.173,13
-0.172,24
-0.171,34
-0.17,32
-0.169,26
-0.168,38
-0.167,35
-0.166,53
-0.165,54
-0.164,45
-0.163,54
-0.162,65
-0.161,70.831
-0.16,66
-0.159,86
-0.158,86
-0.157,64
-0.156,77
-0.155,77
-0.154,92
-0.153,65
-0.152,70
-0.151,79
-0.15,79
-0.149,85
-0.148,69
-0.147,83
-0.146,88
-0.146,99
-0.145,70
-0.144,60
-0.143,77
-0.142,64
-0.141,67
-0.14,92
-0.139,66
-0.138,72
-0.137,59
-0.136,53.816
-0.135,78
-0.134,67
-0.133,87
-0.132,66
-0.131,77
-0.13,76
-0.129,77
-0.128,76
-0.127,73
-0.126,85
-0.125,79
-0.124,67
-0.123,66
-0.122,62
-0.121,68
-0.12,72
-0.119,69
-0.118,75
-0.117,53
-0.116,78
-0.115,62
-0.114,59
-0.113,62
-0.112,48
-0.111,68
-0.11,62
-0.109,55
-0.108,43
-0.107,39
-0.106,44
-0.105,43
-0.104,29
-0.104,28
-0.103,37
-0.102,44
-0.101,25
-0.1,29
-0.099,27
-0.098,30
-0.097,25
-0.096,25
-0.095,12
-0.094,12
-0.093,12
-0.092,18
-0.091,18
-0.09,11
-0.089,6
-0.088,22
-0.087,14
-0.086,16
-0.085,16
-0.084,4
-0.083,10
-0.082,12
-0.081,9
-0.08,9
-0.079,8
-0.078,5
-0.077,11
-0.076,5
-0.075,10
-0.074,8
-0.073,2
-0.072,3
-0.071,8
-0.07,9
-0.069,3
-0.068,8
-0.067,1
-0.066,3
-0.065,1
-0.064,1
-0.063,2
-0.063,5
-0.062,2
-0.061,3
-0.06,4
-0.059,5
-0.058,7
-0.057,7
-0.056,2
-0.055,4
-0.054,2
-0.053,3
-0.052,3
-0.051,2
-0.05,3
-0.049,1
-0.048,2
-0.047,2
-0.046,
-0.045,2
-0.044,1
-0.043,3
-0.042,4
-0.041,6
-0.04,
-0.039,2
-0.038,3
-0.037,1
-0.036,1
-0.035,
-0.034,2
-0.033,
-0.032,2
-0.031,1
-0.03,3
-0.029,3
-0.028,
-0.027,1
-0.026,2
-0.025,1
-0.024,2
-0.023,2
-0.022,
-0.021,1
-0.021,1
-0.02,3
-0.019,1
-0.018,
-0.017,1
-0.016,1
-0.015,1
-0.014,
-0.013,
-0.012,1
-0.011,
-0.01,
-0.009,
-0.008,2
-0.007,
-0.006,
-0.005,
-0.004,
-0.003,
-0.002,1
-0.001,
0,1
