Band Value,NDTI Count
-0.473,1
-0.469,
-0.465,
-0.461,
-0.457,
-0.453,
-0.449,1
-0.445,
-0.441,
-0.438,
-0.434,
-0.43,
-0.426,
-0.422,
-0.418,
-0.414,1
-0.41,
-0.406,
-0.402,
-0.398,
-0.395,
-0.391,
-0.387,
-0.383,
-0.379,
-0.375,
-0.371,
-0.367,
-0.363,
-0.359,
-0.355,
-0.352,
-0.348,
-0.344,1
-0.34,
-0.336,
-0.332,
-0.328,
-0.324,
-0.32,
-0.316,
-0.313,
-0.309,
-0.305,
-0.301,
-0.297,
-0.293,
-0.289,
-0.285,
-0.281,
-0.277,
-0.273,
-0.27,
-0.266,
-0.262,
-0.258,
-0.254,
-0.25,
-0.246,
-0.242,
-0.238,
-0.234,
-0.23,
-0.227,
-0.223,
-0.219,
-0.215,
-0.211,
-0.207,
-0.203,
-0.199,
-0.195,
-0.191,
-0.188,
-0.184,
-0.18,1
-0.176,1
-0.172,1
-0.168,10
-0.164,33
-0.16,58
-0.156,86
-0.152,106
-0.148,101
-0.145,102
-0.141,120.024
-0.137,165
-0.133,154
-0.129,170
-0.125,146
-0.121,165
-0.117,182
-0.113,211.745
-0.109,234.816
-0.105,363
-0.102,409
-0.098,480
-0.094,382
-0.09,338
-0.086,260
-0.082,167.831
-0.078,185
-0.074,198
-0.07,161.243
-0.066,204
-0.063,287.318
-0.059,273.522
-0.055,364.31
-0.051,410.729
-0.047,460.059
-0.043,449.992
-0.039,448.118
-0.035,362.145
-0.031,282.553
-0.027,243.796
-0.023,184
-0.02,115
-0.016,91
-0.012,56
-0.008,42.855
-0.004,21
0,19
0.004,9
0.008,7
0.012,5
0.016,1
0.02,1
0.023,1
0.027,2
0.031,
0.035,
0.039,1
0.043,
0.047,
0.051,
0.055,
0.059,
0.063,
0.066,
0.07,1
0.074,
0.078,
0.082,
0.086,
0.09,
0.094,
0.098,1
0.102,
0.105,
0.109,
0.113,
0.117,1
0.121,
0.125,
0.129,
0.133,
0.137,
0.141,
0.145,
0.148,
0.152,
0.156,
0.16,
0.164,
0.168,
0.172,
0.176,
0.18,1
