Band Value,NDTI Count
-0.225,1
-0.223,
-0.221,1
-0.219,8
-0.217,1
-0.215,5
-0.213,11
-0.211,19
-0.209,29
-0.207,44
-0.205,56
-0.203,46
-0.201,57
-0.199,55
-0.197,47
-0.195,58
-0.193,52
-0.191,65
-0.189,45
-0.188,55
-0.186,43
-0.184,50
-0.182,56.831
-0.18,46
-0.178,40
-0.176,57
-0.174,49
-0.172,32
-0.17,39
-0.168,43
-0.166,37.816
-0.164,48
-0.162,34
-0.16,32
-0.158,41
-0.156,29
-0.154,37
-0.152,55
-0.15,84
-0.148,77
-0.146,97
-0.145,84
-0.143,73
-0.141,84
-0.139,66
-0.137,94
-0.135,79
-0.133,85
-0.131,75
-0.129,65
-0.127,58
-0.125,45
-0.123,30
-0.121,28
-0.119,36
-0.117,42
-0.115,51
-0.113,51
-0.111,87
-0.109,110
-0.107,138
-0.105,147
-0.104,140
-0.102,148
-0.1,158
-0.098,107
-0.096,81
-0.094,70
-0.092,73
-0.09,73
-0.088,65
-0.086,35
-0.084,42.745
-0.082,37
-0.08,37
-0.078,29
-0.076,31
-0.074,25
-0.072,26
-0.07,22
-0.068,15
-0.066,16
-0.064,22
-0.063,18
-0.061,20
-0.059,16
-0.057,15
-0.055,10
-0.053,16
-0.051,23
-0.049,11
-0.047,8
-0.045,7
-0.043,9
-0.041,4
-0.039,8
-0.037,2
-0.035,8.878
-0.033,4
-0.031,2.082
-0.029,5
-0.027,4
-0.025,3
-0.023,2
-0.021,2.478
-0.02,4
-0.018,3.949
-0.016,3
-0.014,3
-0.012,2
-0.01,
-0.008,1
-0.006,2
-0.004,
-0.002,1
0,1
0.002,3
0.004,
0.006,
0.008,2
0.01,
0.012,
0.014,1
0.016,
0.018,
0.02,
0.021,
0.023,1
0.025,
0.027,
0.029,
0.031,
0.033,
0.035,
0.037,
0.039,
0.041,1
0.043,
0.045,
0.047,
0.049,
0.051,
0.053,
0.055,
0.057,
0.059,
0.061,
0.063,
0.064,
0.066,
0.068,1
0.07,
0.072,
0.074,
0.076,
0.078,
0.08,
0.082,
0.084,
0.086,
0.088,
0.09,
0.092,
0.094,
0.096,
0.098,
0.1,
0.102,
0.104,1
