Band Value,NDWI Count
-0.836,2
-0.828,13
-0.82,239
-0.813,981.318
-0.805,"1,829.145"
-0.797,"3,154.51"
-0.789,"5,402.459"
-0.781,"7,239.204"
-0.773,"8,829.851"
-0.766,"10,619.369"
-0.758,"12,041.094"
-0.75,"13,162.694"
-0.742,"13,760.4"
-0.734,"13,492.537"
-0.727,"13,220.047"
-0.719,"13,230.569"
-0.711,"13,715.792"
-0.703,"14,549.973"
-0.695,"15,459.427"
-0.688,"16,455.675"
-0.68,"17,302.251"
-0.672,"18,706.878"
-0.664,"20,240.98"
-0.656,"20,964.09"
-0.648,"22,067.369"
-0.641,"23,305.231"
-0.633,"24,189.573"
-0.625,"24,155.137"
-0.617,"24,021.812"
-0.609,"24,045.949"
-0.602,"23,517.659"
-0.594,"23,004.169"
-0.586,"22,923.588"
-0.578,"22,174.898"
-0.57,"21,729.067"
-0.563,"21,053.494"
-0.555,"20,231.898"
-0.547,"19,653.588"
-0.539,"18,683.067"
-0.531,"18,201.604"
-0.523,"17,780.831"
-0.516,"16,606.373"
-0.508,"15,556.302"
-0.5,"14,433.349"
-0.492,"13,124.722"
-0.484,"12,044.749"
-0.477,"11,249.6"
-0.469,"10,022.329"
-0.461,"9,180.804"
-0.453,"8,416.71"
-0.445,"7,624.125"
-0.438,"6,883.663"
-0.43,"6,391.576"
-0.422,"5,725.157"
-0.414,"5,250.337"
-0.406,"4,858.486"
-0.398,"4,453.094"
-0.391,"4,140.671"
-0.383,"4,016.184"
-0.375,"3,845.561"
-0.367,"3,642.718"
-0.359,"3,296.043"
-0.352,"2,827.51"
-0.344,"2,433.882"
-0.336,"2,293.612"
-0.328,"2,137.047"
-0.32,"1,886.847"
-0.313,"1,771.016"
-0.305,"1,743.373"
-0.297,"1,649.02"
-0.289,"1,545.843"
-0.281,"1,428.624"
-0.273,"1,395.847"
-0.266,"1,370.361"
-0.258,"1,310.216"
-0.25,"1,216.918"
-0.242,"1,209.302"
-0.234,"1,244.914"
-0.227,"1,170.247"
-0.219,"1,097.122"
-0.211,"1,037.522"
-0.203,"1,070.984"
-0.195,988.616
-0.188,928.22
-0.18,943.51
-0.172,813.467
-0.164,781.118
-0.156,642.282
-0.148,602.267
-0.141,573.035
-0.133,473.643
-0.125,396.812
-0.117,312.8
-0.109,271
-0.102,215.188
-0.094,194
-0.086,144.671
-0.078,89
-0.07,59
-0.063,49
-0.055,41.02
-0.047,38
-0.039,21.788
-0.031,26
-0.023,27
-0.016,31
-0.008,23
0,21
0.008,20
0.016,18
0.023,20
0.031,26
0.039,27
0.047,20
0.055,22
0.063,10
0.07,22
0.078,27
0.086,21
0.094,19
0.102,30
0.109,19
0.117,23
0.125,17
0.133,21
0.141,24
0.148,25
0.156,15
0.164,34
0.172,39
0.18,36
0.188,34
0.195,38
0.203,30
0.211,48
0.219,34
0.227,35
0.234,43
0.242,61
0.25,59
0.258,56
0.266,51
0.273,66
0.281,73
0.289,81
0.297,97
0.305,84
0.313,99
0.32,105
0.328,120
0.336,119
0.344,89
0.352,82
0.359,117
0.367,101
0.375,106
0.383,113
0.391,130
0.398,157
0.406,164
0.414,165
0.422,121
0.43,103
0.438,88
0.445,103
0.453,74
0.461,41
0.469,11
0.477,2
