Band Value,NDWI Count
-0.867,28
-0.859,145
-0.852,416
-0.844,"1,307"
-0.836,"2,966.553"
-0.828,"4,863.537"
-0.82,"7,437.784"
-0.813,"9,712.6"
-0.805,"12,546.216"
-0.797,"15,361.255"
-0.789,"16,986.941"
-0.781,"17,629.408"
-0.773,"18,080.906"
-0.766,"18,246.263"
-0.758,"17,637.773"
-0.75,"16,830.722"
-0.742,"16,138.059"
-0.734,"15,435.435"
-0.727,"14,660.09"
-0.719,"14,165.631"
-0.711,"14,152.259"
-0.703,"14,440.965"
-0.695,"14,876.878"
-0.688,"15,260.741"
-0.68,"15,909.631"
-0.672,"16,464.192"
-0.664,"17,532.071"
-0.656,"18,312.867"
-0.648,"19,038.361"
-0.641,"19,282.294"
-0.633,"19,821.839"
-0.625,"20,099.965"
-0.617,"20,488.89"
-0.609,"20,338.49"
-0.602,"20,517.31"
-0.594,"20,519.176"
-0.586,"20,071.075"
-0.578,"19,314.169"
-0.57,"18,649.804"
-0.563,"17,890.361"
-0.555,"16,851.075"
-0.547,"16,141.302"
-0.539,"15,427.663"
-0.531,"14,487.51"
-0.523,"13,924.627"
-0.516,"12,871.063"
-0.508,"11,803.969"
-0.5,"11,021.788"
-0.492,"10,296.047"
-0.484,"9,533.514"
-0.477,"8,773.024"
-0.469,"8,089.627"
-0.461,"7,527.004"
-0.453,"7,111.314"
-0.445,"6,775.918"
-0.438,"6,267.075"
-0.43,"5,833.855"
-0.422,"5,459.329"
-0.414,"5,096.365"
-0.406,"4,877.925"
-0.398,"4,313.914"
-0.391,"4,124.827"
-0.383,"3,692.075"
-0.375,"3,425.086"
-0.367,"3,177.847"
-0.359,"2,977.216"
-0.352,"2,498.588"
-0.344,"2,323.698"
-0.336,"2,134.404"
-0.328,"1,981.616"
-0.32,"1,762.208"
-0.313,"1,627.565"
-0.305,"1,517.576"
-0.297,"1,440.031"
-0.289,"1,344.573"
-0.281,"1,267.604"
-0.273,"1,245.855"
-0.266,"1,140.141"
-0.258,"1,063.576"
-0.25,979.816
-0.242,963.004
-0.234,929.294
-0.227,913.929
-0.219,880.663
-0.211,827.918
-0.203,753.859
-0.195,756.639
-0.188,700.012
-0.18,762.306
-0.172,627.839
-0.164,526.922
-0.156,435.992
-0.148,413.937
-0.141,329
-0.133,289.8
-0.125,230.043
-0.117,166.192
-0.109,119.671
-0.102,122.843
-0.094,116
-0.086,84
-0.078,63.788
-0.07,65
-0.063,28.02
-0.055,34
-0.047,36
-0.039,31
-0.031,31
-0.023,33
-0.016,23
-0.008,35
0,28
0.008,24
0.016,26
0.023,18
0.031,12
0.039,22
0.047,27
0.055,26
0.063,22
0.07,24
0.078,14
0.086,13
0.094,22
0.102,26
0.109,26
0.117,28
0.125,26
0.133,24
0.141,31
0.148,29
0.156,18
0.164,20
0.172,22
0.18,23
0.188,19
0.195,32
0.203,18
0.211,19
0.219,30
0.227,32
0.234,39
0.242,32
0.25,43
0.258,46
0.266,40
0.273,41
0.281,45
0.289,57
0.297,68
0.305,69
0.313,86
0.32,81
0.328,72
0.336,46
0.344,21
0.352,25
0.359,36
0.367,32
0.375,36
0.383,38
0.391,56
0.398,30
0.406,48
0.414,63
0.422,92
0.43,50
0.438,73
0.445,79
0.453,88
0.461,108
0.469,97
0.477,130
0.484,137
0.492,123
0.5,101
0.508,75
0.516,102
0.523,59
0.531,15
0.539,1
