Band Value,NDWI Count
-0.797,9
-0.789,85
-0.781,197.204
-0.773,476.867
-0.766,917
-0.758,"1,713.596"
-0.75,"2,516.933"
-0.742,"3,418.631"
-0.734,"4,797.251"
-0.727,"5,628.369"
-0.719,"6,261.827"
-0.711,"6,914.396"
-0.703,"7,212.357"
-0.695,"7,499.09"
-0.688,"7,751.753"
-0.68,"7,659.38"
-0.672,"7,821.267"
-0.664,"7,392.02"
-0.656,"7,241.608"
-0.648,"7,260.506"
-0.641,"7,284.608"
-0.633,"7,381.404"
-0.625,"7,375.698"
-0.617,"7,710.965"
-0.609,"7,778.502"
-0.602,"7,873.812"
-0.594,"8,266.063"
-0.586,"8,445.506"
-0.578,"9,024.31"
-0.57,"9,285.357"
-0.563,"9,774.314"
-0.555,"9,897.31"
-0.547,"10,225.62"
-0.539,"10,543.89"
-0.531,"10,743.227"
-0.523,"11,129.208"
-0.516,"11,553.024"
-0.508,"11,590.271"
-0.5,"12,480.494"
-0.492,"12,658.608"
-0.484,"13,258.961"
-0.477,"13,702.761"
-0.469,"13,963.247"
-0.461,"14,683.318"
-0.453,"14,822.212"
-0.445,"15,678.024"
-0.438,"16,773.294"
-0.43,"17,744.549"
-0.422,"18,967.91"
-0.414,"19,872.031"
-0.406,"20,903.455"
-0.398,"21,911.263"
-0.391,"23,178.733"
-0.383,"24,269.11"
-0.375,"25,257.043"
-0.367,"25,645.169"
-0.359,"26,532.122"
-0.352,"27,114.404"
-0.344,"27,244.141"
-0.336,"27,634.725"
-0.328,"27,599.208"
-0.32,"25,852.725"
-0.313,"22,695.09"
-0.305,"18,652.718"
-0.297,"13,748.318"
-0.289,"9,307.576"
-0.281,"5,216.349"
-0.273,"3,168.812"
-0.266,"2,181.035"
-0.258,"1,730.004"
-0.25,"1,458.576"
-0.242,"1,248.631"
-0.234,"1,176.498"
-0.227,"1,061.271"
-0.219,"1,061.612"
-0.211,"1,017.412"
-0.203,937.035
-0.195,920.392
-0.188,865.106
-0.18,828.243
-0.172,811.075
-0.164,677.031
-0.156,537.784
-0.148,478.141
-0.141,395
-0.133,319.8
-0.125,234.004
-0.117,183.714
-0.109,144.188
-0.102,107.675
-0.094,87.843
-0.086,71.808
-0.078,53
-0.07,35
-0.063,32
-0.055,32
-0.047,44
-0.039,33
-0.031,25
-0.023,15
-0.016,26
-0.008,20
0,23
0.008,27
0.016,16
0.023,23
0.031,19
0.039,27
0.047,21
0.055,21
0.063,34
0.07,32
0.078,29
0.086,24
0.094,29
0.102,33
0.109,39
0.117,43
0.125,37
0.133,52
0.141,64
0.148,61
0.156,91
0.164,90
0.172,136
0.18,146
0.188,174
0.195,78
0.203,22
0.211,12
0.219,6
0.227,9
0.234,16
0.242,14
0.25,11
0.258,17
0.266,18
0.273,15
0.281,27
0.289,39
0.297,35
0.305,37
0.313,47
0.32,59
0.328,95
0.336,104
0.344,131
0.352,118
0.359,49
0.367,3
