Band Value,NDWI Count
-0.723,2
-0.719,
-0.715,2
-0.711,3
-0.707,4
-0.703,19
-0.699,29
-0.695,41
-0.691,66
-0.688,89
-0.684,116
-0.68,152
-0.676,154
-0.672,161
-0.668,177
-0.664,194
-0.66,188
-0.656,204
-0.652,232
-0.648,300
-0.645,352
-0.641,369
-0.637,418
-0.633,426
-0.629,465
-0.625,498.545
-0.621,548.012
-0.617,590
-0.613,639.698
-0.609,643.114
-0.605,623
-0.602,695.525
-0.598,760
-0.594,742.694
-0.59,869.463
-0.586,895
-0.582,988.859
-0.578,"1,180.369"
-0.574,"1,189.494"
-0.57,"1,317.89"
-0.566,"1,350.094"
-0.563,"1,503.973"
-0.559,"1,561.514"
-0.555,"1,688.957"
-0.551,"1,779.667"
-0.547,"1,894.514"
-0.543,"2,049.718"
-0.539,"2,174.4"
-0.535,"2,306.173"
-0.531,"2,373.325"
-0.527,"2,600.137"
-0.523,"2,725.584"
-0.52,"2,770.251"
-0.516,"3,061.424"
-0.512,"3,064.141"
-0.508,"3,236.176"
-0.504,"3,325.867"
-0.5,"3,457.91"
-0.496,"3,622.514"
-0.492,"3,726.624"
-0.488,"3,742.933"
-0.484,"4,008.208"
-0.48,"4,004.322"
-0.477,"4,107.224"
-0.473,"4,137.318"
-0.469,"4,313.486"
-0.465,"4,484.02"
-0.461,"4,678.086"
-0.457,"4,679.463"
-0.453,"4,925.09"
-0.449,"4,981.224"
-0.445,"5,385.855"
-0.441,"5,592.141"
-0.438,"5,636.725"
-0.434,"5,655.275"
-0.43,"6,082.322"
-0.426,"6,001.129"
-0.422,"6,295.173"
-0.418,"6,292.133"
-0.414,"6,503.161"
-0.41,"6,769.404"
-0.406,"7,043.475"
-0.402,"7,163.353"
-0.398,"7,321.518"
-0.395,"7,708.882"
-0.391,"7,568.333"
-0.387,"8,022.969"
-0.383,"8,490.455"
-0.379,"8,598.318"
-0.375,"9,060.655"
-0.371,"9,195.063"
-0.367,"9,589.361"
-0.363,"10,140.953"
-0.359,"10,434.714"
-0.355,"10,727.173"
-0.352,"11,493.651"
-0.348,"12,266.792"
-0.344,"13,107.141"
-0.34,"14,092.11"
-0.336,"14,708.494"
-0.332,"15,397.29"
-0.328,"16,707.11"
-0.324,"17,567.039"
-0.32,"19,396.282"
-0.316,"20,508.078"
-0.313,"21,744.2"
-0.309,"23,092.867"
-0.305,"24,322.584"
-0.301,"25,531.243"
-0.297,"26,159.357"
-0.293,"27,034.569"
-0.289,"26,602.306"
-0.285,"25,981.349"
-0.281,"25,374.027"
-0.277,"24,066.675"
-0.273,"22,110.357"
-0.27,"19,927.714"
-0.266,"17,353.608"
-0.262,"14,933.702"
-0.258,"12,235.051"
-0.254,"9,730.408"
-0.25,"7,840.475"
-0.246,"5,873.612"
-0.242,"4,335.373"
-0.238,"3,198.227"
-0.234,"2,416.745"
-0.23,"1,822.671"
-0.227,"1,299.11"
-0.223,"1,151.027"
-0.219,"1,005.729"
-0.215,885.357
-0.211,763.984
-0.207,727.941
-0.203,672.58
-0.199,593.588
-0.195,609.267
-0.191,600.651
-0.188,602.533
-0.184,546.965
-0.18,550.573
-0.176,520.208
-0.172,505.957
-0.168,440.165
-0.164,401.953
-0.16,387.545
-0.156,374
-0.152,332.58
-0.148,291.949
-0.145,281.416
-0.141,279.004
-0.137,212.114
-0.133,181.471
-0.129,203
-0.125,147.969
-0.121,137.188
-0.117,131
-0.113,129
-0.109,103
-0.105,96
-0.102,79
-0.098,85
-0.094,81
-0.09,60
-0.086,74.043
-0.082,57.557
-0.078,34
-0.074,42.02
-0.07,37
-0.066,37
-0.063,32
-0.059,40
-0.055,29.788
-0.051,44
-0.047,25.027
-0.043,45.843
-0.039,33
-0.035,34
-0.031,48
-0.027,50
-0.023,49
-0.02,50
-0.016,62
-0.012,111
-0.008,84
-0.004,68
0,54
0.004,33
0.008,14
0.012,3.831
0.016,5
0.02,4
0.023,8.816
0.027,3
0.031,10
0.035,8
0.039,5
0.043,6
0.047,5
0.051,11
0.055,7
0.059,10
0.063,10
0.066,8
0.07,13
0.074,9
0.078,16
0.082,13
0.086,17
0.09,37
0.094,27
0.098,46
0.102,44
0.105,57
0.109,61
0.113,85
0.117,81
0.121,63
0.125,52
0.129,20
0.133,3
