Band Value,NDWI Count
-0.746,1
-0.742,1
-0.738,4
-0.734,2
-0.73,12
-0.727,37
-0.723,45
-0.719,59
-0.715,63
-0.711,61
-0.707,74
-0.703,80
-0.699,116
-0.695,124
-0.691,146.596
-0.688,152.016
-0.684,149.114
-0.68,170.506
-0.676,181.741
-0.672,197.216
-0.668,199
-0.664,239.91
-0.66,231.431
-0.656,285.698
-0.652,293
-0.648,299.224
-0.645,371.894
-0.641,341.753
-0.637,388.004
-0.633,432.714
-0.629,411
-0.625,462.773
-0.621,514
-0.617,486.012
-0.613,563
-0.609,612
-0.605,576
-0.602,635
-0.598,649.071
-0.594,686.294
-0.59,680.988
-0.586,724.31
-0.582,802.953
-0.578,777
-0.574,850.808
-0.57,838.212
-0.566,919.682
-0.563,955.169
-0.559,"1,037.533"
-0.555,"1,021.745"
-0.551,"1,047.792"
-0.547,"1,128.149"
-0.543,"1,157.886"
-0.539,"1,205.412"
-0.535,"1,185.812"
-0.531,"1,306.949"
-0.527,"1,286"
-0.523,"1,400.757"
-0.52,"1,445.937"
-0.516,"1,466.075"
-0.512,"1,497.098"
-0.508,"1,575.651"
-0.504,"1,649.42"
-0.5,"1,765.039"
-0.496,"1,709.627"
-0.492,"1,851.42"
-0.488,"1,881.525"
-0.484,"1,953.478"
-0.48,"1,988.102"
-0.477,"2,088.106"
-0.473,"2,149.475"
-0.469,"2,088.541"
-0.465,"2,200.263"
-0.461,"2,335.541"
-0.457,"2,285.875"
-0.453,"2,359.506"
-0.449,"2,391.863"
-0.445,"2,355.588"
-0.441,"2,408.533"
-0.438,"2,566.859"
-0.434,"2,606.153"
-0.43,"2,586.286"
-0.426,"2,672.435"
-0.422,"2,678.302"
-0.418,"2,894.502"
-0.414,"3,119.455"
-0.41,"3,131.969"
-0.406,"3,243.098"
-0.402,"3,484.302"
-0.398,"3,466.42"
-0.395,"3,620.741"
-0.391,"3,554.396"
-0.387,"3,830.804"
-0.383,"3,997.051"
-0.379,"4,100.063"
-0.375,"4,368.706"
-0.371,"4,526.282"
-0.367,"4,925.012"
-0.363,"4,984.678"
-0.359,"5,148.447"
-0.355,"5,537.353"
-0.352,"5,939.616"
-0.348,"6,131.467"
-0.344,"6,648.314"
-0.34,"7,010.953"
-0.336,"7,588.298"
-0.332,"8,252.953"
-0.328,"8,883.188"
-0.324,"9,460.255"
-0.32,"10,247.286"
-0.316,"10,910.451"
-0.313,"11,720.855"
-0.309,"12,773.439"
-0.305,"13,687.408"
-0.301,"14,835.153"
-0.297,"15,805.267"
-0.293,"17,387.02"
-0.289,"18,970.624"
-0.285,"20,407.835"
-0.281,"21,860.788"
-0.277,"23,358.004"
-0.273,"25,107.541"
-0.27,"26,818.204"
-0.266,"28,480.698"
-0.262,"30,805.176"
-0.258,"31,859.886"
-0.254,"32,362.596"
-0.25,"32,551.482"
-0.246,"31,944.945"
-0.242,"30,031.09"
-0.238,"27,468.925"
-0.234,"24,632.741"
-0.23,"21,028.059"
-0.227,"17,760.8"
-0.223,"14,389.549"
-0.219,"11,301.482"
-0.215,"8,666.757"
-0.211,"6,824.122"
-0.207,"4,939.541"
-0.203,"3,874.953"
-0.199,"2,962.62"
-0.195,"2,265.592"
-0.191,"1,763.969"
-0.188,"1,426.09"
-0.184,"1,204.118"
-0.18,"1,028.608"
-0.176,985.435
-0.172,971.455
-0.168,894.6
-0.164,846.537
-0.16,804.447
-0.156,858.635
-0.152,760.424
-0.148,739.686
-0.145,715.463
-0.141,689.459
-0.137,605.114
-0.133,584.804
-0.129,514.373
-0.125,479.027
-0.121,436.667
-0.117,400.784
-0.113,355.969
-0.109,308
-0.105,304.004
-0.102,269.024
-0.098,228.886
-0.094,263.208
-0.09,204.043
-0.086,188.188
-0.082,170.8
-0.078,147.969
-0.074,150.557
-0.07,120
-0.066,111
-0.063,104
-0.059,81
-0.055,72.514
-0.051,81
-0.047,50
-0.043,39
-0.039,34
-0.035,28
-0.031,29
-0.027,31
-0.023,32
-0.02,25
-0.016,25.435
-0.012,34
-0.008,32.114
-0.004,44.02
0,48.329
0.004,46
0.008,45
0.012,36
0.016,21.482
0.02,30
0.023,32.467
0.027,36
0.031,35.451
0.035,35
0.039,19
0.043,32.02
0.047,27
0.051,25
0.055,22.51
0.059,23
0.063,8
0.066,25
0.07,21
0.074,25
0.078,17
0.082,22
0.086,19
0.09,26
0.094,24
0.098,22
0.102,19
0.105,19
0.109,20.027
0.113,14
0.117,12
0.121,13
0.125,16
0.129,10
0.133,13
0.137,7.816
0.141,19.831
0.145,5
0.148,2
0.152,1
