Band Value,NDWI Count
-0.859,8
-0.852,18
-0.844,20
-0.836,26
-0.828,30
-0.82,73
-0.813,109
-0.805,141.714
-0.797,184
-0.789,240
-0.781,295
-0.773,372
-0.766,429.545
-0.758,565.416
-0.75,630.067
-0.742,728.682
-0.734,902.11
-0.727,984.369
-0.719,"1,063.314"
-0.711,"1,224.984"
-0.703,"1,286.388"
-0.695,"1,428.62"
-0.688,"1,485.314"
-0.68,"1,637.475"
-0.672,"1,836.827"
-0.664,"1,984.612"
-0.656,"2,162.949"
-0.648,"2,298.447"
-0.641,"2,653.545"
-0.633,"2,812.216"
-0.625,"3,064.506"
-0.617,"3,295.69"
-0.609,"3,596.796"
-0.602,"3,871.306"
-0.594,"4,097.616"
-0.586,"4,431.557"
-0.578,"4,698.102"
-0.57,"5,094.427"
-0.563,"5,526.773"
-0.555,"5,975.314"
-0.547,"6,369.475"
-0.539,"6,923.165"
-0.531,"7,303.047"
-0.523,"7,948.471"
-0.516,"8,420.847"
-0.508,"9,074.682"
-0.5,"10,022.016"
-0.492,"11,060.035"
-0.484,"11,899.078"
-0.477,"12,853.141"
-0.469,"14,451.2"
-0.461,"15,566.729"
-0.453,"17,124.875"
-0.445,"18,408.78"
-0.438,"19,826.808"
-0.43,"21,173.961"
-0.422,"22,488.482"
-0.414,"23,962.204"
-0.406,"25,138.18"
-0.398,"26,115.576"
-0.391,"27,153.298"
-0.383,"27,485.918"
-0.375,"28,272.592"
-0.367,"27,729.373"
-0.359,"27,456.031"
-0.352,"27,363.682"
-0.344,"26,941.396"
-0.336,"26,443.412"
-0.328,"26,028.922"
-0.32,"25,325.153"
-0.313,"24,922.165"
-0.305,"23,854.439"
-0.297,"22,649.741"
-0.289,"21,161.09"
-0.281,"18,924.145"
-0.273,"16,488.973"
-0.266,"13,627"
-0.258,"10,593.055"
-0.25,"8,282.122"
-0.242,"5,979.353"
-0.234,"4,456.569"
-0.227,"3,355.51"
-0.219,"2,590.318"
-0.211,"1,968.729"
-0.203,"1,567.431"
-0.195,"1,266.573"
-0.188,"1,133.992"
-0.18,"1,028.173"
-0.172,864.482
-0.164,891.078
-0.156,837.671
-0.148,841.478
-0.141,849.137
-0.133,806.404
-0.125,778.851
-0.117,818.89
-0.109,758.69
-0.102,693.933
-0.094,638.776
-0.086,623.31
-0.078,609.016
-0.07,498.518
-0.063,525.569
-0.055,482.584
-0.047,492.58
-0.039,457.569
-0.031,433.22
-0.023,459.11
-0.016,432.298
-0.008,403.02
0,384.176
0.008,354.749
0.016,303.8
0.023,282.443
0.031,268.106
0.039,297.984
0.047,248.02
0.055,223.839
0.063,245
0.07,196
0.078,189
0.086,148
0.094,102.718
0.102,102.482
0.109,67.435
0.117,79.608
0.125,80.427
0.133,56
0.141,63
0.148,52.831
0.156,44
0.164,50
0.172,52
0.18,33
0.188,38
0.195,32
0.203,25
0.211,25
0.219,18
0.227,14
0.234,11
0.242,8
0.25,11
0.258,9
0.266,10
0.273,12
0.281,14
0.289,16
0.297,11
0.305,17
0.313,27
0.32,15
0.328,30
0.336,27
0.344,36
0.352,26
0.359,25
0.367,20
0.375,21
0.383,37
0.391,21
0.398,9
0.406,21
0.414,9
0.422,10
0.43,20
0.438,16
0.445,13
0.453,8
0.461,7
0.469,6
0.477,6
0.484,4
0.492,8
0.5,7
0.508,4
0.516,5
0.523,1
0.531,1
