Band Value,NDWI Count
-0.758,10
-0.75,130
-0.742,296
-0.734,550.867
-0.727,757.737
-0.719,784.761
-0.711,"1,066.824"
-0.703,"1,312.722"
-0.695,"1,473.463"
-0.688,"1,609.098"
-0.68,"1,968.18"
-0.672,"2,190.565"
-0.664,"2,566.537"
-0.656,"3,026.706"
-0.648,"4,042.125"
-0.641,"5,085.42"
-0.633,"6,423.067"
-0.625,"8,147.584"
-0.617,"10,369.455"
-0.609,"12,651.286"
-0.602,"15,129.498"
-0.594,"17,806.678"
-0.586,"20,875.51"
-0.578,"23,690.314"
-0.57,"27,184.059"
-0.563,"30,206.416"
-0.555,"32,140.38"
-0.547,"33,630.451"
-0.539,"34,209.533"
-0.531,"34,322.969"
-0.523,"33,597.188"
-0.516,"32,351.459"
-0.508,"30,057.933"
-0.5,"27,255.82"
-0.492,"24,673.157"
-0.484,"22,492.824"
-0.477,"20,483.878"
-0.469,"19,059.204"
-0.461,"17,495.62"
-0.453,"16,867.816"
-0.445,"16,137.196"
-0.438,"15,608.761"
-0.43,"14,845.435"
-0.422,"14,191.329"
-0.414,"13,218.165"
-0.406,"12,950.914"
-0.398,"11,816.941"
-0.391,"11,475.549"
-0.383,"10,982.18"
-0.375,"10,439.761"
-0.367,"10,067.024"
-0.359,"9,629.808"
-0.352,"9,082.318"
-0.344,"8,561.353"
-0.336,"8,426.902"
-0.328,"8,382.102"
-0.32,"8,239.659"
-0.313,"8,161.141"
-0.305,"7,566.976"
-0.297,"7,181.012"
-0.289,"6,321.184"
-0.281,"5,534.518"
-0.273,"4,612.769"
-0.266,"3,930.306"
-0.258,"3,038.518"
-0.25,"2,363.275"
-0.242,"1,884.361"
-0.234,"1,569.588"
-0.227,"1,311.059"
-0.219,"1,223.651"
-0.211,"1,075.129"
-0.203,953.357
-0.195,823.647
-0.188,798.839
-0.18,740.843
-0.172,661.141
-0.164,562.686
-0.156,455.573
-0.148,380.667
-0.141,390.494
-0.133,302.651
-0.125,228.549
-0.117,244.039
-0.109,204.576
-0.102,154.196
-0.094,101.498
-0.086,79
-0.078,59
-0.07,54
-0.063,39
-0.055,29.816
-0.047,35
-0.039,43.831
-0.031,28
-0.023,36
-0.016,34
-0.008,36
0,32
0.008,31
0.016,49
0.023,46
0.031,45
0.039,38
0.047,41
0.055,49
0.063,46
0.07,49
0.078,64
0.086,52
0.094,69
0.102,76
0.109,88
0.117,102
0.125,122
0.133,145
0.141,154
0.148,175
0.156,152
0.164,206
0.172,254
0.18,270
0.188,267
0.195,199
0.203,179
0.211,164
0.219,190
0.227,203
0.234,210
0.242,203
0.25,165
0.258,138
0.266,110
0.273,109
0.281,131
0.289,142
0.297,124
0.305,85
0.313,19
0.32,4
