Band Value,NDWI Count
-0.758,8
-0.75,89
-0.742,220
-0.734,491
-0.727,562.561
-0.719,478.294
-0.711,539.596
-0.703,707.922
-0.695,965.925
-0.688,"1,262.749"
-0.68,"1,595.608"
-0.672,"1,616.671"
-0.664,"1,742.725"
-0.656,"1,728.996"
-0.648,"1,951.294"
-0.641,"1,945.675"
-0.633,"2,058.047"
-0.625,"2,183.514"
-0.617,"2,276.533"
-0.609,"2,583.322"
-0.602,"3,183.086"
-0.594,"3,498.067"
-0.586,"3,962.576"
-0.578,"4,365.976"
-0.57,"5,103.38"
-0.563,"5,792.855"
-0.555,"6,455.843"
-0.547,"7,254.816"
-0.539,"7,984.871"
-0.531,"8,902.133"
-0.523,"9,650.831"
-0.516,"10,375.635"
-0.508,"10,788.008"
-0.5,"11,637.796"
-0.492,"11,958.737"
-0.484,"12,393.953"
-0.477,"12,830.024"
-0.469,"13,324.722"
-0.461,"13,738.024"
-0.453,"14,680.631"
-0.445,"15,256.271"
-0.438,"15,859.051"
-0.43,"16,394.071"
-0.422,"17,134.937"
-0.414,"17,646.039"
-0.406,"18,281.957"
-0.398,"18,866.118"
-0.391,"19,379.686"
-0.383,"19,962.298"
-0.375,"19,617.914"
-0.367,"19,884.682"
-0.359,"19,877.706"
-0.352,"19,925.882"
-0.344,"19,815.016"
-0.336,"19,648.137"
-0.328,"20,128.957"
-0.32,"20,125.659"
-0.313,"20,176.22"
-0.305,"20,355.125"
-0.297,"20,531.137"
-0.289,"20,599.992"
-0.281,"21,242.78"
-0.273,"21,403.812"
-0.266,"21,629.129"
-0.258,"21,405.278"
-0.25,"21,147.863"
-0.242,"20,693.427"
-0.234,"20,348.537"
-0.227,"18,279.647"
-0.219,"15,869.02"
-0.211,"13,197.957"
-0.203,"10,167.91"
-0.195,"7,720.525"
-0.188,"5,687.624"
-0.18,"4,082.553"
-0.172,"2,671.992"
-0.164,"1,966.431"
-0.156,"1,328.224"
-0.148,952.855
-0.141,756.298
-0.133,704.157
-0.125,524.545
-0.117,354.843
-0.109,259.271
-0.102,135.784
-0.094,127
-0.086,98
-0.078,83
-0.07,49
-0.063,50.027
-0.055,28
-0.047,32
-0.039,31
-0.031,26
-0.023,29
-0.016,39
-0.008,19
0,30
0.008,26.816
0.016,26.831
0.023,37
0.031,29
0.039,29
0.047,27
0.055,20
0.063,29
0.07,28
0.078,21
0.086,23
0.094,32
0.102,28
0.109,36
0.117,25
0.125,36
0.133,34
0.141,42
0.148,40
0.156,52
0.164,53
0.172,46
0.18,60
0.188,58
0.195,72
0.203,82
0.211,114
0.219,118
0.227,156
0.234,138
0.242,154
0.25,169
0.258,208
0.266,267
0.273,290
0.281,293
0.289,280
0.297,227
0.305,223
0.313,119
0.32,89
0.328,68
0.336,89
0.344,91
0.352,86
0.359,62
0.367,62
0.375,41
0.383,19
0.391,25
0.398,32
0.406,49
0.414,97
0.422,109
0.43,68
0.438,30
0.445,2
