Band Value,NDWI Count
-0.844,18
-0.836,13
-0.828,42
-0.82,106
-0.813,173
-0.805,224.816
-0.797,473.612
-0.789,896.486
-0.781,"1,171.192"
-0.773,"2,116.522"
-0.766,"3,156.114"
-0.758,"3,921.11"
-0.75,"4,437.545"
-0.742,"5,473.11"
-0.734,"6,071.678"
-0.727,"6,812.749"
-0.719,"7,120.671"
-0.711,"7,731.71"
-0.703,"8,444.773"
-0.695,"8,870.333"
-0.688,"9,586.561"
-0.68,"10,140.475"
-0.672,"10,962.525"
-0.664,"11,444.365"
-0.656,"12,164.29"
-0.648,"12,454.333"
-0.641,"12,913.969"
-0.633,"13,479.533"
-0.625,"13,698.843"
-0.617,"14,333.388"
-0.609,"14,132.922"
-0.602,"14,869.757"
-0.594,"15,720.451"
-0.586,"16,161.259"
-0.578,"16,772.11"
-0.57,"17,225.047"
-0.563,"18,129.914"
-0.555,"18,392.31"
-0.547,"18,461.741"
-0.539,"19,096.82"
-0.531,"19,187.549"
-0.523,"19,211.447"
-0.516,"19,623.863"
-0.508,"19,546.42"
-0.5,"19,591.62"
-0.492,"19,694.925"
-0.484,"20,116.835"
-0.477,"19,820.482"
-0.469,"19,777.502"
-0.461,"19,903.094"
-0.453,"19,221.922"
-0.445,"19,421.333"
-0.438,"19,075.925"
-0.43,"19,077.643"
-0.422,"18,127.804"
-0.414,"17,611.251"
-0.406,"17,458.071"
-0.398,"16,770.518"
-0.391,"15,806.667"
-0.383,"14,651.788"
-0.375,"13,949.992"
-0.367,"12,430.804"
-0.359,"11,151.376"
-0.352,"9,880.161"
-0.344,"8,674.675"
-0.336,"7,080.529"
-0.328,"5,535.376"
-0.32,"4,187.282"
-0.313,"3,200.992"
-0.305,"2,495.773"
-0.297,"1,846.145"
-0.289,"1,601.114"
-0.281,"1,462.31"
-0.273,"1,389.992"
-0.266,"1,390.235"
-0.258,"1,324.075"
-0.25,"1,343.31"
-0.242,"1,280.286"
-0.234,"1,249.294"
-0.227,"1,223.984"
-0.219,"1,175.557"
-0.211,"1,220.027"
-0.203,"1,144.169"
-0.195,"1,076.098"
-0.188,976.898
-0.18,881.725
-0.172,847.91
-0.164,808.259
-0.156,776.494
-0.148,656.718
-0.141,641.345
-0.133,469.376
-0.125,360.518
-0.117,214.671
-0.109,153
-0.102,134.788
-0.094,126.02
-0.086,81.745
-0.078,73.027
-0.07,57
-0.063,19
-0.055,32
-0.047,33
-0.039,31
-0.031,14
-0.023,23
-0.016,24
-0.008,20.816
0,12
0.008,21
0.016,14
0.023,17.831
0.031,10
0.039,10
0.047,18
0.055,17
0.063,14
0.07,16
0.078,15
0.086,21
0.094,20
0.102,19
0.109,17
0.117,16
0.125,18
0.133,19
0.141,14
0.148,17
0.156,23
0.164,27
0.172,14
0.18,28
0.188,20
0.195,26
0.203,23
0.211,20
0.219,22
0.227,40
0.234,39
0.242,25
0.25,25
0.258,31
0.266,45
0.273,49
0.281,34
0.289,62
0.297,68
0.305,77
0.313,55
0.32,67
0.328,89
0.336,88
0.344,89
0.352,87
0.359,103
0.367,151
0.375,160
0.383,165
0.391,204
0.398,246
0.406,191
0.414,192
0.422,144
0.43,57
0.438,30
0.445,27
0.453,22
0.461,21
0.469,34
0.477,25
0.484,39
0.492,36
0.5,24
0.508,35
0.516,51
0.523,47
0.531,66
0.539,53
0.547,51
0.555,51
0.563,57
0.57,74
0.578,79
0.586,99
0.594,109
0.602,131
0.609,103
0.617,36
0.625,2
