Band Value,MNDWI Count
-0.797,1
-0.789,
-0.781,
-0.773,
-0.766,
-0.758,5
-0.75,11
-0.742,28
-0.734,89
-0.727,228
-0.719,614
-0.711,"1,419.812"
-0.703,"2,745.439"
-0.695,"5,297.341"
-0.688,"8,149.98"
-0.68,"11,994.816"
-0.672,"15,661.416"
-0.664,"20,200.039"
-0.656,"24,723.012"
-0.648,"30,148.165"
-0.641,"36,602.706"
-0.633,"43,464.161"
-0.625,"50,146.698"
-0.617,"55,571.91"
-0.609,"58,019.945"
-0.602,"58,172.035"
-0.594,"56,142.78"
-0.586,"52,440.741"
-0.578,"47,586.38"
-0.57,"41,945.09"
-0.563,"36,897.118"
-0.555,"31,111.863"
-0.547,"26,517.271"
-0.539,"22,340.212"
-0.531,"19,219.267"
-0.523,"16,507.867"
-0.516,"14,612.322"
-0.508,"13,282.694"
-0.5,"12,640.047"
-0.492,"12,005.733"
-0.484,"11,713.522"
-0.477,"11,358.251"
-0.469,"11,022.729"
-0.461,"10,548.114"
-0.453,"10,401.49"
-0.445,"9,744.78"
-0.438,"9,571.678"
-0.43,"9,095.031"
-0.422,"8,527.114"
-0.414,"8,333.325"
-0.406,"8,157.576"
-0.398,"8,173.78"
-0.391,"8,048.106"
-0.383,"8,328.392"
-0.375,"7,892.435"
-0.367,"7,672.898"
-0.359,"7,094.765"
-0.352,"6,213.094"
-0.344,"5,197.176"
-0.336,"4,520.212"
-0.328,"3,716.42"
-0.32,"3,123.282"
-0.313,"2,757.471"
-0.305,"2,252.769"
-0.297,"1,968.765"
-0.289,"1,731.635"
-0.281,"1,642.894"
-0.273,"1,657.008"
-0.266,"1,479.804"
-0.258,"1,352.953"
-0.25,"1,373.941"
-0.242,"1,342"
-0.234,"1,298.937"
-0.227,"1,241.639"
-0.219,"1,080.259"
-0.211,"1,094.055"
-0.203,991.478
-0.195,"1,003"
-0.188,892.843
-0.18,919.722
-0.172,832.827
-0.164,821.871
-0.156,789
-0.148,688
-0.141,703
-0.133,644.89
-0.125,609
-0.117,625
-0.109,532.408
-0.102,524.431
-0.094,557.424
-0.086,514.988
-0.078,444.867
-0.07,436.173
-0.063,451.988
-0.055,442.686
-0.047,420.098
-0.039,417.22
-0.031,424.761
-0.023,396.745
-0.016,427.937
-0.008,422.263
0,375.957
0.008,370.188
0.016,353.369
0.023,366.737
0.031,372.835
0.039,345.659
0.047,352.933
0.055,390.106
0.063,393.443
0.07,361.796
0.078,361.941
0.086,374.471
0.094,314.718
0.102,367.286
0.109,370.447
0.117,340.165
0.125,364.125
0.133,372.122
0.141,304.957
0.148,364.655
0.156,342.525
0.164,355.541
0.172,349.012
0.18,378.106
0.188,326.565
0.195,367.035
0.203,387.063
0.211,341.325
0.219,394
0.227,421.635
0.234,402.129
0.242,412.827
0.25,445.51
0.258,428.82
0.266,411.082
0.273,438.82
0.281,457.624
0.289,482.831
0.297,459.729
0.305,472.122
0.313,554.788
0.32,512.02
0.328,546.471
0.336,560.169
0.344,570.282
0.352,617.173
0.359,614.824
0.367,595.459
0.375,707.153
0.383,675.184
0.391,689.227
0.398,767.098
0.406,756.31
0.414,862.204
0.422,837.075
0.43,887.314
0.438,963.533
0.445,926.067
0.453,"1,088.984"
0.461,"1,025.004"
0.469,"1,041.427"
0.477,"1,124.949"
0.484,"1,230.933"
0.492,"1,236.353"
0.5,"1,365"
0.508,"1,452.384"
0.516,"1,631.831"
0.523,"1,862.639"
0.531,"1,928.357"
0.539,"2,124.016"
0.547,"2,195.667"
0.555,"2,405.576"
0.563,"2,481.322"
0.57,"2,689.027"
0.578,"2,860.216"
0.586,"2,763.949"
0.594,"2,951.675"
0.602,"2,988.157"
0.609,"3,157.478"
0.617,"3,220.882"
0.625,"3,345.753"
0.633,"3,599.122"
0.641,"3,846.169"
0.648,"4,436.565"
0.656,"5,060.49"
0.664,"5,463.855"
0.672,"6,169.298"
0.68,"7,359.537"
0.688,"8,423.694"
0.695,"8,983.408"
0.703,"9,130.773"
0.711,"8,586.639"
0.719,"6,654.949"
0.727,"4,833.765"
0.734,"3,277.576"
0.742,"1,925.898"
0.75,"1,143.973"
0.758,856
0.766,567
0.773,364
0.781,28
