Band Value,MNDWI Count
-0.766,2
-0.758,12
-0.75,47
-0.742,141
-0.734,413
-0.727,"1,026"
-0.719,"1,993.824"
-0.711,"3,420.976"
-0.703,"5,278.969"
-0.695,"7,913.369"
-0.688,"11,387.239"
-0.68,"15,533.69"
-0.672,"20,765.467"
-0.664,"26,356.737"
-0.656,"32,501.455"
-0.648,"39,367.792"
-0.641,"46,709.6"
-0.633,"52,874.871"
-0.625,"57,198.427"
-0.617,"59,693.482"
-0.609,"58,765.259"
-0.602,"56,044.196"
-0.594,"51,702.075"
-0.586,"46,321.588"
-0.578,"41,295.035"
-0.57,"36,026.98"
-0.563,"31,271.196"
-0.555,"27,209.698"
-0.547,"23,303.471"
-0.539,"20,004.275"
-0.531,"17,260.235"
-0.523,"15,202.282"
-0.516,"13,444.059"
-0.508,"12,373.329"
-0.5,"11,264.298"
-0.492,"10,785.604"
-0.484,"9,822.976"
-0.477,"9,317.702"
-0.469,"8,709.451"
-0.461,"8,343.176"
-0.453,"8,040.878"
-0.445,"7,422.898"
-0.438,"7,124.816"
-0.43,"6,779.176"
-0.422,"6,803.553"
-0.414,"6,544.149"
-0.406,"6,309.714"
-0.398,"6,434.651"
-0.391,"6,026.584"
-0.383,"5,934.447"
-0.375,"5,952.996"
-0.367,"6,086.725"
-0.359,"5,802.161"
-0.352,"5,774.576"
-0.344,"5,597.063"
-0.336,"5,073.655"
-0.328,"4,751.047"
-0.32,"4,175.396"
-0.313,"3,751.843"
-0.305,"3,332.69"
-0.297,"2,829.196"
-0.289,"2,614.839"
-0.281,"2,263.663"
-0.273,"1,929.416"
-0.266,"1,857.878"
-0.258,"1,580.31"
-0.25,"1,440.427"
-0.242,"1,406.027"
-0.234,"1,314.675"
-0.227,"1,175"
-0.219,"1,076"
-0.211,"1,036.678"
-0.203,925.992
-0.195,882.039
-0.188,828.859
-0.18,804.988
-0.172,740.808
-0.164,676
-0.156,686.569
-0.148,590
-0.141,622.973
-0.133,613.224
-0.125,531.22
-0.117,514.267
-0.109,506.659
-0.102,497.298
-0.094,485
-0.086,496.839
-0.078,453
-0.07,499.275
-0.063,435.867
-0.055,429.761
-0.047,458
-0.039,423.408
-0.031,420
-0.023,426.894
-0.016,421.337
-0.008,427
0,423.502
0.008,439.137
0.016,402.176
0.023,420.204
0.031,410.369
0.039,423.573
0.047,471.118
0.055,454.451
0.063,433.824
0.07,430.09
0.078,413.486
0.086,418.231
0.094,449.643
0.102,493.325
0.109,495.902
0.117,506.365
0.125,520.341
0.133,511.549
0.141,580.612
0.148,598.831
0.156,605.643
0.164,649.678
0.172,633.663
0.18,698.612
0.188,715.302
0.195,735.863
0.203,849.271
0.211,841.325
0.219,822.471
0.227,936.004
0.234,920.133
0.242,963.627
0.25,997.843
0.258,"1,031.859"
0.266,"1,127.718"
0.273,"1,110.373"
0.281,"1,124.376"
0.289,"1,244.569"
0.297,"1,273.608"
0.305,"1,333.302"
0.313,"1,584.965"
0.32,"1,628.275"
0.328,"1,828.204"
0.336,"1,995.106"
0.344,"2,119.573"
0.352,"2,238.357"
0.359,"2,472.851"
0.367,"2,546.455"
0.375,"2,802.408"
0.383,"2,917.788"
0.391,"3,083.443"
0.398,"3,068.922"
0.406,"3,218.729"
0.414,"3,076.835"
0.422,"3,308.435"
0.43,"3,480.569"
0.438,"3,987.745"
0.445,"4,199.306"
0.453,"4,617.443"
0.461,"4,856.945"
0.469,"5,184.925"
0.477,"5,455.722"
0.484,"5,967.957"
0.492,"6,432.478"
0.5,"6,834.694"
0.508,"6,964.529"
0.516,"6,741.231"
0.523,"6,880.055"
0.531,"7,344.122"
0.539,"7,070.702"
0.547,"6,305.639"
0.555,"4,338.965"
0.563,"2,394.553"
0.57,795.275
0.578,191.275
0.586,28
0.594,2
0.602,1
0.609,1
