Band Value,MNDWI Count
-0.68,4
-0.672,32
-0.664,140
-0.656,640
-0.648,"1,825"
-0.641,"4,154.741"
-0.633,"8,206.039"
-0.625,"13,520.698"
-0.617,"20,255.675"
-0.609,"27,429.925"
-0.602,"35,561.831"
-0.594,"43,301.945"
-0.586,"50,324.537"
-0.578,"56,152.412"
-0.57,"57,709.063"
-0.563,"56,283.165"
-0.555,"53,280.757"
-0.547,"50,344.016"
-0.539,"47,627.212"
-0.531,"44,795.502"
-0.523,"40,367.353"
-0.516,"36,407.957"
-0.508,"33,330.753"
-0.5,"29,934.714"
-0.492,"27,224.922"
-0.484,"24,084.4"
-0.477,"21,039.588"
-0.469,"17,763.827"
-0.461,"15,521.212"
-0.453,"13,582.773"
-0.445,"12,734.945"
-0.438,"11,987.255"
-0.43,"11,788.004"
-0.422,"11,398.251"
-0.414,"11,472.29"
-0.406,"11,289.345"
-0.398,"11,030.569"
-0.391,"10,567.698"
-0.383,"10,211.49"
-0.375,"9,595.165"
-0.367,"8,970.475"
-0.359,"8,589.694"
-0.352,"8,080.494"
-0.344,"7,685.369"
-0.336,"7,190.514"
-0.328,"6,506.639"
-0.32,"6,076.196"
-0.313,"5,447.522"
-0.305,"4,872.906"
-0.297,"4,446.067"
-0.289,"3,939.686"
-0.281,"3,354.082"
-0.273,"2,871.188"
-0.266,"2,647.408"
-0.258,"2,312.129"
-0.25,"1,917.69"
-0.242,"1,687.075"
-0.234,"1,541.643"
-0.227,"1,471.686"
-0.219,"1,347.459"
-0.211,"1,258.196"
-0.203,"1,154.031"
-0.195,"1,118"
-0.188,"1,047"
-0.18,935.49
-0.172,954.925
-0.164,864.671
-0.156,847.902
-0.148,774.133
-0.141,778.035
-0.133,755.294
-0.125,773.816
-0.117,684.239
-0.109,674.314
-0.102,646.584
-0.094,643.149
-0.086,596.086
-0.078,564.898
-0.07,567.522
-0.063,568.835
-0.055,563.906
-0.047,624.2
-0.039,593.973
-0.031,593.675
-0.023,587
-0.016,512
-0.008,600.137
0,612.078
0.008,637.043
0.016,595.478
0.023,590.137
0.031,607.843
0.039,622.451
0.047,717.282
0.055,705.106
0.063,766.078
0.07,745.969
0.078,841
0.086,887.318
0.094,957.455
0.102,980.329
0.109,"1,095.165"
0.117,"1,073.533"
0.125,"1,214.184"
0.133,"1,396.992"
0.141,"1,436.702"
0.148,"1,602.784"
0.156,"1,709.024"
0.164,"1,822.643"
0.172,"1,869.082"
0.18,"2,046.553"
0.188,"2,108.624"
0.195,"2,272.945"
0.203,"2,555.537"
0.211,"2,519.82"
0.219,"2,662.443"
0.227,"2,606.396"
0.234,"2,722.961"
0.242,"2,657.553"
0.25,"2,654.741"
0.258,"2,702.592"
0.266,"2,778.412"
0.273,"2,940.447"
0.281,"3,319.796"
0.289,"3,517.569"
0.297,"3,597.22"
0.305,"3,617.863"
0.313,"3,932.251"
0.32,"4,335.961"
0.328,"4,893.996"
0.336,"5,705.714"
0.344,"5,967.055"
0.352,"6,475"
0.359,"7,085.204"
0.367,"6,770.11"
0.375,"6,859.525"
0.383,"6,826.263"
0.391,"7,102.224"
0.398,"7,085.325"
0.406,"5,344.412"
0.414,"3,411.008"
0.422,"1,863.424"
0.43,996.051
0.438,382
0.445,61
