Band Value,MNDWI Count
-0.68,1
-0.672,40
-0.664,331
-0.656,"1,343"
-0.648,"3,767.522"
-0.641,"8,762.824"
-0.633,"15,259.918"
-0.625,"22,127.945"
-0.617,"28,200.678"
-0.609,"33,551.016"
-0.602,"38,636.031"
-0.594,"42,927.478"
-0.586,"46,709.463"
-0.578,"49,489.455"
-0.57,"49,326.345"
-0.563,"46,807.914"
-0.555,"43,880.11"
-0.547,"40,416.435"
-0.539,"37,012.698"
-0.531,"34,701.8"
-0.523,"32,136.396"
-0.516,"29,130.933"
-0.508,"27,574.357"
-0.5,"26,778.184"
-0.492,"26,439.871"
-0.484,"25,323.153"
-0.477,"23,744.094"
-0.469,"22,182.694"
-0.461,"20,056.804"
-0.453,"18,733.608"
-0.445,"16,090.902"
-0.438,"14,668.384"
-0.43,"13,172.902"
-0.422,"12,497.765"
-0.414,"11,996.318"
-0.406,"11,820.753"
-0.398,"11,924.306"
-0.391,"11,586.067"
-0.383,"12,245.549"
-0.375,"11,810.075"
-0.367,"11,531.4"
-0.359,"11,051.396"
-0.352,"10,577.345"
-0.344,"9,889.992"
-0.336,"9,212.906"
-0.328,"8,236.733"
-0.32,"7,507"
-0.313,"6,488.098"
-0.305,"5,374.318"
-0.297,"4,632.949"
-0.289,"4,045.957"
-0.281,"3,599.471"
-0.273,"3,194.945"
-0.266,"2,695.082"
-0.258,"2,356.357"
-0.25,"2,094.647"
-0.242,"1,956.898"
-0.234,"1,689.282"
-0.227,"1,687.376"
-0.219,"1,516.039"
-0.211,"1,503.624"
-0.203,"1,361.753"
-0.195,"1,385.596"
-0.188,"1,290.859"
-0.18,"1,154.106"
-0.172,"1,139.271"
-0.164,"1,010.969"
-0.156,"1,014.102"
-0.148,947.843
-0.141,895
-0.133,908.122
-0.125,858.427
-0.117,928.329
-0.109,828.678
-0.102,848.424
-0.094,849.984
-0.086,827.518
-0.078,974.067
-0.07,877.012
-0.063,976.259
-0.055,950.863
-0.047,939.651
-0.039,"1,030.463"
-0.031,"1,106.91"
-0.023,"1,136.329"
-0.016,"1,201.98"
-0.008,"1,302.482"
0,"1,411.839"
0.008,"1,466.102"
0.016,"1,663.467"
0.023,"1,926.545"
0.031,"2,188.043"
0.039,"2,625.357"
0.047,"2,904.588"
0.055,"3,348.812"
0.063,"3,464.69"
0.07,"3,588.306"
0.078,"3,859.38"
0.086,"3,999.875"
0.094,"4,073.094"
0.102,"4,050.196"
0.109,"4,064.173"
0.117,"3,983.255"
0.125,"4,388.624"
0.133,"4,755.294"
0.141,"5,562.863"
0.148,"6,141.769"
0.156,"6,531.643"
0.164,"7,005.329"
0.172,"7,582.396"
0.18,"7,532.765"
0.188,"6,793.792"
0.195,"6,188"
0.203,"5,806"
0.211,"5,774.035"
0.219,"5,346.98"
0.227,"4,517.016"
0.234,"3,576.788"
0.242,"2,921.31"
0.25,"2,452.557"
0.258,"2,335.882"
0.266,"1,710.953"
0.273,"1,316.031"
0.281,"1,020.373"
0.289,800.412
0.297,424.663
0.305,101.063
0.313,23.91
0.32,1.906
