Band Value,MNDWI Count
-0.813,1
-0.805,10
-0.797,17
-0.789,36
-0.781,73
-0.773,99
-0.766,118
-0.758,178
-0.75,359
-0.742,602
-0.734,"1,052.965"
-0.727,"1,471.318"
-0.719,"2,290.651"
-0.711,"3,538.016"
-0.703,"5,352.898"
-0.695,"8,668.514"
-0.688,"13,314.522"
-0.68,"19,287.22"
-0.672,"25,790.408"
-0.664,"32,833.11"
-0.656,"39,263.604"
-0.648,"44,510.545"
-0.641,"48,087.729"
-0.633,"49,709.325"
-0.625,"50,131.725"
-0.617,"47,459.949"
-0.609,"44,520.369"
-0.602,"40,747.808"
-0.594,"37,655.145"
-0.586,"34,786.557"
-0.578,"32,147.361"
-0.57,"29,679.059"
-0.563,"27,675.502"
-0.555,"25,788.812"
-0.547,"23,786.835"
-0.539,"21,895.118"
-0.531,"20,404.859"
-0.523,"18,604.773"
-0.516,"17,180.467"
-0.508,"14,839.251"
-0.5,"13,722.498"
-0.492,"12,313.855"
-0.484,"11,062.776"
-0.477,"10,747.89"
-0.469,"10,357.216"
-0.461,"10,289.337"
-0.453,"10,438.298"
-0.445,"10,429.369"
-0.438,"10,678.957"
-0.43,"10,853.898"
-0.422,"10,658.533"
-0.414,"10,608.698"
-0.406,"10,460.627"
-0.398,"10,160.169"
-0.391,"9,654.494"
-0.383,"9,277.294"
-0.375,"8,861.537"
-0.367,"8,026.839"
-0.359,"7,499.635"
-0.352,"6,789.447"
-0.344,"6,374.937"
-0.336,"5,665.576"
-0.328,"4,993.525"
-0.32,"4,514.553"
-0.313,"4,032.502"
-0.305,"3,785.812"
-0.297,"3,471.278"
-0.289,"3,172.78"
-0.281,"2,954.251"
-0.273,"2,634.486"
-0.266,"2,444.043"
-0.258,"2,123.973"
-0.25,"2,033.506"
-0.242,"1,941.004"
-0.234,"1,770.294"
-0.227,"1,649.365"
-0.219,"1,592.702"
-0.211,"1,494.761"
-0.203,"1,479.584"
-0.195,"1,381.694"
-0.188,"1,363.482"
-0.18,"1,202.22"
-0.172,"1,301.337"
-0.164,"1,262.796"
-0.156,"1,239.22"
-0.148,"1,215.173"
-0.141,"1,286.973"
-0.133,"1,304.867"
-0.125,"1,496.016"
-0.117,"1,852.6"
-0.109,"2,126.839"
-0.102,"2,584.329"
-0.094,"3,236.678"
-0.086,"4,014.439"
-0.078,"5,075.071"
-0.07,"6,162.102"
-0.063,"6,411.843"
-0.055,"5,767.224"
-0.047,"5,263.776"
-0.039,"4,784.957"
-0.031,"4,445.408"
-0.023,"4,226.851"
-0.016,"3,631.447"
-0.008,"3,310.89"
0,"3,258.918"
0.008,"2,838.533"
0.016,"2,848.98"
0.023,"2,684.553"
0.031,"2,443.11"
0.039,"2,400.208"
0.047,"2,166.384"
0.055,"2,047.518"
0.063,"1,889.796"
0.07,"1,864.988"
0.078,"1,811.776"
0.086,"1,705.773"
0.094,"1,609.212"
0.102,"1,550.298"
0.109,"1,433.588"
0.117,"1,241.718"
0.125,"1,334.8"
0.133,"1,333.871"
0.141,"1,274.267"
0.148,"1,280.125"
0.156,"1,253.075"
0.164,"1,279.647"
0.172,"1,246.341"
0.18,"1,295.886"
0.188,"1,249.557"
0.195,"1,268.137"
0.203,"1,328.894"
0.211,"1,182.769"
0.219,"1,279.224"
0.227,"1,188.443"
0.234,"1,295.553"
0.242,"1,138.282"
0.25,"1,348.471"
0.258,"1,303.89"
0.266,"1,292.561"
0.273,"1,289.416"
0.281,"1,289.471"
0.289,"1,284.396"
0.297,"1,202.075"
0.305,"1,258.243"
0.313,"1,262.396"
0.32,"1,330.859"
0.328,"1,379.102"
0.336,"1,402.078"
0.344,"1,498.157"
0.352,"1,442.62"
0.359,"1,583.851"
0.367,"1,661.012"
0.375,"1,763.773"
0.383,"1,755.867"
0.391,"1,746.278"
0.398,"1,672.78"
0.406,"1,516.659"
0.414,"1,409.518"
0.422,"1,076.992"
0.43,673
0.438,518
0.445,394
0.453,267
0.461,199
0.469,120
0.477,67
0.484,27
0.492,14
0.5,7
0.508,4
0.516,1
0.523,
0.531,
0.539,
0.547,
0.555,
0.563,
0.57,
0.578,
0.586,
0.594,
0.602,1
