Band Value,MNDWI Count
-0.578,1
-0.57,2
-0.563,11
-0.555,35
-0.547,135
-0.539,333
-0.531,675.341
-0.523,"1,108.686"
-0.516,"1,921.918"
-0.508,"2,940.047"
-0.5,"4,427.435"
-0.492,"7,167.341"
-0.484,"11,749.161"
-0.477,"19,364.333"
-0.469,"30,173.561"
-0.461,"45,065.016"
-0.453,"61,096.024"
-0.445,"75,041.796"
-0.438,"83,937.953"
-0.43,"84,152.451"
-0.422,"79,682.439"
-0.414,"72,271.122"
-0.406,"63,597.106"
-0.398,"54,896.682"
-0.391,"47,429.659"
-0.383,"40,415.157"
-0.375,"34,368.424"
-0.367,"29,352.129"
-0.359,"24,811.537"
-0.352,"20,895.42"
-0.344,"17,835.863"
-0.336,"15,051.286"
-0.328,"12,625.325"
-0.32,"10,772.051"
-0.313,"9,009.969"
-0.305,"7,568.298"
-0.297,"6,704.439"
-0.289,"5,855.122"
-0.281,"5,072.824"
-0.273,"4,428.894"
-0.266,"3,777.639"
-0.258,"3,377.576"
-0.25,"3,046.361"
-0.242,"2,681.494"
-0.234,"2,503.239"
-0.227,"2,276.627"
-0.219,"1,958.569"
-0.211,"1,756.906"
-0.203,"1,787.91"
-0.195,"1,603.192"
-0.188,"1,502.184"
-0.18,"1,369.196"
-0.172,"1,358"
-0.164,"1,249.176"
-0.156,"1,059.976"
-0.148,"1,059.122"
-0.141,"1,030.553"
-0.133,927
-0.125,871.035
-0.117,916.957
-0.109,818.686
-0.102,801.533
-0.094,772.588
-0.086,773.31
-0.078,701.067
-0.07,687
-0.063,684.224
-0.055,681.176
-0.047,643
-0.039,619.773
-0.031,640.082
-0.023,586.765
-0.016,573.157
-0.008,592.89
0,544.988
0.008,511.051
0.016,571.196
0.023,509
0.031,519
0.039,551
0.047,514.047
0.055,485
0.063,488.31
0.07,516.169
0.078,522.514
0.086,532.153
0.094,561.306
0.102,509.549
0.109,523.863
0.117,559.271
0.125,507.22
0.133,528.325
0.141,513.427
0.148,495.067
0.156,484.663
0.164,483
0.172,484
0.18,504.357
0.188,542.761
0.195,544.063
0.203,554.471
0.211,571.443
0.219,551.886
0.227,568.439
0.234,604.235
0.242,593.941
0.25,638.667
0.258,603.729
0.266,619.741
0.273,688.553
0.281,764.369
0.289,783.616
0.297,726.961
0.305,802.224
0.313,822.882
0.32,893.682
0.328,903.447
0.336,"1,067.941"
0.344,"1,154.337"
0.352,"1,167.369"
0.359,"1,254.369"
0.367,"1,410.094"
0.375,"1,446.753"
0.383,"1,462.102"
0.391,"1,644.984"
0.398,"1,879.039"
0.406,"2,171.996"
0.414,"2,428.047"
0.422,"2,841.576"
0.43,"3,173.776"
0.438,"3,691.388"
0.445,"4,247.373"
0.453,"4,387.043"
0.461,"4,473.525"
0.469,"4,715.075"
0.477,"5,102.91"
0.484,"5,862.333"
0.492,"7,617.384"
0.5,"9,130.133"
0.508,"9,929.278"
0.516,"11,050.976"
0.523,"10,920.584"
0.531,"9,879.522"
0.539,"8,377.604"
0.547,"7,253.827"
0.555,"5,821.353"
0.563,"4,442.761"
0.57,"3,350.765"
0.578,"2,236.341"
0.586,"1,157.714"
0.594,354
0.602,48
0.609,3
