Band Value,MNDWI Count
-0.633,1
-0.625,
-0.617,7
-0.609,4
-0.602,27
-0.594,59
-0.586,118
-0.578,188
-0.57,269
-0.563,421
-0.555,594.761
-0.547,937.09
-0.539,"1,435.337"
-0.531,"2,132.431"
-0.523,"3,256.98"
-0.516,"4,769.031"
-0.508,"6,876.298"
-0.5,"9,640.275"
-0.492,"13,502.259"
-0.484,"17,501.024"
-0.477,"22,099.353"
-0.469,"26,125.396"
-0.461,"30,707.729"
-0.453,"34,334.071"
-0.445,"37,234.533"
-0.438,"39,706.431"
-0.43,"41,567.643"
-0.422,"42,498.447"
-0.414,"43,349.447"
-0.406,"43,381.463"
-0.398,"42,306.898"
-0.391,"42,055.827"
-0.383,"40,453.812"
-0.375,"38,367.929"
-0.367,"36,951.416"
-0.359,"35,161.702"
-0.352,"33,603.808"
-0.344,"31,782.847"
-0.336,"30,220.976"
-0.328,"28,217.769"
-0.32,"25,971.455"
-0.313,"23,425.722"
-0.305,"21,264.604"
-0.297,"19,046.031"
-0.289,"16,661.09"
-0.281,"15,102.392"
-0.273,"13,501.208"
-0.266,"12,279.133"
-0.258,"11,476.306"
-0.25,"10,363.855"
-0.242,"9,381.302"
-0.234,"8,480.561"
-0.227,"7,644.929"
-0.219,"6,613.545"
-0.211,"6,005.427"
-0.203,"5,318.392"
-0.195,"4,903.118"
-0.188,"4,479.153"
-0.18,"3,968.624"
-0.172,"3,503.718"
-0.164,"3,111.584"
-0.156,"2,753.922"
-0.148,"2,516.627"
-0.141,"2,199.769"
-0.133,"2,006.369"
-0.125,"1,763.839"
-0.117,"1,564.514"
-0.109,"1,410.129"
-0.102,"1,325.098"
-0.094,"1,135.29"
-0.086,979.463
-0.078,855.475
-0.07,813.573
-0.063,811.294
-0.055,735.957
-0.047,729
-0.039,662.329
-0.031,625
-0.023,607.804
-0.016,619.176
-0.008,558.322
0,609.612
0.008,559
0.016,551.973
0.023,584
0.031,513.937
0.039,525.09
0.047,507.216
0.055,527.329
0.063,499.416
0.07,508.6
0.078,473
0.086,503.78
0.094,459
0.102,526.573
0.109,470.953
0.117,529.663
0.125,498.498
0.133,485.718
0.141,500
0.148,491.988
0.156,471.357
0.164,488
0.172,496.639
0.18,485.529
0.188,479.251
0.195,517.02
0.203,505.412
0.211,487
0.219,493.165
0.227,467.69
0.234,480
0.242,488.435
0.25,479.835
0.258,497.545
0.266,512.514
0.273,492.839
0.281,521.306
0.289,495.624
0.297,549.812
0.305,538.357
0.313,584.686
0.32,608.655
0.328,638.733
0.336,630.722
0.344,650.157
0.352,650.431
0.359,801.827
0.367,769.808
0.375,814.624
0.383,781.843
0.391,899.255
0.398,962.745
0.406,"1,055.341"
0.414,"1,137.051"
0.422,"1,280.886"
0.43,"1,424.561"
0.438,"1,609.22"
0.445,"1,772.976"
0.453,"1,805.2"
0.461,"1,956.604"
0.469,"2,022.616"
0.477,"1,998.945"
0.484,"2,040.518"
0.492,"1,965.827"
0.5,"1,953.349"
0.508,"1,920.663"
0.516,"1,996.839"
0.523,"1,976.831"
0.531,"2,173.18"
0.539,"2,346.886"
0.547,"2,527.553"
0.555,"2,992.141"
0.563,"3,544.016"
0.57,"4,159.024"
0.578,"4,641.016"
0.586,"5,417.478"
0.594,"6,133.91"
0.602,"7,128.416"
0.609,"9,023.655"
0.617,"9,829.663"
0.625,"10,246.729"
0.633,"10,099.537"
0.641,"8,095.827"
0.648,"6,439.494"
0.656,"6,220.553"
0.664,"5,996.071"
0.672,"5,124.624"
0.68,"1,792.188"
0.688,64
0.695,1
