Band Value,MNDWI Count
-0.734,5
-0.727,11
-0.719,23
-0.711,50
-0.703,153
-0.695,306.341
-0.688,656
-0.68,"1,277.925"
-0.672,"2,262.867"
-0.664,"3,774.043"
-0.656,"5,592.976"
-0.648,"8,038.949"
-0.641,"11,084.459"
-0.633,"14,922.216"
-0.625,"19,282.047"
-0.617,"24,760.533"
-0.609,"30,935.678"
-0.602,"37,232.173"
-0.594,"42,903.365"
-0.586,"47,385.373"
-0.578,"51,108.988"
-0.57,"52,459.945"
-0.563,"53,107.329"
-0.555,"52,105.824"
-0.547,"49,554.102"
-0.539,"46,275.314"
-0.531,"41,804.898"
-0.523,"37,662.514"
-0.516,"33,519.267"
-0.508,"29,069.576"
-0.5,"25,072.004"
-0.492,"21,508.208"
-0.484,"18,456.369"
-0.477,"16,823.106"
-0.469,"14,942.329"
-0.461,"13,926.278"
-0.453,"13,055.753"
-0.445,"12,312.808"
-0.438,"12,170.592"
-0.43,"11,574.8"
-0.422,"11,457.525"
-0.414,"11,021.376"
-0.406,"10,712.533"
-0.398,"10,474.224"
-0.391,"10,080.545"
-0.383,"9,692.196"
-0.375,"9,537.051"
-0.367,"9,096.804"
-0.359,"8,908.812"
-0.352,"8,417.318"
-0.344,"8,131.635"
-0.336,"7,559.78"
-0.328,"6,538.525"
-0.32,"5,989.278"
-0.313,"5,600.71"
-0.305,"4,989.176"
-0.297,"4,615.392"
-0.289,"4,252.984"
-0.281,"3,754.49"
-0.273,"3,177.318"
-0.266,"2,749.643"
-0.258,"2,415.055"
-0.25,"2,112.933"
-0.242,"1,800.812"
-0.234,"1,674.263"
-0.227,"1,427.976"
-0.219,"1,428.502"
-0.211,"1,303.22"
-0.203,"1,178.353"
-0.195,"1,210.125"
-0.188,"1,104.98"
-0.18,"1,006.804"
-0.172,881.957
-0.164,836.016
-0.156,784.039
-0.148,718.757
-0.141,699.345
-0.133,660.937
-0.125,545.953
-0.117,630.957
-0.109,592
-0.102,548
-0.094,509.922
-0.086,466
-0.078,548
-0.07,477.161
-0.063,438.973
-0.055,461
-0.047,454
-0.039,437
-0.031,426
-0.023,429
-0.016,445.761
-0.008,396
0,426
0.008,426
0.016,358.4
0.023,354
0.031,375.741
0.039,349.396
0.047,391
0.055,360.675
0.063,366
0.07,392.188
0.078,353.443
0.086,372.949
0.094,356.22
0.102,358
0.109,333.184
0.117,370.82
0.125,391.851
0.133,347.106
0.141,364
0.148,333.361
0.156,373.737
0.164,320.486
0.172,329.165
0.18,356.447
0.188,351.796
0.195,338.012
0.203,314.659
0.211,354
0.219,347.522
0.227,350.996
0.234,368
0.242,340.953
0.25,392.192
0.258,355.988
0.266,367
0.273,364
0.281,371.133
0.289,384.051
0.297,322.706
0.305,396.055
0.313,374
0.32,389
0.328,381.396
0.336,414.616
0.344,446.78
0.352,422.51
0.359,427.557
0.367,442.286
0.375,396.976
0.383,503.98
0.391,486.561
0.398,536.792
0.406,543.024
0.414,519.667
0.422,574.714
0.43,599.165
0.438,628.529
0.445,692.792
0.453,710.588
0.461,737.635
0.469,775.69
0.477,855.753
0.484,953.761
0.492,950.49
0.5,995.239
0.508,"1,049.702"
0.516,"1,102.463"
0.523,"1,245.337"
0.531,"1,238.192"
0.539,"1,421.631"
0.547,"1,489.11"
0.555,"1,607.878"
0.563,"1,690.549"
0.57,"1,879.435"
0.578,"1,836.467"
0.586,"1,982.686"
0.594,"2,116.463"
0.602,"2,089.918"
0.609,"2,095.859"
0.617,"1,890.396"
0.625,"1,965.035"
0.633,"2,030.949"
0.641,"2,225.098"
0.648,"2,437.184"
0.656,"2,686.796"
0.664,"2,740.055"
0.672,"3,066.69"
0.68,"3,390.188"
0.688,"3,806.953"
0.695,"4,056.161"
0.703,"4,458.573"
0.711,"4,987.831"
0.719,"5,580.11"
0.727,"6,831.318"
0.734,"7,799.333"
0.742,"8,641.063"
0.75,"9,497.62"
0.758,"9,775.337"
0.766,"9,374.114"
0.773,"7,919.035"
0.781,"6,429.141"
0.789,"2,763.161"
0.797,534
0.805,66
0.813,12
