Band Value,AWEI Count
-2.4,1
-2.35,2
-2.3,
-2.25,1
-2.2,4
-2.15,
-2.1,7
-2.05,24
-2,8.733
-1.95,66.188
-1.9,78.463
-1.85,94.506
-1.8,193.725
-1.75,276.361
-1.7,268.11
-1.65,306.592
-1.6,452.796
-1.55,663.78
-1.5,819.498
-1.45,"1,262.525"
-1.4,"1,752.251"
-1.35,"2,318.071"
-1.3,"3,024.635"
-1.25,"3,805.988"
-1.2,"5,278.263"
-1.15,"6,870.737"
-1.1,"9,055.102"
-1.05,"11,191.494"
-1,"14,008.059"
-0.95,"17,374.553"
-0.9,"23,701.243"
-0.85,"38,861.878"
-0.8,"64,290.871"
-0.75,"103,433.333"
-0.7,"152,645.992"
-0.65,"154,529.827"
-0.6,"110,712.271"
-0.55,"63,319.702"
-0.5,"28,155.553"
-0.45,"10,824.945"
-0.4,"4,193.02"
-0.35,"1,649.894"
-0.3,605.4
-0.25,248.027
-0.2,137
-0.15,202
-0.1,176
-0.05,159
0,232
0.05,214
0.1,678
0.15,"1,072"
0.2,352
0.25,692
