Band Value,AWEI Count
-2.2,13
-2.15,17
-2.1,19
-2.05,14
-2,26
-1.95,65
-1.9,112.6
-1.85,146.29
-1.8,207.282
-1.75,259.173
-1.7,413.969
-1.65,717.694
-1.6,"1,072.702"
-1.55,"1,316.859"
-1.5,"1,849.447"
-1.45,"2,629.604"
-1.4,"3,257.475"
-1.35,"4,171.49"
-1.3,"5,661.29"
-1.25,"6,630.169"
-1.2,"8,412.475"
-1.15,"10,543.227"
-1.1,"12,834.49"
-1.05,"15,253.545"
-1,"18,836.173"
-0.95,"23,949.373"
-0.9,"35,949.624"
-0.85,"66,058.196"
-0.8,"116,066.784"
-0.75,"155,371.075"
-0.7,"147,925.322"
-0.65,"102,353.016"
-0.6,"61,872.349"
-0.55,"22,080.396"
-0.5,"5,529.2"
-0.45,"2,606.231"
-0.4,"1,866.071"
-0.35,607.71
-0.3,192.09
-0.25,167
-0.2,181
-0.15,146
-0.1,164
-0.05,219
0,238
0.05,504
0.1,912
0.15,252
0.2,605
