Band Value,AWEI Count
-2.45,1
-2.4,
-2.35,2
-2.3,6
-2.25,5
-2.2,3
-2.15,17.282
-2.1,13.318
-2.05,13
-2,19
-1.95,49
-1.9,102
-1.85,196.122
-1.8,245.714
-1.75,431.075
-1.7,684.11
-1.65,"1,343.325"
-1.6,"2,175.231"
-1.55,"3,397.216"
-1.5,"5,204.647"
-1.45,"7,546.506"
-1.4,"10,491.118"
-1.35,"14,166.973"
-1.3,"19,662.102"
-1.25,"26,780.078"
-1.2,"33,701.255"
-1.15,"42,410.918"
-1.1,"53,090.698"
-1.05,"63,751.737"
-1,"74,554.949"
-0.95,"83,896.506"
-0.9,"91,464.157"
-0.85,"98,919.235"
-0.8,"93,340.216"
-0.75,"57,052.443"
-0.7,"28,175.957"
-0.65,"13,073.2"
-0.6,"6,323.608"
-0.55,"3,194.016"
-0.5,"1,554.227"
-0.45,506.114
-0.4,172.651
-0.35,145.686
-0.3,100
-0.25,132
-0.2,113
-0.15,116
-0.1,206
-0.05,248
0,653
0.05,696
0.1,149
