Band Value,AWEI Count
-2.95,1
-2.9,2
-2.85,7
-2.8,3
-2.75,4
-2.7,3
-2.65,1.282
-2.6,2
-2.55,4
-2.5,7
-2.45,10.318
-2.4,11
-2.35,12
-2.3,11
-2.25,12.8
-2.2,13
-2.15,15
-2.1,31.122
-2.05,49
-2,199
-1.95,456
-1.9,772
-1.85,963
-1.8,"1,544.663"
-1.75,"2,135.745"
-1.7,"3,618.294"
-1.65,"5,190.216"
-1.6,"7,605.388"
-1.55,"10,382.553"
-1.5,"13,661.659"
-1.45,"17,447.247"
-1.4,"22,340.122"
-1.35,"27,549.941"
-1.3,"32,304.29"
-1.25,"37,584.486"
-1.2,"42,791.353"
-1.15,"48,376.431"
-1.1,"52,135.459"
-1.05,"55,646.118"
-1,"58,621.808"
-0.95,"60,720.557"
-0.9,"61,410.18"
-0.85,"59,656.157"
-0.8,"55,676.635"
-0.75,"49,733.098"
-0.7,"41,904.706"
-0.65,"30,891.02"
-0.6,"21,412.718"
-0.55,"10,794.573"
-0.5,"3,644.114"
-0.45,"1,007.647"
-0.4,158.69
-0.35,108
-0.3,121
-0.25,101
-0.2,155
-0.15,230
-0.1,311
-0.05,529
0,205
