Band Value,AWEI Count
-3.9,1
-3.85,1.153
-3.8,1
-3.75,1
-3.7,1.561
-3.65,0.082
-3.6,0.286
-3.55,1
-3.5,3.314
-3.45,3
-3.4,8
-3.35,5
-3.3,2
-3.25,2
-3.2,2
-3.15,5
-3.1,4
-3.05,7.8
-3,4
-2.95,7
-2.9,12
-2.85,17
-2.8,8
-2.75,9
-2.7,13
-2.65,7
-2.6,16
-2.55,23
-2.5,37.812
-2.45,20
-2.4,29
-2.35,27.8
-2.3,37.247
-2.25,31
-2.2,61
-2.15,140
-2.1,245.361
-2.05,451.49
-2,901
-1.95,"1,203.937"
-1.9,"1,598"
-1.85,"2,107.224"
-1.8,"2,583.529"
-1.75,"3,198.051"
-1.7,"3,862.765"
-1.65,"4,902.663"
-1.6,"6,494.106"
-1.55,"8,547.016"
-1.5,"10,706.729"
-1.45,"12,431.847"
-1.4,"15,137.796"
-1.35,"18,056.361"
-1.3,"21,240.902"
-1.25,"24,192.69"
-1.2,"27,813.263"
-1.15,"31,388.063"
-1.1,"34,992.545"
-1.05,"38,639.569"
-1,"42,930.765"
-0.95,"46,977.475"
-0.9,"51,917.882"
-0.85,"58,065.961"
-0.8,"63,656.02"
-0.75,"68,589.949"
-0.7,"69,507.659"
-0.65,"65,066.565"
-0.6,"54,114.965"
-0.55,"32,491.808"
-0.5,"12,021.733"
-0.45,"1,708.294"
-0.4,586.882
-0.35,170
-0.3,169
-0.25,209.541
-0.2,156
-0.15,212.918
-0.1,213.518
-0.05,195.494
0,87
0.05,2
