Band Value,AWEI Count
-4.15,0.004
-4.1,0.314
-4.05,
-4,
-3.95,
-3.9,
-3.85,
-3.8,
-3.75,
-3.7,
-3.65,0.282
-3.6,
-3.55,
-3.5,
-3.45,
-3.4,1
-3.35,
-3.3,
-3.25,1
-3.2,
-3.15,
-3.1,4
-3.05,3
-3,1
-2.95,4
-2.9,
-2.85,2
-2.8,4.122
-2.75,5
-2.7,5
-2.65,3
-2.6,6.8
-2.55,7
-2.5,6
-2.45,11
-2.4,10
-2.35,7
-2.3,17
-2.25,21
-2.2,22
-2.15,18.827
-2.1,33
-2.05,26.243
-2,37
-1.95,41.702
-1.9,47
-1.85,61.271
-1.8,69
-1.75,82
-1.7,132
-1.65,188
-1.6,237.969
-1.55,482.816
-1.5,792.957
-1.45,"1,479.125"
-1.4,"2,497.663"
-1.35,"4,429.545"
-1.3,"7,062.906"
-1.25,"10,376.231"
-1.2,"14,770.208"
-1.15,"19,080.753"
-1.1,"26,228.435"
-1.05,"33,900.49"
-1,"43,533.275"
-0.95,"56,414.769"
-0.9,"71,088.02"
-0.85,"88,235.667"
-0.8,"105,708.937"
-0.75,"114,516.988"
-0.7,"105,419.227"
-0.65,"79,229.718"
-0.6,"36,792.294"
-0.55,"8,208.49"
-0.5,"1,285.541"
-0.45,609.608
-0.4,621.588
-0.35,674.588
-0.3,772.459
-0.25,834.082
-0.2,727.882
-0.15,720.451
-0.1,663.286
-0.05,707
0,621.635
0.05,364.612
0.1,146.608
0.15,65
0.2,41
0.25,21
0.3,15
0.35,34
0.4,6
