Band Value,FAI Count
-0.035,1
-0.031,1
-0.027,3
-0.023,29
-0.02,224
-0.016,"2,151.384"
-0.012,"42,154.749"
-0.008,"55,990.035"
-0.004,"7,660.898"
0,"3,401.533"
0.004,"2,285.137"
0.008,"2,236.137"
0.012,"2,488.808"
0.016,"3,310.875"
0.02,"4,726.184"
0.023,"7,287.988"
0.027,"10,924.937"
0.031,"14,967.792"
0.035,"19,996.239"
0.039,"24,727.278"
0.043,"28,933.663"
0.047,"32,271.333"
0.051,"33,964.082"
0.055,"35,594.157"
0.059,"36,106.831"
0.063,"35,353.961"
0.066,"34,392.012"
0.07,"32,756.063"
0.074,"31,057.345"
0.078,"29,111.78"
0.082,"27,406.18"
0.086,"24,942.886"
0.09,"22,683.953"
0.094,"20,635.463"
0.098,"18,636.086"
0.102,"16,936.22"
0.105,"15,343.553"
0.109,"13,629.11"
0.113,"12,190.094"
0.117,"11,062.329"
0.121,"9,871.247"
0.125,"8,646.737"
0.129,"7,663.757"
0.133,"6,942.024"
0.137,"5,805.467"
0.141,"5,209.922"
0.145,"4,631.212"
0.148,"4,007.247"
0.152,"3,798.757"
0.156,"3,238.765"
0.16,"2,948.804"
0.164,"2,700.455"
0.168,"2,451.878"
0.172,"2,175.314"
0.176,"2,085.71"
0.18,"1,878.106"
0.184,"1,758.486"
0.188,"1,597.565"
0.191,"1,552.239"
0.195,"1,451.608"
0.199,"1,432.192"
0.203,"1,360.596"
0.207,"1,264.149"
0.211,"1,299.302"
0.215,"1,158.545"
0.219,"1,114.467"
0.223,"1,090.655"
0.227,"1,048.012"
0.23,"1,091.224"
0.234,"1,048.141"
0.238,976.341
0.242,981.965
0.246,952.047
0.25,941.133
0.254,"1,025.718"
0.258,878.659
0.262,925.541
0.266,929.773
0.27,902.463
0.273,800.184
0.277,829.98
0.281,821.475
0.285,825.98
0.289,818.498
0.293,778.635
0.297,787.302
0.301,801.314
0.305,732.871
0.309,650.004
0.313,705.992
0.316,666.667
0.32,670.004
0.324,658.486
0.328,593.059
0.332,610
0.336,580.259
0.34,591.784
0.344,555.345
0.348,553.298
0.352,595.941
0.355,511.78
0.359,534.188
0.363,492.706
0.367,473.518
0.371,450.729
0.375,460.945
0.379,424.722
0.383,385.984
0.387,368.91
0.391,335.392
0.395,296.608
0.398,292.243
0.402,261.361
0.406,283.945
0.41,223.878
0.414,190.055
0.418,202.298
0.422,185.224
0.426,145.039
0.43,122.925
0.434,125
0.438,83
0.441,87
0.445,89
0.449,59
0.453,54
0.457,26
0.461,31
0.465,21
0.469,13
0.473,9
0.477,7
0.48,2
0.484,2
0.488,1
0.492,1
0.496,1
0.5,1
