Band Value,FAI Count
-0.039,1
-0.035,4
-0.031,7
-0.027,30
-0.023,107
-0.02,503.2
-0.016,"2,224.914"
-0.012,"25,171.345"
-0.008,"75,758.302"
-0.004,"10,276.588"
0,"2,422.467"
0.004,"2,254.251"
0.008,"2,856.529"
0.012,"3,676.902"
0.016,"5,423.847"
0.02,"9,158.722"
0.023,"14,374.702"
0.027,"21,492.325"
0.031,"30,456.827"
0.035,"37,927.392"
0.039,"44,841.122"
0.043,"48,299.518"
0.047,"50,202.078"
0.051,"50,243.141"
0.055,"46,595.024"
0.059,"42,565.169"
0.063,"37,379.275"
0.066,"32,349.867"
0.07,"27,772.969"
0.074,"23,565.894"
0.078,"19,516.863"
0.082,"16,850.416"
0.086,"14,270.231"
0.09,"12,061.4"
0.094,"10,172.137"
0.098,"8,509.431"
0.102,"7,457.757"
0.105,"6,446.345"
0.109,"5,549.875"
0.113,"4,767.075"
0.117,"4,201.055"
0.121,"3,765.431"
0.125,"3,246.51"
0.129,"2,879.035"
0.133,"2,718.718"
0.137,"2,380.753"
0.141,"2,295.988"
0.145,"2,072.286"
0.148,"1,977.745"
0.152,"1,854.439"
0.156,"1,704.894"
0.16,"1,693.667"
0.164,"1,504.827"
0.168,"1,498.671"
0.172,"1,443.718"
0.176,"1,408.518"
0.18,"1,435.176"
0.184,"1,477.067"
0.188,"1,288.745"
0.191,"1,345.769"
0.195,"1,303.082"
0.199,"1,333.631"
0.203,"1,262.667"
0.207,"1,281.298"
0.211,"1,325.353"
0.215,"1,365.157"
0.219,"1,327.698"
0.223,"1,327.353"
0.227,"1,263.157"
0.23,"1,228.18"
0.234,"1,295.216"
0.238,"1,304.616"
0.242,"1,215.745"
0.246,"1,143.894"
0.25,"1,141.38"
0.254,"1,086.275"
0.258,"1,116.925"
0.262,"1,031.149"
0.266,"1,025.667"
0.27,"1,015.678"
0.273,946.298
0.277,984.545
0.281,960.435
0.285,915.984
0.289,929.278
0.293,830.894
0.297,930.247
0.301,898.369
0.305,805.173
0.309,835.816
0.313,796.027
0.316,723.447
0.32,692.961
0.324,669.012
0.328,650.933
0.332,648.02
0.336,602.796
0.34,577.016
0.344,552.894
0.348,540.643
0.352,444.169
0.355,420.518
0.359,343.984
0.363,308.906
0.367,313.141
0.371,296.204
0.375,282.196
0.379,257.863
0.383,227.737
0.387,229.843
0.391,174.196
0.395,175.302
0.398,140.886
0.402,143.424
0.406,117
0.41,89.114
0.414,85.902
0.418,79.035
0.422,65
0.426,63.478
0.43,34
0.434,33
0.438,39.655
0.441,41
0.445,37
0.449,37.455
0.453,26
0.457,17
0.461,27
0.465,32
0.469,37
0.473,18
0.477,13
0.48,9
0.484,2
0.488,3
0.492,3
0.496,3
0.5,
0.504,
0.508,
0.512,2
