Band Value,FAI Count
-0.027,5
-0.025,3
-0.023,13
-0.021,30.106
-0.02,101
-0.018,326
-0.016,738.612
-0.014,"1,373.678"
-0.012,"3,839.376"
-0.01,"35,315.122"
-0.008,"55,777.871"
-0.006,"9,272.176"
-0.004,"1,993.824"
-0.002,"1,256.243"
0,"1,124.047"
0.002,"1,065.784"
0.004,"1,173.18"
0.006,"1,452.725"
0.008,"2,216.118"
0.01,"3,229.576"
0.012,"4,782.612"
0.014,"6,952.769"
0.016,"9,863.639"
0.018,"13,388.682"
0.02,"17,907.188"
0.021,"22,977.686"
0.023,"28,728.396"
0.025,"33,698.804"
0.027,"37,757.231"
0.029,"41,003.09"
0.031,"43,394.333"
0.033,"44,481.345"
0.035,"43,987.2"
0.037,"41,809.898"
0.039,"39,226.384"
0.041,"35,260.765"
0.043,"30,823.235"
0.045,"27,141.612"
0.047,"23,338.09"
0.049,"19,432.353"
0.051,"16,195.278"
0.053,"13,939.561"
0.055,"11,764.239"
0.057,"10,150.075"
0.059,"8,955.698"
0.061,"7,747.725"
0.063,"6,806.161"
0.064,"6,042.82"
0.066,"5,385.835"
0.068,"4,996.753"
0.07,"4,679.184"
0.072,"4,093.831"
0.074,"3,796.2"
0.076,"3,375.243"
0.078,"3,180.604"
0.08,"2,883.031"
0.082,"2,698.039"
0.084,"2,579.718"
0.086,"2,332.722"
0.088,"2,132.353"
0.09,"2,060.796"
0.092,"1,869.18"
0.094,"1,664.243"
0.096,"1,607.361"
0.098,"1,476.184"
0.1,"1,428.878"
0.102,"1,220.878"
0.104,"1,214.886"
0.105,"1,048.675"
0.107,"1,046.933"
0.109,929.016
0.111,909.796
0.113,837.773
0.115,737.2
0.117,746.349
0.119,698.71
0.121,587.584
0.123,555.984
0.125,576
0.127,511.514
0.129,489.024
0.131,470.616
0.133,426.251
0.135,389.576
0.137,355.918
0.139,346.184
0.141,281.98
0.143,260.537
0.145,253.753
0.146,256.114
0.148,224.278
0.15,181.322
0.152,196.541
0.154,207.545
0.156,177.992
0.158,166.843
0.16,144.51
0.162,132.714
0.164,127.565
0.166,125.322
0.168,107
0.17,113.878
0.172,129.671
0.174,93.675
0.176,101.42
0.178,95
0.18,114
0.182,100
0.184,76
0.186,96.322
0.188,76.706
0.189,69.204
0.191,84.98
0.193,78.82
0.195,91.012
0.197,60.216
0.199,72.192
0.201,53
0.203,64.169
0.205,47.82
0.207,53.827
0.209,51
0.211,42
0.213,69.98
0.215,55
0.217,38
0.219,28.51
0.221,53
0.223,44
0.225,42.024
0.227,41
0.229,35
0.23,40
0.232,45
0.234,46
0.236,32.98
0.238,33.702
0.24,40.82
0.242,45.533
0.244,29
0.246,34
0.248,44
0.25,42
0.252,29
0.254,25
0.256,38
0.258,47
0.26,42.02
0.262,33
0.264,29
0.266,27
0.268,16
0.27,24
0.271,31
0.273,21
0.275,9
0.277,8
0.279,13
0.281,9
0.283,18
0.285,12
0.287,12
0.289,20
0.291,11
0.293,8
0.295,8
0.297,9
0.299,3
0.301,4
0.303,3
0.305,9
0.307,6
0.309,8
0.311,8
0.313,7
0.314,7
0.316,6
0.318,8
0.32,4
0.322,1
0.324,2
0.326,7
0.328,1
0.33,7
0.332,3
0.334,5
0.336,1
0.338,5
0.34,1
0.342,4
0.344,2
0.346,
0.348,4
0.35,3
0.352,1
0.354,
0.355,3
0.357,5
0.359,1
0.361,
0.363,4
0.365,3
0.367,2
0.369,2
0.371,3
