Band Value,FAI Count
-0.023,1
-0.021,14.906
-0.02,36
-0.018,151
-0.016,522.2
-0.014,"1,379.769"
-0.012,"9,240.886"
-0.01,"42,802.02"
-0.008,"37,012.945"
-0.006,"12,236.541"
-0.004,"4,156.275"
-0.002,"1,794.498"
0,"1,722.596"
0.002,"2,634.592"
0.004,"4,101.678"
0.006,"6,694.733"
0.008,"10,148.702"
0.01,"13,280.42"
0.012,"15,970.753"
0.014,"18,912.702"
0.016,"21,461.475"
0.018,"23,922.706"
0.02,"26,171.529"
0.021,"29,067.961"
0.023,"30,842.831"
0.025,"33,492.682"
0.027,"34,615.384"
0.029,"35,307.071"
0.031,"35,051.075"
0.033,"34,608.929"
0.035,"33,260.973"
0.037,"32,266.871"
0.039,"30,626.525"
0.041,"28,546.482"
0.043,"25,718.576"
0.045,"22,528.949"
0.047,"19,549.753"
0.049,"16,783.388"
0.051,"14,064.525"
0.053,"12,044.008"
0.055,"10,313.4"
0.057,"8,819.831"
0.059,"7,822.09"
0.061,"6,833.659"
0.063,"5,917.09"
0.064,"5,536.251"
0.066,"4,832.122"
0.068,"4,288.102"
0.07,"3,905.78"
0.072,"3,579.945"
0.074,"3,122.212"
0.076,"2,897.808"
0.078,"2,601.278"
0.08,"2,416.024"
0.082,"2,353.612"
0.084,"2,107.012"
0.086,"2,015.071"
0.088,"1,889.482"
0.09,"1,677.298"
0.092,"1,552.706"
0.094,"1,449.098"
0.096,"1,368.867"
0.098,"1,330.824"
0.1,"1,246.992"
0.102,"1,203.58"
0.104,"1,071.345"
0.105,"1,061.769"
0.107,997.106
0.109,912.533
0.111,948.478
0.113,847.576
0.115,914.251
0.117,840.992
0.119,766.824
0.121,799.584
0.123,773.235
0.125,742.4
0.127,699.631
0.129,672.463
0.131,679.388
0.133,572.224
0.135,606.929
0.137,546.898
0.139,528.251
0.141,544.18
0.143,466.737
0.145,454.161
0.146,426.145
0.148,374.694
0.15,400.949
0.152,402.898
0.154,352.098
0.156,334.435
0.158,333.678
0.16,310.941
0.162,283.925
0.164,287.961
0.166,291
0.168,254.016
0.17,253.945
0.172,225.035
0.174,202.518
0.176,202.259
0.178,205.012
0.18,199.89
0.182,165.031
0.184,175.659
0.186,201.827
0.188,171
0.189,173
0.191,159.204
0.193,147.941
0.195,145.365
0.197,163
0.199,154
0.201,134
0.203,112
0.205,129
0.207,100
0.209,81.984
0.211,99
0.213,106
0.215,101
0.217,81
0.219,94
0.221,86
0.223,59
0.225,65
0.227,75
0.229,62.592
0.23,82
0.232,54
0.234,64
0.236,56
0.238,68
0.24,43
0.242,37
0.244,42
0.246,32
0.248,55.275
0.25,38.427
0.252,48
0.254,57
0.256,45
0.258,29
0.26,41
0.262,48
0.264,44
0.266,33.984
0.268,28
0.27,38
0.271,33
0.273,29
0.275,36
0.277,21
0.279,41
0.281,25
0.283,18
0.285,22
0.287,25
0.289,24
0.291,20
0.293,18
0.295,16.451
0.297,11.122
0.299,16
0.301,22
0.303,15.949
0.305,14
0.307,14
0.309,13
0.311,11
0.313,18.557
0.314,11
0.316,11
0.318,16
0.32,13
0.322,12
0.324,12.059
0.326,13
0.328,5
0.33,7
0.332,12
0.334,8
0.336,12
0.338,3
0.34,5
0.342,3
0.344,8
0.346,5
0.348,3
0.35,2
0.352,4
0.354,4
0.355,2
0.357,2
0.359,
0.361,1
0.363,3
0.365,2
0.367,1
0.369,2
0.371,1
0.373,
0.375,2
0.377,
0.379,1
0.381,1
0.383,
0.385,
0.387,1
0.389,
0.391,1
