Band Value,FAI Count
-0.102,2
-0.098,
-0.094,1
-0.09,1
-0.086,2
-0.082,7
-0.078,7
-0.074,7
-0.07,15
-0.066,32
-0.063,41
-0.059,72
-0.055,113.969
-0.051,169.925
-0.047,272.125
-0.043,416.694
-0.039,550.047
-0.035,840.776
-0.031,"1,227.635"
-0.027,"1,943.02"
-0.023,"3,396.42"
-0.02,"8,337.043"
-0.016,"30,260.475"
-0.012,"20,160.953"
-0.008,"13,100.863"
-0.004,"12,778.796"
0,"13,683.749"
0.004,"18,378.251"
0.008,"28,035.286"
0.012,"37,553.816"
0.016,"45,256.863"
0.02,"51,888.192"
0.023,"55,645.494"
0.027,"58,244.196"
0.031,"57,110.467"
0.035,"53,559.616"
0.039,"47,951.839"
0.043,"41,117.11"
0.047,"33,818.004"
0.051,"27,162.855"
0.055,"22,192.906"
0.059,"18,148.835"
0.063,"14,787.827"
0.066,"12,276.702"
0.07,"10,416.871"
0.074,"8,795.059"
0.078,"7,554.431"
0.082,"6,541.859"
0.086,"5,818.612"
0.09,"4,939.506"
0.094,"4,421.506"
0.098,"4,061.463"
0.102,"3,460.486"
0.105,"3,288.545"
0.109,"3,023.635"
0.113,"2,605.051"
0.117,"2,351.427"
0.121,"2,173.941"
0.125,"1,985.239"
0.129,"1,837.82"
0.133,"1,716.027"
0.137,"1,636.867"
0.141,"1,510.227"
0.145,"1,300.706"
0.148,"1,275.094"
0.152,"1,096.592"
0.156,"1,079.22"
0.16,986.525
0.164,929.133
0.168,887.157
0.172,759.235
0.176,756.545
0.18,714.404
0.184,697.82
0.188,688.204
0.191,670.039
0.195,626.702
0.199,599.925
0.203,539.576
0.207,529.447
0.211,516.376
0.215,488.098
0.219,464.314
0.223,433.933
0.227,405.973
0.23,430.502
0.234,415.176
0.238,425.835
0.242,359.353
0.246,343.949
0.25,348
0.254,347.125
0.258,332.969
0.262,308.659
0.266,307.918
0.27,317
0.273,347.565
0.277,295.624
0.281,284.043
0.285,266
0.289,321.525
0.293,286.945
0.297,253.678
0.301,273.969
0.305,265.141
0.309,261
0.313,271.804
0.316,268.008
0.32,245
0.324,286.2
0.328,266.02
0.332,263.541
0.336,256.58
0.34,272.024
0.344,282.957
0.348,287.38
0.352,230.898
0.355,261
0.359,222.918
0.363,236.541
0.367,251.667
0.371,218.106
0.375,215
0.379,236.537
0.383,225.216
0.387,201.804
0.391,197.412
0.395,193.059
0.398,181.937
0.402,176.859
0.406,170.012
0.41,181.525
0.414,175.984
0.418,147.82
0.422,168.275
0.426,163.031
0.43,162.969
0.434,129.427
0.438,162
0.441,124
0.445,135
0.449,116
0.453,117
0.457,100
0.461,99
0.465,72
0.469,77
0.473,56
0.477,53
0.48,29
0.484,33
0.488,24
0.492,25
0.496,16
0.5,11
0.504,7
0.508,11
0.512,10
0.516,3
0.52,2
0.523,3
0.527,3
0.531,2
0.535,
0.539,1
0.543,2
