Band Value,FAI Count
-0.025,4
-0.023,330.945
-0.021,"1,860.325"
-0.02,"3,174.424"
-0.018,"3,610.635"
-0.016,"4,456.365"
-0.014,"7,698.208"
-0.012,"10,500.592"
-0.01,"10,145.667"
-0.008,"8,754.141"
-0.006,"6,973.016"
-0.004,"7,018.42"
-0.002,"8,028.196"
0,"8,756.949"
0.002,"7,983.522"
0.004,"6,295.675"
0.006,"4,151.78"
0.008,"2,669.224"
0.01,"2,089.212"
0.012,"1,693.024"
0.014,"1,520.463"
0.016,"1,376.973"
0.018,"1,287.973"
0.02,"1,257.706"
0.021,"1,157.38"
0.023,"1,101.576"
0.025,"1,163.541"
0.027,"1,092"
0.029,"1,061.976"
0.031,"1,121.757"
0.033,"1,141.196"
0.035,"1,225.29"
0.037,"1,209.463"
0.039,"1,258"
0.041,"1,260.49"
0.043,"1,276.984"
0.045,"1,296.02"
0.047,"1,325.718"
0.049,"1,367.549"
0.051,"1,324.137"
0.053,"1,400.478"
0.055,"1,369.094"
0.057,"1,427.612"
0.059,"1,442.016"
0.061,"1,347.435"
0.063,"1,412"
0.064,"1,442.447"
0.066,"1,503.976"
0.068,"1,439.996"
0.07,"1,561.984"
0.072,"1,500.086"
0.074,"1,482.122"
0.076,"1,577.643"
0.078,"1,604.898"
0.08,"1,561.831"
0.082,"1,544.078"
0.084,"1,631.067"
0.086,"1,708.424"
0.088,"1,728.588"
0.09,"1,810.027"
0.092,"1,831.729"
0.094,"1,923.122"
0.096,"1,994.58"
0.098,"1,922.31"
0.1,"2,015.737"
0.102,"2,117.482"
0.104,"2,102.439"
0.105,"2,316.996"
0.107,"2,383.922"
0.109,"2,627.78"
0.111,"2,674.322"
0.113,"2,938.412"
0.115,"3,007.157"
0.117,"3,413.384"
0.119,"3,584.184"
0.121,"3,744.965"
0.123,"3,969.361"
0.125,"4,313.251"
0.127,"4,659.525"
0.129,"5,011.82"
0.131,"5,329.902"
0.133,"5,683.027"
0.135,"6,039.02"
0.137,"6,658.325"
0.139,"7,092.486"
0.141,"7,598.89"
0.143,"8,103.592"
0.145,"8,679.412"
0.146,"9,043.871"
0.148,"9,757.188"
0.15,"10,242.824"
0.152,"10,622.655"
0.154,"11,179.82"
0.156,"11,780.416"
0.158,"12,270.212"
0.16,"12,457.098"
0.162,"13,070.6"
0.164,"13,631.49"
0.166,"13,903.098"
0.168,"14,004.227"
0.17,"14,597.306"
0.172,"14,528.824"
0.174,"14,969.043"
0.176,"15,070.294"
0.178,"15,136.184"
0.18,"14,727.482"
0.182,"15,410.616"
0.184,"15,112.145"
0.186,"15,151.325"
0.188,"15,000.71"
0.189,"14,788.031"
0.191,"14,657.424"
0.193,"14,506.278"
0.195,"14,451.059"
0.197,"13,823.541"
0.199,"13,874.235"
0.201,"13,222.216"
0.203,"12,952.4"
0.205,"12,614.114"
0.207,"11,864.631"
0.209,"11,323.918"
0.211,"10,555.592"
0.213,"10,098.71"
0.215,"9,434.812"
0.217,"8,940.894"
0.219,"8,191.035"
0.221,"7,440.294"
0.223,"6,814.235"
0.225,"6,459.945"
0.227,"5,851.439"
0.229,"5,361.827"
0.23,"4,840.894"
0.232,"4,453.392"
0.234,"3,952.004"
0.236,"3,589.255"
0.238,"3,284.835"
0.24,"2,888.212"
0.242,"2,554.984"
0.244,"2,310.953"
0.246,"2,050.471"
0.248,"1,886.078"
0.25,"1,640.937"
0.252,"1,532.153"
0.254,"1,257.231"
0.256,"1,135.514"
0.258,"1,012.02"
0.26,869.361
0.262,808.941
0.264,685.216
0.266,643.349
0.268,583
0.27,479
0.271,393.769
0.273,398
0.275,336.482
0.277,296
0.279,264.255
0.281,231.749
0.283,209
0.285,190
0.287,134
0.289,110
0.291,129.329
0.293,123
0.295,86
0.297,73
0.299,79
0.301,61.016
0.303,77.486
0.305,50
0.307,44
0.309,44.043
0.311,34
0.313,32
0.314,33.8
0.316,23
0.318,20
0.32,22
0.322,27
0.324,20.592
0.326,15
0.328,11
0.33,15
0.332,12
0.334,11
0.336,10
0.338,9
0.34,15
0.342,6
0.344,4
0.346,4
0.348,4
0.35,3
0.352,3
0.354,8
0.355,3
0.357,3
0.359,
0.361,1
0.363,1
0.365,2
0.367,
0.369,1
0.371,
0.373,
0.375,
0.377,
0.379,1
0.381,
0.383,
0.385,
0.387,
0.389,
0.391,
0.393,
0.395,
0.396,1
0.398,
0.4,2
