Band Value,FAI Count
-0.025,1
-0.023,1
-0.021,5
-0.02,51
-0.018,"1,063.165"
-0.016,"6,360.69"
-0.014,"13,302.075"
-0.012,"13,862.141"
-0.01,"12,885.22"
-0.008,"11,992.722"
-0.006,"11,027.271"
-0.004,"10,404.431"
-0.002,"10,584.478"
0,"7,510.329"
0.002,"3,317.588"
0.004,"2,089.898"
0.006,"1,628.365"
0.008,"1,391.91"
0.01,"1,250"
0.012,"1,072.486"
0.014,"1,064.251"
0.016,"1,200.569"
0.018,"1,784.682"
0.02,"2,712.408"
0.021,"3,643.812"
0.023,"4,534.859"
0.025,"5,036.675"
0.027,"5,288.325"
0.029,"5,385"
0.031,"5,280.455"
0.033,"4,635.882"
0.035,"4,251.714"
0.037,"4,033.365"
0.039,"3,836.094"
0.041,"3,650.29"
0.043,"3,343.992"
0.045,"3,142.945"
0.047,"3,090.302"
0.049,"2,999.796"
0.051,"2,988.231"
0.053,"2,713.698"
0.055,"2,846.894"
0.057,"2,782.831"
0.059,"2,791.553"
0.061,"2,964.11"
0.063,"2,910.38"
0.064,"3,036.176"
0.066,"3,407.894"
0.068,"3,382.427"
0.07,"3,512.31"
0.072,"3,449.945"
0.074,"3,789.314"
0.076,"4,079.506"
0.078,"4,265.353"
0.08,"4,703.004"
0.082,"5,040.227"
0.084,"5,227.647"
0.086,"5,593.016"
0.088,"6,092.886"
0.09,"6,361.565"
0.092,"6,477.329"
0.094,"6,999.6"
0.096,"7,106.294"
0.098,"7,670.608"
0.1,"7,900.271"
0.102,"8,286.259"
0.104,"8,564.565"
0.105,"9,167.212"
0.107,"9,408.988"
0.109,"9,840.627"
0.111,"10,137.122"
0.113,"10,886.992"
0.115,"11,128.133"
0.117,"11,607.047"
0.119,"11,843.255"
0.121,"12,148.435"
0.123,"12,612.376"
0.125,"12,956.655"
0.127,"13,395.329"
0.129,"13,462.098"
0.131,"13,437.369"
0.133,"13,939.996"
0.135,"13,779.467"
0.137,"13,882.729"
0.139,"13,743.173"
0.141,"13,947.667"
0.143,"13,905.529"
0.145,"13,516.855"
0.146,"13,463.784"
0.148,"12,991.357"
0.15,"12,843.573"
0.152,"12,523.129"
0.154,"12,324.282"
0.156,"11,985.161"
0.158,"11,603.298"
0.16,"11,389.416"
0.162,"10,852.239"
0.164,"10,318.408"
0.166,"9,946.945"
0.168,"9,565.882"
0.17,"9,123.067"
0.172,"8,775.416"
0.174,"8,382.514"
0.176,"7,702.976"
0.178,"7,287.443"
0.18,"7,092.467"
0.182,"6,714.718"
0.184,"6,152.11"
0.186,"5,598.945"
0.188,"5,168.031"
0.189,"4,902.537"
0.191,"4,608.275"
0.193,"4,139.478"
0.195,"3,954.278"
0.197,"3,606.235"
0.199,"3,210.035"
0.201,"3,047.776"
0.203,"2,699.839"
0.205,"2,469.408"
0.207,"2,065.792"
0.209,"2,003.976"
0.211,"1,788.933"
0.213,"1,618.408"
0.215,"1,476.553"
0.217,"1,312.157"
0.219,"1,275.769"
0.221,"1,073.09"
0.223,"1,013.243"
0.225,922
0.227,796.231
0.229,731.541
0.23,725.694
0.232,589.114
0.234,621.424
0.236,509.043
0.238,427.02
0.24,408
0.242,385
0.244,319.988
0.246,262.635
0.248,262
0.25,214.592
0.252,220.086
0.254,174.878
0.256,217.573
0.258,140.714
0.26,142
0.262,134
0.264,100
0.266,105
0.268,100.329
0.27,109
0.271,72
0.273,71
0.275,65
0.277,69
0.279,60
0.281,58
0.283,52
0.285,54
0.287,40
0.289,38.086
0.291,40
0.293,27.773
0.295,42.027
0.297,27.949
0.299,24
0.301,29
0.303,34
0.305,24.875
0.307,32
0.309,17
0.311,27.176
0.313,17
0.314,19
0.316,18
0.318,16
0.32,14
0.322,16
0.324,14
0.326,14
0.328,9
0.33,10
0.332,14
0.334,13
0.336,8
0.338,19
0.34,14
0.342,12
0.344,6
0.346,5
0.348,7
0.35,1
0.352,4
0.354,7
0.355,8
0.357,1
0.359,2
0.361,4
0.363,
0.365,3
0.367,4
0.369,1
0.371,1
0.373,1
0.375,4
0.377,
0.379,1
0.381,
0.383,1
0.385,
0.387,1
0.389,1
0.391,
0.393,1
0.395,
0.396,
0.398,1
