Band Value,FAI Count
-0.035,1
-0.031,
-0.027,
-0.023,7
-0.02,50
-0.016,340.906
-0.012,"14,134.369"
-0.008,"77,341.169"
-0.004,"11,593.153"
0,"3,317.78"
0.004,"2,074.424"
0.008,"2,040.71"
0.012,"2,192.976"
0.016,"2,513.247"
0.02,"2,949.216"
0.023,"3,933.02"
0.027,"4,655.694"
0.031,"5,714.851"
0.035,"7,022.325"
0.039,"8,546.518"
0.043,"10,450.537"
0.047,"12,716.455"
0.051,"15,167.945"
0.055,"18,442.914"
0.059,"21,054.055"
0.063,"22,947.141"
0.066,"25,189.569"
0.07,"26,949.431"
0.074,"28,545.533"
0.078,"29,830.451"
0.082,"30,479.435"
0.086,"30,956.016"
0.09,"31,013.447"
0.094,"31,180.698"
0.098,"30,448.659"
0.102,"29,994.808"
0.105,"28,310.569"
0.109,"26,935.482"
0.113,"25,610.553"
0.117,"23,868.792"
0.121,"21,928.455"
0.125,"20,276.745"
0.129,"17,915.753"
0.133,"15,964.043"
0.137,"14,426.98"
0.141,"12,599.004"
0.145,"10,818.788"
0.148,"9,612.078"
0.152,"8,173.129"
0.156,"7,164.349"
0.16,"5,889.125"
0.164,"5,326.486"
0.168,"4,535.412"
0.172,"3,796.824"
0.176,"3,263.698"
0.18,"2,865.353"
0.184,"2,502.871"
0.188,"2,149.98"
0.191,"1,898.239"
0.195,"1,695.059"
0.199,"1,477.078"
0.203,"1,374.227"
0.207,"1,309.6"
0.211,"1,081.749"
0.215,"1,065.337"
0.219,922.016
0.223,874.118
0.227,799.208
0.23,724.38
0.234,767.98
0.238,606.294
0.242,691.922
0.246,528.976
0.25,529.773
0.254,488.106
0.258,473.58
0.262,431
0.266,377.227
0.27,411.227
0.273,375.341
0.277,362.102
0.281,347.906
0.285,312.122
0.289,247.78
0.293,220.882
0.297,216.404
0.301,200.031
0.305,188.071
0.309,173.82
0.313,176.557
0.316,145.173
0.32,126.616
0.324,121.957
0.328,75
0.332,74
0.336,59
0.34,80.224
0.344,39
0.348,50.278
0.352,66.545
0.355,26
0.359,34
0.363,25
0.367,35
0.371,21
0.375,28
0.379,23
0.383,20
0.387,14
0.391,15
0.395,19
0.398,16
0.402,15
0.406,9
0.41,9
0.414,7
0.418,6
0.422,4
0.426,7
0.43,6
0.434,3
0.438,4
0.441,5
0.445,5
0.449,3
0.453,4
0.457,3
0.461,1
0.465,1
0.469,4
0.473,1
0.477,3
0.48,
0.484,
0.488,1
