Band Value,NDVI Count
-0.563,1
-0.555,
-0.547,1
-0.539,
-0.531,2
-0.523,7
-0.516,6
-0.508,9
-0.5,12
-0.492,10
-0.484,18
-0.477,25
-0.469,35
-0.461,39
-0.453,63
-0.445,91.749
-0.438,102
-0.43,124
-0.422,210
-0.414,275.706
-0.406,351.863
-0.398,425.475
-0.391,631.839
-0.383,788.604
-0.375,"1,053.349"
-0.367,"1,316.18"
-0.359,"1,524.694"
-0.352,"1,920.941"
-0.344,"2,232.247"
-0.336,"2,427.953"
-0.328,"2,737.365"
-0.32,"3,137.498"
-0.313,"3,241.961"
-0.305,"3,501.451"
-0.297,"3,720.494"
-0.289,"3,998.667"
-0.281,"4,244.965"
-0.273,"4,505.867"
-0.266,"4,525.608"
-0.258,"4,768.765"
-0.25,"4,779.314"
-0.242,"4,722.957"
-0.234,"4,366.898"
-0.227,"4,093.533"
-0.219,"3,883.427"
-0.211,"3,629.847"
-0.203,"3,238.635"
-0.195,"2,757.424"
-0.188,"2,516.337"
-0.18,"2,164.224"
-0.172,"1,845.522"
-0.164,"1,621.42"
-0.156,"1,500.569"
-0.148,"1,241.729"
-0.141,"1,201.804"
-0.133,"1,129.969"
-0.125,"1,032.129"
-0.117,923.749
-0.109,853.667
-0.102,710.545
-0.094,747.208
-0.086,657.831
-0.078,632.51
-0.07,617
-0.063,526.302
-0.055,538
-0.047,498
-0.039,495
-0.031,499.392
-0.023,460.886
-0.016,444.122
-0.008,436.333
0,478.208
0.008,440.973
0.016,492.165
0.023,421.545
0.031,476.435
0.039,555.976
0.047,613.463
0.055,734.804
0.063,960
0.07,"1,147.545"
0.078,"1,267.549"
0.086,"1,239.976"
0.094,"1,388.02"
0.102,"1,553.49"
0.109,"1,525.976"
0.117,"1,531"
0.125,"1,538.337"
0.133,"1,352.259"
0.141,"1,467.051"
0.148,"1,498"
0.156,"1,501"
0.164,"1,515.608"
0.172,"1,483.988"
0.18,"1,633.518"
0.188,"1,729.055"
0.195,"1,961.122"
0.203,"2,180.141"
0.211,"2,675"
0.219,"2,998.694"
0.227,"3,719.847"
0.234,"4,433.647"
0.242,"5,186.322"
0.25,"6,004.2"
0.258,"6,845.518"
0.266,"7,826.835"
0.273,"8,931.749"
0.281,"9,569.561"
0.289,"10,306.337"
0.297,"11,237.49"
0.305,"12,380.204"
0.313,"12,678.008"
0.32,"13,518.788"
0.328,"14,179.741"
0.336,"14,386.898"
0.344,"14,743.145"
0.352,"14,912.224"
0.359,"15,047.384"
0.367,"15,511.494"
0.375,"15,705.918"
0.383,"15,608.553"
0.391,"15,852.871"
0.398,"15,770.867"
0.406,"15,497.008"
0.414,"15,456.694"
0.422,"15,196"
0.43,"14,880.592"
0.438,"14,740.184"
0.445,"14,668.635"
0.453,"14,369.655"
0.461,"14,411.835"
0.469,"13,889.51"
0.477,"13,798.161"
0.484,"13,745.439"
0.492,"13,766.529"
0.5,"13,207.749"
0.508,"12,929.373"
0.516,"12,429.165"
0.523,"12,429.769"
0.531,"11,805.306"
0.539,"11,576.306"
0.547,"11,061.475"
0.555,"10,749.027"
0.563,"10,513.016"
0.57,"9,877.69"
0.578,"9,428.208"
0.586,"9,180.788"
0.594,"8,518.325"
0.602,"7,686.38"
0.609,"7,437.957"
0.617,"6,828.078"
0.625,"6,595.231"
0.633,"5,871.075"
0.641,"5,526.424"
0.648,"5,085.933"
0.656,"4,701.753"
0.664,"4,153.267"
0.672,"3,958.922"
0.68,"3,690.6"
0.688,"3,298.475"
0.695,"3,099.824"
0.703,"2,933.69"
0.711,"2,711.498"
0.719,"2,571.616"
0.727,"2,312.761"
0.734,"2,303.337"
0.742,"2,196.353"
0.75,"2,109.4"
0.758,"2,067.251"
0.766,"1,942.278"
0.773,"1,924.796"
0.781,"1,803.306"
0.789,"1,674.514"
0.797,"1,464.835"
0.805,"1,413.039"
0.813,"1,485.149"
0.82,"1,327.486"
0.828,"1,270.063"
0.836,"1,275.078"
0.844,"1,227.784"
0.852,"1,316.267"
0.859,"1,348.561"
0.867,"1,370.525"
0.875,"1,309.627"
0.883,"1,213.769"
0.891,965.161
0.898,607.565
0.906,293.639
0.914,176
0.922,45.102
