Band Value,NDVI Count
-0.734,1
-0.727,
-0.719,
-0.711,
-0.703,
-0.695,
-0.688,
-0.68,1
-0.672,0.922
-0.664,1
-0.656,
-0.648,
-0.641,
-0.633,2
-0.625,2
-0.617,7
-0.609,9
-0.602,12
-0.594,21.843
-0.586,21.894
-0.578,25
-0.57,35.953
-0.563,40
-0.555,78.024
-0.547,77.965
-0.539,104.106
-0.531,120.012
-0.523,141.114
-0.516,200
-0.508,271
-0.5,304.478
-0.492,339.878
-0.484,428.086
-0.477,495.992
-0.469,597.773
-0.461,687.451
-0.453,800.8
-0.445,897.42
-0.438,996.992
-0.43,"1,205.141"
-0.422,"1,338.176"
-0.414,"1,454.306"
-0.406,"1,735.086"
-0.398,"1,885.616"
-0.391,"2,206.439"
-0.383,"2,313.435"
-0.375,"2,719.102"
-0.367,"2,980.447"
-0.359,"3,153.867"
-0.352,"3,226.388"
-0.344,"3,309.839"
-0.336,"3,954.737"
-0.328,"3,656.545"
-0.32,"3,842.859"
-0.313,"3,898.529"
-0.305,"3,765.584"
-0.297,"3,768.549"
-0.289,"3,712.067"
-0.281,"3,436.804"
-0.273,"3,378.125"
-0.266,"3,229.035"
-0.258,"3,028.408"
-0.25,"3,013.612"
-0.242,"2,752.325"
-0.234,"2,561.784"
-0.227,"2,387.831"
-0.219,"2,159.694"
-0.211,"2,024.137"
-0.203,"1,879.392"
-0.195,"1,736.725"
-0.188,"1,543.431"
-0.18,"1,477.647"
-0.172,"1,288.388"
-0.164,"1,120.643"
-0.156,"1,072.42"
-0.148,"1,007.475"
-0.141,927.447
-0.133,859.145
-0.125,823.686
-0.117,753.592
-0.109,719.114
-0.102,688.655
-0.094,643.4
-0.086,587.133
-0.078,571.122
-0.07,564.075
-0.063,508.553
-0.055,443.682
-0.047,491.008
-0.039,439
-0.031,471.243
-0.023,435
-0.016,389.2
-0.008,342
0,471.345
0.008,399.976
0.016,397
0.023,412.498
0.031,471.529
0.039,491
0.047,544.294
0.055,722.157
0.063,947.18
0.07,"1,161"
0.078,"1,358.969"
0.086,"1,420.482"
0.094,"1,508.153"
0.102,"1,534.733"
0.109,"1,571.024"
0.117,"1,587.58"
0.125,"1,616.176"
0.133,"1,604.922"
0.141,"1,709.682"
0.148,"1,763.898"
0.156,"1,837.871"
0.164,"1,936"
0.172,"2,093.937"
0.18,"2,361.62"
0.188,"2,719"
0.195,"3,577.851"
0.203,"4,294.698"
0.211,"5,505.945"
0.219,"6,798.643"
0.227,"8,258.506"
0.234,"9,434.122"
0.242,"11,184.329"
0.25,"12,612.333"
0.258,"13,903.718"
0.266,"15,231.388"
0.273,"16,508.827"
0.281,"17,943.337"
0.289,"18,811.635"
0.297,"19,609.475"
0.305,"20,880.008"
0.313,"21,368.439"
0.32,"22,341.392"
0.328,"22,320.31"
0.336,"22,748.576"
0.344,"22,582.604"
0.352,"22,029.855"
0.359,"21,405.706"
0.367,"20,543.416"
0.375,"20,165.698"
0.383,"19,516.678"
0.391,"18,530.42"
0.398,"17,183.149"
0.406,"16,216.69"
0.414,"15,365.396"
0.422,"14,349.161"
0.43,"13,106.537"
0.438,"12,335.761"
0.445,"11,218.4"
0.453,"10,444.741"
0.461,"9,617.204"
0.469,"8,867.639"
0.477,"8,092.063"
0.484,"7,451.675"
0.492,"7,008.063"
0.5,"6,475.337"
0.508,"5,838.663"
0.516,"5,618.337"
0.523,"5,192.518"
0.531,"4,699.855"
0.539,"4,376.506"
0.547,"4,229.325"
0.555,"3,934.243"
0.563,"3,721.8"
0.57,"3,699.769"
0.578,"3,500.196"
0.586,"3,193.549"
0.594,"3,128.114"
0.602,"2,956.333"
0.609,"2,786.318"
0.617,"2,709.855"
0.625,"2,670.31"
0.633,"2,482.737"
0.641,"2,481.141"
0.648,"2,354.075"
0.656,"2,307.349"
0.664,"2,229.447"
0.672,"2,180.855"
0.68,"2,119.271"
0.688,"2,057.345"
0.695,"1,998.063"
0.703,"1,972.749"
0.711,"1,954.051"
0.719,"1,911.282"
0.727,"1,881.6"
0.734,"1,825.733"
0.742,"1,710.396"
0.75,"1,747.565"
0.758,"1,737.925"
0.766,"1,695.702"
0.773,"1,599.757"
0.781,"1,515.024"
0.789,"1,502.58"
0.797,"1,409.729"
0.805,"1,303.557"
0.813,"1,287.255"
0.82,"1,252.667"
0.828,"1,273.769"
0.836,"1,291.627"
0.844,"1,240.388"
0.852,"1,289.318"
0.859,"1,230.271"
0.867,"1,289.353"
0.875,"1,165.6"
0.883,"1,114.851"
0.891,838.757
0.898,650.337
0.906,466.91
0.914,268
0.922,157
0.93,140
0.938,18
