Band Value,NDVI Count
-0.352,1
-0.344,
-0.336,1
-0.328,2
-0.32,1
-0.313,1
-0.305,3
-0.297,22
-0.289,46
-0.281,130
-0.273,254
-0.266,420
-0.258,612.396
-0.25,922.114
-0.242,"1,328.529"
-0.234,"1,858.988"
-0.227,"2,576.427"
-0.219,"3,304.541"
-0.211,"4,060.322"
-0.203,"4,959.565"
-0.195,"6,033.62"
-0.188,"6,580.329"
-0.18,"7,178.02"
-0.172,"7,054.553"
-0.164,"6,913.867"
-0.156,"6,382.522"
-0.148,"6,039.855"
-0.141,"5,414.212"
-0.133,"4,693.396"
-0.125,"4,222.902"
-0.117,"3,710.753"
-0.109,"3,233.537"
-0.102,"2,889.094"
-0.094,"2,444.408"
-0.086,"2,164.212"
-0.078,"1,829.745"
-0.07,"1,521.09"
-0.063,"1,349.365"
-0.055,"1,260.906"
-0.047,"1,044"
-0.039,862.698
-0.031,761.008
-0.023,677.945
-0.016,547.141
-0.008,514.886
0,522
0.008,432.976
0.016,472.498
0.023,515.075
0.031,512.604
0.039,641.961
0.047,802.49
0.055,"1,204.31"
0.063,"1,480.067"
0.07,"1,805.51"
0.078,"2,021.98"
0.086,"2,129"
0.094,"2,313.824"
0.102,"2,390.298"
0.109,"2,565.282"
0.117,"2,991.663"
0.125,"3,816.239"
0.133,"5,212.741"
0.141,"7,022.322"
0.148,"8,587.886"
0.156,"10,780.702"
0.164,"13,582.663"
0.172,"18,057.698"
0.18,"23,635.729"
0.188,"29,376.012"
0.195,"34,789.588"
0.203,"40,598.667"
0.211,"46,454.541"
0.219,"52,410.729"
0.227,"55,649.322"
0.234,"55,232.463"
0.242,"50,761.145"
0.25,"43,483.49"
0.258,"35,584.255"
0.266,"28,736.443"
0.273,"22,364.141"
0.281,"17,612.071"
0.289,"14,228.847"
0.297,"11,694"
0.305,"9,923.035"
0.313,"8,259.055"
0.32,"6,916.612"
0.328,"5,845.867"
0.336,"5,296.827"
0.344,"4,588.192"
0.352,"3,930.012"
0.359,"3,467.541"
0.367,"3,125.298"
0.375,"2,819.243"
0.383,"2,513.925"
0.391,"2,323.765"
0.398,"2,099.706"
0.406,"1,861.043"
0.414,"1,613.255"
0.422,"1,544.608"
0.43,"1,303.38"
0.438,"1,273.949"
0.445,"1,161.8"
0.453,"1,017.498"
0.461,958.463
0.469,812.02
0.477,746.984
0.484,683.333
0.492,609
0.5,588.682
0.508,563.58
0.516,497.51
0.523,455.855
0.531,393.878
0.539,396.137
0.547,310.537
0.555,304.965
0.563,309.804
0.57,295
0.578,238.012
0.586,223.122
0.594,190.671
0.602,200.741
0.609,189.98
0.617,199.176
0.625,184.58
0.633,152.431
0.641,162.8
0.648,148.208
0.656,136
0.664,134.98
0.672,104.51
0.68,114.529
0.688,129.549
0.695,127
0.703,120
0.711,124
0.719,118
0.727,61
0.734,38
0.742,30
0.75,20
0.758,16
0.766,6
0.773,4
0.781,2
0.789,6
