Band Value,NDVI Count
-0.227,4
-0.219,11
-0.211,39
-0.203,127.678
-0.195,298.682
-0.188,710.592
-0.18,"1,326.231"
-0.172,"1,924.161"
-0.164,"2,635.69"
-0.156,"2,952.843"
-0.148,"3,195.659"
-0.141,"3,312.294"
-0.133,"3,223.141"
-0.125,"3,495.91"
-0.117,"4,064.463"
-0.109,"4,635.059"
-0.102,"4,925.278"
-0.094,"5,217.004"
-0.086,"5,482.302"
-0.078,"5,911.792"
-0.07,"6,367.671"
-0.063,"6,839.224"
-0.055,"7,116.478"
-0.047,"7,211.784"
-0.039,"6,792.157"
-0.031,"5,579.573"
-0.023,"4,308.902"
-0.016,"2,996.161"
-0.008,"2,005.808"
0,"1,535.851"
0.008,"1,166.227"
0.016,960.392
0.023,852.039
0.031,899.973
0.039,943.208
0.047,"1,205.918"
0.055,"1,651.18"
0.063,"2,091.016"
0.07,"2,321.929"
0.078,"2,384"
0.086,"2,587.435"
0.094,"2,814.996"
0.102,"3,232.447"
0.109,"3,998.796"
0.117,"5,449.259"
0.125,"8,129.192"
0.133,"13,174.859"
0.141,"18,092.604"
0.148,"21,945.996"
0.156,"25,378.722"
0.164,"27,622.678"
0.172,"29,870.153"
0.18,"31,816.075"
0.188,"32,861.906"
0.195,"34,357.973"
0.203,"36,943.796"
0.211,"41,444.745"
0.219,"46,506.439"
0.227,"49,052.78"
0.234,"47,907.502"
0.242,"43,559.647"
0.25,"36,772.439"
0.258,"28,920.153"
0.266,"21,448.694"
0.273,"15,599.808"
0.281,"12,073.925"
0.289,"9,712.259"
0.297,"7,844.294"
0.305,"6,553.431"
0.313,"5,626.639"
0.32,"4,545.161"
0.328,"4,041.259"
0.336,"3,496.584"
0.344,"3,124.02"
0.352,"2,763.302"
0.359,"2,435.592"
0.367,"2,077.451"
0.375,"2,028.471"
0.383,"1,725.149"
0.391,"1,597.953"
0.398,"1,470.914"
0.406,"1,328.235"
0.414,"1,260.812"
0.422,"1,180.478"
0.43,"1,059.855"
0.438,"1,068.094"
0.445,953.922
0.453,946.914
0.461,957.318
0.469,848.949
0.477,814.616
0.484,759.176
0.492,672.698
0.5,695.475
0.508,654.345
0.516,551.114
0.523,537.357
0.531,511.184
0.539,486.094
0.547,471.671
0.555,428.212
0.563,431.929
0.57,372.624
0.578,359.173
0.586,356.216
0.594,334.184
0.602,299
0.609,258
0.617,240.592
0.625,250
0.633,219
0.641,217.427
0.648,158.275
0.656,163
0.664,130.984
0.672,139
0.68,145.451
0.688,115.071
0.695,108.557
0.703,123
0.711,85.059
0.719,64
0.727,63
0.734,52
0.742,32
0.75,27
0.758,19
0.766,8
0.773,5
0.781,2
