Band Value,NDVI Count
-1,155.235
-0.992,4.173
-0.984,30
-0.977,2.965
-0.969,13.204
-0.961,5
-0.953,7.051
-0.945,8.859
-0.938,12
-0.93,23
-0.922,23
-0.914,15
-0.906,11.463
-0.898,23.435
-0.891,20.933
-0.883,18.62
-0.875,25.533
-0.867,33.655
-0.859,30.694
-0.852,41.647
-0.844,16.796
-0.836,35.043
-0.828,26.008
-0.82,41.961
-0.813,23.271
-0.805,39.125
-0.797,61.098
-0.789,45.169
-0.781,49.886
-0.773,53.125
-0.766,73.973
-0.758,66.227
-0.75,62.761
-0.742,72.949
-0.734,66.067
-0.727,74.953
-0.719,82.341
-0.711,90.671
-0.703,111.067
-0.695,117
-0.688,69.702
-0.68,120.518
-0.672,129.996
-0.664,138.941
-0.656,153.969
-0.648,159.631
-0.641,167
-0.633,181.62
-0.625,224.784
-0.617,259.694
-0.609,289.22
-0.602,302.216
-0.594,320.976
-0.586,315
-0.578,336.024
-0.57,358
-0.563,467.855
-0.555,439.271
-0.547,481
-0.539,506.071
-0.531,500.141
-0.523,530
-0.516,525
-0.508,537.769
-0.5,615.278
-0.492,576.027
-0.484,585
-0.477,526
-0.469,581
-0.461,644.667
-0.453,694.216
-0.445,669.929
-0.438,671.584
-0.43,771.561
-0.422,748.039
-0.414,752.314
-0.406,808.529
-0.398,835.984
-0.391,860
-0.383,863.824
-0.375,911
-0.367,800
-0.359,771.506
-0.352,813
-0.344,780.424
-0.336,705
-0.328,667.412
-0.32,636.024
-0.313,597.345
-0.305,609.98
-0.297,565.671
-0.289,595.902
-0.281,525.275
-0.273,536.659
-0.266,529.314
-0.258,513.651
-0.25,545.373
-0.242,563
-0.234,488.937
-0.227,536.039
-0.219,549.82
-0.211,538.016
-0.203,514.471
-0.195,525.718
-0.188,473.392
-0.18,517.529
-0.172,494.149
-0.164,488.565
-0.156,563.588
-0.148,591.498
-0.141,569.851
-0.133,593.294
-0.125,667.675
-0.117,711.537
-0.109,807.102
-0.102,844.024
-0.094,848.345
-0.086,977.227
-0.078,"1,046.6"
-0.07,"1,153.831"
-0.063,"1,375.529"
-0.055,"1,732.282"
-0.047,"2,294.345"
-0.039,"3,157.039"
-0.031,"4,023.467"
-0.023,"5,240.325"
-0.016,"6,758.224"
-0.008,"8,315.192"
0,"8,669.655"
0.008,"6,605.831"
0.016,"4,546.463"
0.023,"3,409.757"
0.031,"3,112.537"
0.039,"2,834.357"
0.047,"2,865.667"
0.055,"2,926.224"
0.063,"3,216.914"
0.07,"3,669.42"
0.078,"4,165.02"
0.086,"4,752.29"
0.094,"5,015.851"
0.102,"5,746.659"
0.109,"6,339.463"
0.117,"6,685.459"
0.125,"7,858.933"
0.133,"9,109.788"
0.141,"10,484.608"
0.148,"11,742.184"
0.156,"13,200.125"
0.164,"14,759.482"
0.172,"15,969.925"
0.18,"17,539.239"
0.188,"18,813.157"
0.195,"20,512.153"
0.203,"22,299.667"
0.211,"24,285.678"
0.219,"26,647.459"
0.227,"29,063.031"
0.234,"31,466.761"
0.242,"33,685.894"
0.25,"34,084.843"
0.258,"32,878.137"
0.266,"30,956.871"
0.273,"28,464.557"
0.281,"25,464.537"
0.289,"22,919.11"
0.297,"19,699.282"
0.305,"17,198.776"
0.313,"14,863.961"
0.32,"12,891.337"
0.328,"11,428.204"
0.336,"10,188.671"
0.344,"8,987.624"
0.352,"7,786.404"
0.359,"6,972.635"
0.367,"6,300.831"
0.375,"5,569.953"
0.383,"5,027.443"
0.391,"4,625.769"
0.398,"4,080.663"
0.406,"3,945.325"
0.414,"3,459.42"
0.422,"3,286.749"
0.43,"2,995.749"
0.438,"2,797.753"
0.445,"2,516.788"
0.453,"2,299.365"
0.461,"2,291.235"
0.469,"1,975.569"
0.477,"1,922.243"
0.484,"1,630.796"
0.492,"1,687.047"
0.5,"1,577.98"
0.508,"1,447.729"
0.516,"1,441.553"
0.523,"1,389.824"
0.531,"1,249.125"
0.539,"1,136.596"
0.547,"1,124.886"
0.555,"1,136.788"
0.563,983.596
0.57,947.784
0.578,977.678
0.586,887.561
0.594,830.376
0.602,837.302
0.609,750.898
0.617,711.655
0.625,712.275
0.633,678.494
0.641,646.008
0.648,648.984
0.656,652.988
0.664,633.82
0.672,570.169
0.68,605.78
0.688,580.788
0.695,613.957
0.703,633.635
0.711,636.475
0.719,578.627
0.727,644.008
0.734,612.627
0.742,575.733
0.75,585.992
0.758,560.133
0.766,578.922
0.773,667.541
0.781,680.02
0.789,660.027
0.797,651
0.805,727.553
0.813,696.827
0.82,707.961
0.828,735.255
0.836,749.4
0.844,702.18
0.852,583.867
0.859,418.698
0.867,282
0.875,110
0.883,33
0.891,3
