Band Value,NDVI Count
-0.391,5
-0.383,4
-0.375,10
-0.367,22
-0.359,33
-0.352,82
-0.344,151
-0.336,253
-0.328,357
-0.32,527
-0.313,613.945
-0.305,873
-0.297,"1,060.024"
-0.289,"1,222.129"
-0.281,"1,410.541"
-0.273,"1,472.388"
-0.266,"1,806.624"
-0.258,"1,808.847"
-0.25,"1,940.051"
-0.242,"2,122.804"
-0.234,"2,262.176"
-0.227,"2,446.31"
-0.219,"2,507.627"
-0.211,"2,661.243"
-0.203,"2,864.757"
-0.195,"2,830.435"
-0.188,"2,848.82"
-0.18,"2,797.961"
-0.172,"2,785.165"
-0.164,"2,835.459"
-0.156,"2,701.58"
-0.148,"2,678.671"
-0.141,"2,676.584"
-0.133,"2,481.086"
-0.125,"2,417.894"
-0.117,"2,419.906"
-0.109,"2,541.671"
-0.102,"2,673.475"
-0.094,"2,601.031"
-0.086,"2,903.58"
-0.078,"2,993.337"
-0.07,"2,984.259"
-0.063,"3,057.004"
-0.055,"2,916.31"
-0.047,"2,892.78"
-0.039,"2,542.176"
-0.031,"2,563.333"
-0.023,"2,304.988"
-0.016,"2,152.69"
-0.008,"1,902.639"
0,"1,835.384"
0.008,"1,544.655"
0.016,"1,427.49"
0.023,"1,313.608"
0.031,"1,234.29"
0.039,"1,080"
0.047,997.557
0.055,973.286
0.063,913.055
0.07,896.118
0.078,957.153
0.086,"1,015.486"
0.094,"1,180.91"
0.102,"1,152.584"
0.109,"1,278.757"
0.117,"1,292.906"
0.125,"1,285.278"
0.133,"1,312.804"
0.141,"1,365.047"
0.148,"1,387.49"
0.156,"1,335.176"
0.164,"1,409"
0.172,"1,312"
0.18,"1,386.251"
0.188,"1,398.678"
0.195,"1,336.133"
0.203,"1,371.953"
0.211,"1,348.78"
0.219,"1,376.463"
0.227,"1,409"
0.234,"1,417.996"
0.242,"1,401.812"
0.25,"1,480"
0.258,"1,555.584"
0.266,"1,508.855"
0.273,"1,538.502"
0.281,"1,604.949"
0.289,"1,678.012"
0.297,"1,793.725"
0.305,"1,763.992"
0.313,"1,918.212"
0.32,"1,955.322"
0.328,"2,149.651"
0.336,"2,214.161"
0.344,"2,301.969"
0.352,"2,375.333"
0.359,"2,486.973"
0.367,"2,523.886"
0.375,"2,680.816"
0.383,"2,814.906"
0.391,"2,922.541"
0.398,"2,971.592"
0.406,"3,143.698"
0.414,"3,344.549"
0.422,"3,636.063"
0.43,"3,836.584"
0.438,"4,048.749"
0.445,"4,223.447"
0.453,"4,559.376"
0.461,"4,822.169"
0.469,"5,239.051"
0.477,"5,564.663"
0.484,"6,069.357"
0.492,"6,798.753"
0.5,"7,181.086"
0.508,"7,943.745"
0.516,"8,666.165"
0.523,"9,246.827"
0.531,"10,216.09"
0.539,"11,235.078"
0.547,"12,144.251"
0.555,"13,647.749"
0.563,"14,746.325"
0.57,"16,040.522"
0.578,"17,821.486"
0.586,"18,764.843"
0.594,"20,227.886"
0.602,"22,157.047"
0.609,"23,637.153"
0.617,"25,489.776"
0.625,"27,162.812"
0.633,"29,675.008"
0.641,"31,006.647"
0.648,"32,780.725"
0.656,"33,552.18"
0.664,"33,794.91"
0.672,"33,396.114"
0.68,"32,493.878"
0.688,"30,862.471"
0.695,"26,843.604"
0.703,"22,020.012"
0.711,"15,594.404"
0.719,"9,724.976"
0.727,"5,145.929"
0.734,"2,310.584"
0.742,791.263
0.75,263.435
0.758,123
0.766,53
0.773,19
0.781,9
0.789,6
0.797,6
