Band Value,NDVI Count
-0.477,1
-0.469,3
-0.461,7
-0.453,13
-0.445,28
-0.438,53
-0.43,132
-0.422,273
-0.414,428
-0.406,615
-0.398,912
-0.391,"1,198"
-0.383,"1,550.318"
-0.375,"1,960.043"
-0.367,"2,323.914"
-0.359,"2,697.157"
-0.352,"3,013.914"
-0.344,"3,448.184"
-0.336,"3,747.729"
-0.328,"3,769.145"
-0.32,"3,712.157"
-0.313,"3,476.271"
-0.305,"3,277.98"
-0.297,"3,159.078"
-0.289,"2,911.043"
-0.281,"2,830.737"
-0.273,"2,761.502"
-0.266,"2,753.616"
-0.258,"2,601.969"
-0.25,"2,732.871"
-0.242,"2,857.812"
-0.234,"2,767.824"
-0.227,"2,791.847"
-0.219,"2,744.898"
-0.211,"2,687.478"
-0.203,"2,540.945"
-0.195,"2,451.525"
-0.188,"2,301.643"
-0.18,"2,205.588"
-0.172,"2,035.859"
-0.164,"1,868.565"
-0.156,"1,665.992"
-0.148,"1,539.153"
-0.141,"1,393.251"
-0.133,"1,297.263"
-0.125,"1,225.933"
-0.117,"1,069.745"
-0.109,944.878
-0.102,900.204
-0.094,866.722
-0.086,793.89
-0.078,755.055
-0.07,674.894
-0.063,634.961
-0.055,594.114
-0.047,602.251
-0.039,579.682
-0.031,577.584
-0.023,526.333
-0.016,552.345
-0.008,501.522
0,532.533
0.008,542
0.016,477.514
0.023,531.51
0.031,557
0.039,548.376
0.047,622.051
0.055,639.529
0.063,710.031
0.07,842
0.078,940.157
0.086,"1,227.965"
0.094,"1,468.757"
0.102,"1,865.875"
0.109,"2,156.125"
0.117,"2,579.506"
0.125,"2,993.192"
0.133,"3,428.765"
0.141,"3,738.318"
0.148,"4,027.937"
0.156,"4,202.49"
0.164,"4,171.753"
0.172,"4,355.82"
0.18,"4,387.651"
0.188,"4,383.141"
0.195,"4,146.635"
0.203,"4,056.055"
0.211,"4,080.439"
0.219,"3,828.337"
0.227,"3,657.231"
0.234,"3,491.349"
0.242,"3,329.996"
0.25,"3,249.306"
0.258,"3,210.671"
0.266,"3,284.522"
0.273,"3,225.914"
0.281,"3,129.863"
0.289,"3,247.224"
0.297,"3,341.957"
0.305,"3,501.722"
0.313,"3,517.878"
0.32,"3,586.71"
0.328,"3,892.51"
0.336,"4,132.588"
0.344,"4,074.486"
0.352,"4,404.29"
0.359,"4,816.051"
0.367,"4,973.914"
0.375,"5,200.831"
0.383,"5,604.082"
0.391,"5,942.161"
0.398,"6,331.82"
0.406,"6,644.431"
0.414,"6,906.796"
0.422,"7,204.922"
0.43,"7,594.639"
0.438,"7,997.42"
0.445,"8,453.784"
0.453,"8,868.486"
0.461,"9,355.918"
0.469,"10,028.004"
0.477,"10,893.024"
0.484,"11,300.886"
0.492,"12,113.373"
0.5,"12,892.663"
0.508,"14,014.463"
0.516,"14,997.596"
0.523,"15,625.69"
0.531,"16,967.992"
0.539,"17,856.047"
0.547,"19,134.616"
0.555,"19,712.439"
0.563,"21,742.655"
0.57,"22,153.584"
0.578,"23,242.086"
0.586,"24,040.145"
0.594,"24,303.506"
0.602,"24,742.392"
0.609,"24,560.29"
0.617,"24,288.498"
0.625,"23,371.675"
0.633,"22,348.149"
0.641,"20,362.271"
0.648,"18,142.89"
0.656,"15,529.196"
0.664,"12,915.91"
0.672,"10,654.839"
0.68,"8,257.569"
0.688,"6,013.906"
0.695,"4,240.286"
0.703,"2,877.522"
0.711,"1,960.463"
0.719,"1,294"
0.727,860.773
0.734,480.063
0.742,275.176
0.75,171.875
0.758,119
0.766,75
0.773,60
0.781,51
0.789,23
0.797,16
0.805,20
0.813,6
0.82,1
