Band Value,NDVI Count
-0.492,1
-0.484,4
-0.477,5
-0.469,11
-0.461,12
-0.453,32
-0.445,35
-0.438,94
-0.43,97
-0.422,159
-0.414,271
-0.406,339
-0.398,476
-0.391,621.847
-0.383,839.016
-0.375,"1,072.714"
-0.367,"1,315.333"
-0.359,"1,689.933"
-0.352,"2,169.271"
-0.344,"2,620.949"
-0.336,"3,352.435"
-0.328,"4,158.459"
-0.32,"4,796.263"
-0.313,"5,409.514"
-0.305,"5,527.365"
-0.297,"5,489.592"
-0.289,"5,364.478"
-0.281,"5,014.043"
-0.273,"4,616.302"
-0.266,"4,378.349"
-0.258,"3,961.686"
-0.25,"3,576.918"
-0.242,"3,301.749"
-0.234,"3,035.192"
-0.227,"2,675.235"
-0.219,"2,437.855"
-0.211,"2,117.776"
-0.203,"1,992.153"
-0.195,"1,663.922"
-0.188,"1,561.843"
-0.18,"1,385.122"
-0.172,"1,264.376"
-0.164,"1,173.055"
-0.156,"1,021.533"
-0.148,928.384
-0.141,881.714
-0.133,742.239
-0.125,792.514
-0.117,756.718
-0.109,689.208
-0.102,658.204
-0.094,604.549
-0.086,614.388
-0.078,541.475
-0.07,520.973
-0.063,479
-0.055,411.051
-0.047,415.725
-0.039,435
-0.031,380.886
-0.023,412.008
-0.016,410
-0.008,352.98
0,418.275
0.008,362.008
0.016,393
0.023,353
0.031,406.475
0.039,396.004
0.047,412
0.055,469.149
0.063,485
0.07,665.804
0.078,796.02
0.086,"1,027.173"
0.094,"1,188.49"
0.102,"1,277.063"
0.109,"1,490.243"
0.117,"1,515.973"
0.125,"1,650.984"
0.133,"1,497.976"
0.141,"1,600.51"
0.148,"1,715.157"
0.156,"1,675.616"
0.164,"1,648"
0.172,"1,747.808"
0.18,"1,792"
0.188,"1,946.094"
0.195,"1,908.812"
0.203,"2,163.024"
0.211,"2,319.565"
0.219,"2,443.216"
0.227,"2,667.922"
0.234,"2,944.243"
0.242,"2,907.651"
0.25,"3,317.906"
0.258,"3,572.827"
0.266,"3,800.373"
0.273,"4,375.137"
0.281,"4,615.596"
0.289,"5,172.792"
0.297,"5,581.184"
0.305,"6,070.835"
0.313,"6,341.157"
0.32,"6,887.059"
0.328,"7,242.624"
0.336,"7,404.263"
0.344,"7,963.024"
0.352,"8,413.424"
0.359,"8,689.024"
0.367,"8,994"
0.375,"9,281.945"
0.383,"9,499.624"
0.391,"9,954.4"
0.398,"10,194.447"
0.406,"10,472.345"
0.414,"10,737.424"
0.422,"11,300.302"
0.43,"11,352.294"
0.438,"11,802.569"
0.445,"12,113.863"
0.453,"12,349.42"
0.461,"12,682.188"
0.469,"13,236.224"
0.477,"13,051.388"
0.484,"13,800.38"
0.492,"14,037.608"
0.5,"14,358.78"
0.508,"14,907.89"
0.516,"15,187.667"
0.523,"15,349.671"
0.531,"15,142.259"
0.539,"15,758.769"
0.547,"15,756.09"
0.555,"15,889.922"
0.563,"16,253.702"
0.57,"16,253.114"
0.578,"16,163.788"
0.586,"16,245.294"
0.594,"16,453.165"
0.602,"16,182.91"
0.609,"15,907.533"
0.617,"15,752.125"
0.625,"15,589.624"
0.633,"15,086.008"
0.641,"14,606.259"
0.648,"13,540.761"
0.656,"12,672.533"
0.664,"11,788.125"
0.672,"10,632.141"
0.68,"9,275.827"
0.688,"8,162.875"
0.695,"7,090.639"
0.703,"6,098.902"
0.711,"5,151.275"
0.719,"4,118.788"
0.727,"3,463.004"
0.734,"2,767.396"
0.742,"2,467.341"
0.75,"2,063.161"
0.758,"1,782.757"
0.766,"1,522.906"
0.773,"1,256.263"
0.781,"1,233.231"
0.789,"1,064.153"
0.797,886.133
0.805,759.2
0.813,710.769
0.82,651.804
0.828,596.737
0.836,549.573
0.844,580.894
0.852,425.533
0.859,430.376
0.867,308.349
0.875,260.443
0.883,214.18
0.891,113
0.898,38
0.906,11
0.914,1
