Band Value,BSI Count
-0.559,1
-0.555,
-0.551,
-0.547,3
-0.543,4
-0.539,7.31
-0.535,22
-0.531,34.671
-0.527,76
-0.523,75
-0.52,91.788
-0.516,107.718
-0.512,119.051
-0.508,151.141
-0.504,183.196
-0.5,182.396
-0.496,193.773
-0.492,219.314
-0.488,246.737
-0.484,263.773
-0.48,263.957
-0.477,291.259
-0.473,288.345
-0.469,302.216
-0.465,316.843
-0.461,328.749
-0.457,343.204
-0.453,356.188
-0.449,337
-0.445,385.624
-0.441,380.345
-0.438,354.165
-0.434,386.929
-0.43,351.102
-0.426,383.573
-0.422,355.698
-0.418,380.859
-0.414,420.086
-0.41,381
-0.406,438.631
-0.402,398.012
-0.398,419
-0.395,458
-0.391,457.11
-0.387,474.839
-0.383,490.424
-0.379,465.318
-0.375,476.188
-0.371,468.655
-0.367,468.518
-0.363,523
-0.359,508.584
-0.355,511.698
-0.352,536.424
-0.348,532.796
-0.344,508.8
-0.34,564.514
-0.336,577.824
-0.332,587.435
-0.328,593.733
-0.324,598.835
-0.32,637.882
-0.316,646.153
-0.313,639.6
-0.309,628.114
-0.305,625.949
-0.301,610.678
-0.297,634
-0.293,587.647
-0.289,744.878
-0.285,703.141
-0.281,652.161
-0.277,640.188
-0.273,719.22
-0.27,724.58
-0.266,767.486
-0.262,724.6
-0.258,828.722
-0.254,968.988
-0.25,"1,084.255"
-0.246,"1,170.659"
-0.242,"1,483.184"
-0.238,"1,737.439"
-0.234,"2,023.451"
-0.23,"2,230.753"
-0.227,"2,753.471"
-0.223,"2,871.086"
-0.219,"3,238.733"
-0.215,"3,455.886"
-0.211,"3,899.204"
-0.207,"3,962.376"
-0.203,"4,099.608"
-0.199,"4,103.282"
-0.195,"4,119.592"
-0.191,"4,142.839"
-0.188,"4,088.761"
-0.184,"3,975.165"
-0.18,"4,011.365"
-0.176,"3,771.984"
-0.172,"3,749.161"
-0.168,"3,557.741"
-0.164,"3,451.702"
-0.16,"3,405.863"
-0.156,"3,214.918"
-0.152,"3,157.553"
-0.148,"3,130.412"
-0.145,"3,071.588"
-0.141,"3,050.557"
-0.137,"2,927.031"
-0.133,"2,761.294"
-0.129,"2,639.608"
-0.125,"2,773.671"
-0.121,"2,766.745"
-0.117,"2,698.992"
-0.113,"2,703.824"
-0.109,"2,633.063"
-0.105,"2,616.204"
-0.102,"2,581.047"
-0.098,"2,652.765"
-0.094,"2,590.082"
-0.09,"2,549.459"
-0.086,"2,605.58"
-0.082,"2,473.306"
-0.078,"2,469.922"
-0.074,"2,445.29"
-0.07,"2,358.569"
-0.066,"2,451.345"
-0.063,"2,448.761"
-0.059,"2,519.29"
-0.055,"2,548.149"
-0.051,"2,573.573"
-0.047,"2,541.573"
-0.043,"2,521.192"
-0.039,"2,719.78"
-0.035,"2,715.027"
-0.031,"2,740.498"
-0.027,"2,921.816"
-0.023,"2,903.247"
-0.02,"2,946.208"
-0.016,"3,118.867"
-0.012,"3,209.792"
-0.008,"3,212.537"
-0.004,"3,439.02"
0,"3,640.055"
0.004,"3,578.192"
0.008,"3,801.063"
0.012,"3,837.51"
0.016,"4,007.757"
0.02,"4,085.529"
0.023,"4,259.333"
0.027,"4,308.118"
0.031,"4,491.388"
0.035,"4,683.682"
0.039,"4,781.827"
0.043,"4,999.624"
0.047,"5,179.945"
0.051,"5,058.118"
0.055,"5,296.678"
0.059,"5,560.965"
0.063,"5,832.078"
0.066,"5,855.914"
0.07,"6,208.184"
0.074,"6,074.333"
0.078,"6,320.075"
0.082,"6,506.906"
0.086,"6,656.906"
0.09,"7,010.576"
0.094,"7,254.588"
0.098,"7,331.42"
0.102,"7,427.631"
0.105,"7,614.129"
0.109,"7,852.973"
0.113,"7,966.196"
0.117,"8,072.765"
0.121,"8,321.792"
0.125,"8,306.231"
0.129,"8,688.992"
0.133,"8,998.431"
0.137,"9,122.078"
0.141,"9,197.463"
0.145,"9,414.537"
0.148,"9,898.361"
0.152,"10,009.635"
0.156,"10,180.349"
0.16,"10,244.467"
0.164,"10,687.482"
0.168,"10,569.647"
0.172,"10,864.745"
0.176,"11,088.247"
0.18,"11,238.976"
0.184,"11,371.388"
0.188,"11,560.608"
0.191,"11,734.094"
0.195,"11,971.294"
0.199,"11,883.812"
0.203,"12,224.961"
0.207,"12,277.702"
0.211,"12,188.89"
0.215,"12,239.988"
0.219,"12,165.533"
0.223,"11,862.306"
0.227,"11,454.475"
0.23,"11,055.89"
0.234,"10,876.918"
0.238,"10,297.341"
0.242,"9,725.937"
0.246,"8,981.357"
0.25,"8,445.404"
0.254,"7,983.012"
0.258,"7,503.059"
0.262,"7,056.933"
0.266,"6,681.718"
0.27,"5,961.196"
0.273,"5,626.89"
0.277,"5,199.549"
0.281,"4,796.149"
0.285,"4,332.275"
0.289,"4,030.631"
0.293,"3,667.984"
0.297,"3,312.294"
0.301,"3,078.655"
0.305,"2,729.702"
0.309,"2,488.349"
0.313,"2,206.776"
0.316,"1,908.71"
0.32,"1,631.576"
0.324,"1,366.718"
0.328,"1,191.169"
0.332,944.396
0.336,741.173
0.34,606.51
0.344,466.263
0.348,340
0.352,249
0.355,164.306
0.359,139.69
0.363,78.063
0.367,50.243
0.371,43
0.375,25
0.379,21
0.383,16
0.387,8
0.391,6
0.395,3
0.398,4
0.402,4
0.406,2
0.41,1
0.414,
0.418,
0.422,1
0.426,
0.43,1
