Band Value,BSI Count
-0.586,5
-0.578,24
-0.57,43
-0.563,50
-0.555,38
-0.547,56
-0.539,53.929
-0.531,70.576
-0.523,115.518
-0.516,165.973
-0.508,250.004
-0.5,250.859
-0.492,302.314
-0.484,351.455
-0.477,425.318
-0.469,436.145
-0.461,469.776
-0.453,523.651
-0.445,529.486
-0.438,536.353
-0.43,590.792
-0.422,627.725
-0.414,716.922
-0.406,753.38
-0.398,785.596
-0.391,833.196
-0.383,907.216
-0.375,942.933
-0.367,961.02
-0.359,"1,046.545"
-0.352,"1,006.922"
-0.344,"1,081.09"
-0.336,"1,202.882"
-0.328,"1,131.388"
-0.32,"1,182.204"
-0.313,"1,224.624"
-0.305,"1,249.204"
-0.297,"1,265.471"
-0.289,"1,232.533"
-0.281,"1,310.965"
-0.273,"1,342.722"
-0.266,"1,416.439"
-0.258,"1,505.663"
-0.25,"1,631.525"
-0.242,"1,809.541"
-0.234,"2,196.204"
-0.227,"2,653.49"
-0.219,"3,500.169"
-0.211,"4,396.125"
-0.203,"5,123.071"
-0.195,"5,977.635"
-0.188,"6,480.737"
-0.18,"6,801.102"
-0.172,"6,975.302"
-0.164,"6,850.122"
-0.156,"6,706.133"
-0.148,"6,360.435"
-0.141,"6,201.043"
-0.133,"5,769.667"
-0.125,"5,494.678"
-0.117,"5,250.925"
-0.109,"4,881.584"
-0.102,"4,687.702"
-0.094,"4,693.2"
-0.086,"4,282.4"
-0.078,"4,361.239"
-0.07,"4,313.384"
-0.063,"4,014.741"
-0.055,"3,782.627"
-0.047,"3,894.22"
-0.039,"3,718.482"
-0.031,"3,647.078"
-0.023,"3,763.086"
-0.016,"3,487.992"
-0.008,"3,740.4"
0,"3,747.043"
0.008,"3,919.278"
0.016,"3,905.216"
0.023,"4,192.608"
0.031,"4,282.459"
0.039,"4,672.62"
0.047,"4,777.824"
0.055,"5,333.38"
0.063,"5,770.125"
0.07,"6,168.569"
0.078,"6,740.792"
0.086,"7,437.82"
0.094,"7,955.647"
0.102,"8,599.588"
0.109,"9,413.549"
0.117,"9,833.09"
0.125,"10,819.216"
0.133,"11,957.922"
0.141,"13,090.69"
0.148,"14,041.788"
0.156,"15,557.761"
0.164,"17,007.518"
0.172,"18,491.58"
0.18,"20,457.094"
0.188,"22,584.949"
0.195,"25,410.482"
0.203,"27,469.42"
0.211,"30,100.486"
0.219,"32,685.157"
0.227,"34,361.478"
0.234,"34,398.196"
0.242,"33,831.612"
0.25,"31,667.569"
0.258,"28,700.008"
0.266,"25,383.961"
0.273,"22,299.545"
0.281,"19,275.953"
0.289,"16,229.937"
0.297,"13,639.251"
0.305,"11,801.306"
0.313,"9,685.627"
0.32,"8,232.624"
0.328,"6,239.776"
0.336,"4,583.757"
0.344,"3,089.388"
0.352,"1,775.286"
0.359,991.549
0.367,578.239
0.375,248
0.383,121
0.391,90
0.398,51
0.406,30.263
0.414,24
0.422,27
0.43,11
0.438,11
0.445,11
0.453,6
0.461,6
0.469,3
0.477,3
0.484,
0.492,
0.5,1
