Band Value,BSI Count
-0.43,1
-0.426,
-0.422,
-0.418,
-0.414,1
-0.41,
-0.406,
-0.402,
-0.398,
-0.395,1
-0.391,
-0.387,
-0.383,
-0.379,
-0.375,
-0.371,1
-0.367,1
-0.363,1
-0.359,
-0.355,
-0.352,
-0.348,
-0.344,
-0.34,2
-0.336,4
-0.332,3
-0.328,4
-0.324,4
-0.32,8
-0.316,3
-0.313,3
-0.309,11
-0.305,8
-0.301,12
-0.297,11
-0.293,19
-0.289,22
-0.285,26
-0.281,25
-0.277,36
-0.273,40
-0.27,38
-0.266,32
-0.262,34
-0.258,46
-0.254,38
-0.25,33.353
-0.246,27.196
-0.242,39
-0.238,35
-0.234,51.024
-0.23,47
-0.227,35.51
-0.223,54
-0.219,34
-0.215,44.506
-0.211,67.98
-0.207,38.196
-0.203,49.82
-0.199,50
-0.195,47
-0.191,59.192
-0.188,43
-0.184,67
-0.18,55.439
-0.176,51.506
-0.172,56.043
-0.168,72.494
-0.164,67.329
-0.16,51.89
-0.156,82.353
-0.152,104.306
-0.148,183.282
-0.145,241.831
-0.141,329.451
-0.137,514.314
-0.133,833.427
-0.129,"1,135.988"
-0.125,"1,593.906"
-0.121,"2,033.976"
-0.117,"2,410.643"
-0.113,"2,844.004"
-0.109,"3,167.282"
-0.105,"3,375.533"
-0.102,"3,509.02"
-0.098,"3,678.373"
-0.094,"3,670.737"
-0.09,"3,722.498"
-0.086,"3,785.282"
-0.082,"3,735.063"
-0.078,"3,688.561"
-0.074,"3,555.396"
-0.07,"3,524.133"
-0.066,"3,523.035"
-0.063,"3,394.604"
-0.059,"3,275.325"
-0.055,"3,156.647"
-0.051,"3,081.353"
-0.047,"2,826.855"
-0.043,"2,740.118"
-0.039,"2,789.647"
-0.035,"2,561.725"
-0.031,"2,529.043"
-0.027,"2,438.169"
-0.023,"2,417.055"
-0.02,"2,255.298"
-0.016,"2,259.561"
-0.012,"2,301.047"
-0.008,"2,194.447"
-0.004,"2,040.149"
0,"2,043.192"
0.004,"1,928.91"
0.008,"1,943.467"
0.012,"2,017.173"
0.016,"1,946.31"
0.02,"2,013.071"
0.023,"1,975.604"
0.027,"1,940.012"
0.031,"2,033.804"
0.035,"2,035.09"
0.039,"2,114.98"
0.043,"2,140.878"
0.047,"2,301.173"
0.051,"2,368.714"
0.055,"2,576.541"
0.059,"2,640.294"
0.063,"2,768.365"
0.066,"2,813.357"
0.07,"3,072.757"
0.074,"3,270.357"
0.078,"3,358.549"
0.082,"3,567.42"
0.086,"3,704.431"
0.09,"4,012.412"
0.094,"4,151.875"
0.098,"4,372.345"
0.102,"4,685.039"
0.105,"4,706.996"
0.109,"5,096.741"
0.113,"5,074.639"
0.117,"5,314.463"
0.121,"5,556.008"
0.125,"5,704.192"
0.129,"5,801.78"
0.133,"6,036.176"
0.137,"6,333.208"
0.141,"6,246.765"
0.145,"6,594.702"
0.148,"6,601.545"
0.152,"6,797.239"
0.156,"7,026.31"
0.16,"7,326.271"
0.164,"7,681.373"
0.168,"7,888.878"
0.172,"8,379.529"
0.176,"9,204.38"
0.18,"9,932.616"
0.184,"10,812.231"
0.188,"12,111.498"
0.191,"13,156.769"
0.195,"14,600.494"
0.199,"15,763.808"
0.203,"17,327.973"
0.207,"18,758.431"
0.211,"20,165.212"
0.215,"21,747.129"
0.219,"22,746.306"
0.223,"23,728.208"
0.227,"24,631.231"
0.23,"25,206.271"
0.234,"25,097.333"
0.238,"24,928.012"
0.242,"24,386.941"
0.246,"23,554.165"
0.25,"22,482.718"
0.254,"20,919.561"
0.258,"19,111.365"
0.262,"17,563.114"
0.266,"15,930.408"
0.27,"14,247.808"
0.273,"12,628.149"
0.277,"11,219.176"
0.281,"10,376.38"
0.285,"9,342.6"
0.289,"8,465.192"
0.293,"7,281.071"
0.297,"6,496.027"
0.301,"5,388.753"
0.305,"4,403.278"
0.309,"3,252.133"
0.313,"2,350.8"
0.316,"1,580.251"
0.32,926.576
0.324,559.933
0.328,356.306
0.332,171
0.336,100
0.34,49
0.344,25
0.348,22.2
0.352,20
0.355,19
0.359,12
0.363,5.263
0.367,6
0.371,7
0.375,7.906
0.379,9
0.383,6
0.387,3
0.391,1
0.395,3
0.398,2
0.402,3
0.406,
0.41,1
0.414,1
