Band Value,BSI Count
-0.379,1
-0.375,
-0.371,
-0.367,
-0.363,
-0.359,1
-0.355,
-0.352,
-0.348,
-0.344,
-0.34,
-0.336,1
-0.332,2
-0.328,2
-0.324,2
-0.32,3
-0.316,15
-0.313,3
-0.309,12
-0.305,9
-0.301,11
-0.297,7
-0.293,13
-0.289,16
-0.285,13
-0.281,13
-0.277,22
-0.273,23.059
-0.27,32
-0.266,37
-0.262,36.557
-0.258,39
-0.254,44
-0.25,45.949
-0.246,55.122
-0.242,55.435
-0.238,65
-0.234,65
-0.23,52
-0.227,72.702
-0.223,48
-0.219,66
-0.215,69
-0.211,63
-0.207,71
-0.203,64
-0.199,71.592
-0.195,94
-0.191,85
-0.188,73
-0.184,90
-0.18,89.365
-0.176,96
-0.172,97
-0.168,110
-0.164,109
-0.16,112
-0.156,118
-0.152,116.816
-0.148,138.784
-0.145,166
-0.141,160.216
-0.137,183.698
-0.133,158
-0.129,180.996
-0.125,175.498
-0.121,193.161
-0.117,216.4
-0.113,227.992
-0.109,224.694
-0.105,288.29
-0.102,250.227
-0.098,282.408
-0.094,290.91
-0.09,286.898
-0.086,334.49
-0.082,338.788
-0.078,373.212
-0.074,413.188
-0.07,436.416
-0.066,520.671
-0.063,534.922
-0.059,581.341
-0.055,645.055
-0.051,791.396
-0.047,856.882
-0.043,897.576
-0.039,"1,063.106"
-0.035,"1,295.259"
-0.031,"1,735.004"
-0.027,"2,242.847"
-0.023,"2,884.784"
-0.02,"3,695.463"
-0.016,"4,422.349"
-0.012,"5,198.976"
-0.008,"5,682.729"
-0.004,"5,945.984"
0,"6,217.396"
0.004,"6,077.953"
0.008,"6,072.702"
0.012,"5,968.227"
0.016,"5,898.129"
0.02,"5,435.71"
0.023,"5,407.576"
0.027,"5,290.808"
0.031,"5,076.239"
0.035,"4,992.392"
0.039,"4,863.239"
0.043,"4,695.973"
0.047,"4,422.18"
0.051,"4,155.227"
0.055,"3,903.722"
0.059,"3,853.063"
0.063,"3,750.78"
0.066,"3,621.192"
0.07,"3,642.22"
0.074,"3,713.851"
0.078,"3,661.933"
0.082,"3,756.318"
0.086,"3,948.169"
0.09,"3,954.024"
0.094,"4,103.361"
0.098,"4,264.243"
0.102,"4,281.62"
0.105,"4,648.973"
0.109,"4,723.459"
0.113,"5,173.604"
0.117,"5,072.91"
0.121,"5,490.031"
0.125,"5,676.169"
0.129,"5,825.22"
0.133,"6,067.357"
0.137,"6,471.918"
0.141,"6,592.443"
0.145,"7,100.718"
0.148,"7,497.647"
0.152,"7,747.569"
0.156,"8,229.176"
0.16,"8,705.22"
0.164,"9,441.757"
0.168,"9,975.455"
0.172,"10,562.996"
0.176,"11,048.804"
0.18,"11,890.792"
0.184,"12,752.514"
0.188,"13,478.847"
0.191,"14,445.102"
0.195,"14,979.122"
0.199,"15,980.722"
0.203,"16,951.051"
0.207,"17,721.914"
0.211,"19,232.153"
0.215,"20,146.431"
0.219,"20,951.38"
0.223,"21,450.38"
0.227,"22,073.557"
0.23,"22,352.906"
0.234,"22,481.227"
0.238,"22,280.8"
0.242,"21,669.502"
0.246,"21,228.969"
0.25,"20,041.494"
0.254,"18,994.204"
0.258,"17,820.655"
0.262,"16,744.592"
0.266,"15,633.322"
0.27,"14,624.776"
0.273,"13,591.847"
0.277,"12,591.325"
0.281,"11,468.812"
0.285,"10,505.506"
0.289,"9,674.231"
0.293,"8,598.267"
0.297,"7,522.38"
0.301,"6,086.349"
0.305,"4,903.204"
0.309,"3,769.004"
0.313,"2,730.761"
0.316,"1,828.796"
0.32,"1,176.306"
0.324,818.749
0.328,509
0.332,328
0.336,206
0.34,107
0.344,54
0.348,39
0.352,31
0.355,12
0.359,8
0.363,
0.367,1
