Band Value,BSI Count
-0.461,1
-0.453,
-0.445,4
-0.438,28
-0.43,40
-0.422,52
-0.414,118
-0.406,194
-0.398,291.863
-0.391,373.98
-0.383,454.016
-0.375,454.647
-0.367,513.008
-0.359,449.557
-0.352,439.678
-0.344,486.137
-0.336,507.467
-0.328,491.941
-0.32,515.518
-0.313,512.075
-0.305,450.671
-0.297,492.027
-0.289,477.525
-0.281,471.91
-0.273,484.231
-0.266,434.098
-0.258,473.235
-0.25,405.039
-0.242,409.016
-0.234,428.063
-0.227,406.357
-0.219,455.686
-0.211,486.169
-0.203,441.306
-0.195,494.122
-0.188,422.396
-0.18,481.075
-0.172,500.882
-0.164,486.388
-0.156,520.741
-0.148,580.024
-0.141,635.847
-0.133,633.282
-0.125,636.353
-0.117,703.859
-0.109,753.918
-0.102,803.071
-0.094,886.039
-0.086,"1,024.247"
-0.078,"1,174.157"
-0.07,"1,342.059"
-0.063,"1,744.49"
-0.055,"2,008.055"
-0.047,"2,406.129"
-0.039,"2,818.357"
-0.031,"3,351.992"
-0.023,"3,920.62"
-0.016,"4,249.098"
-0.008,"4,619.694"
0,"5,360.388"
0.008,"5,893.875"
0.016,"6,799.345"
0.023,"7,104.055"
0.031,"7,631.933"
0.039,"8,711.722"
0.047,"10,625.067"
0.055,"10,583.553"
0.063,"9,533.867"
0.07,"8,103.118"
0.078,"7,613.416"
0.086,"7,020.188"
0.094,"7,087.373"
0.102,"7,348.294"
0.109,"7,639.722"
0.117,"8,091.114"
0.125,"8,611.996"
0.133,"9,365.816"
0.141,"9,903.894"
0.148,"10,896.141"
0.156,"11,801.184"
0.164,"13,273.475"
0.172,"14,467.651"
0.18,"15,636.992"
0.188,"17,097.894"
0.195,"18,628.976"
0.203,"20,541.847"
0.211,"22,126.714"
0.219,"24,037.557"
0.227,"26,184.176"
0.234,"28,602.247"
0.242,"31,465.192"
0.25,"33,182.62"
0.258,"35,388.722"
0.266,"36,711.329"
0.273,"38,553.537"
0.281,"38,482.741"
0.289,"36,289.365"
0.297,"32,927.118"
0.305,"29,815.969"
0.313,"25,282.886"
0.32,"21,516.769"
0.328,"17,115.329"
0.336,"12,398.059"
0.344,"8,701.051"
0.352,"5,451.859"
0.359,"3,522.4"
0.367,"2,357.455"
0.375,"1,579"
0.383,"1,087.776"
0.391,723.886
0.398,502.2
0.406,338.937
0.414,241
0.422,167
0.43,135
0.438,89
0.445,73.106
0.453,58
0.461,48.02
0.469,50
0.477,40
0.484,34
0.492,17
0.5,24
0.508,22
0.516,11
0.523,23
0.531,21
0.539,8
0.547,10.8
0.555,9
0.563,8
0.57,3
0.578,5
0.586,4
0.594,2
0.602,
0.609,1
0.617,1
0.625,3
0.633,1
0.641,1
0.648,3
0.656,3
0.664,4
0.672,
0.68,1
0.688,1
0.695,2
0.703,2
0.711,
0.719,
0.727,
0.734,1
