Band Value,BSI Count
-0.43,1
-0.426,
-0.422,
-0.418,
-0.414,
-0.41,
-0.406,
-0.402,
-0.398,
-0.395,
-0.391,1
-0.387,
-0.383,1
-0.379,1
-0.375,4
-0.371,1
-0.367,9
-0.363,3
-0.359,5
-0.355,13
-0.352,18
-0.348,15
-0.344,17
-0.34,29
-0.336,39
-0.332,48
-0.328,70
-0.324,86
-0.32,98
-0.316,101
-0.313,126
-0.309,129.894
-0.305,165.941
-0.301,198
-0.297,231.8
-0.293,300.988
-0.289,322
-0.285,454
-0.281,536.361
-0.277,707.616
-0.273,908.569
-0.27,"1,128.204"
-0.266,"1,409.431"
-0.262,"1,727.224"
-0.258,"2,162.427"
-0.254,"2,651.588"
-0.25,"3,188.855"
-0.246,"3,772.153"
-0.242,"4,595.8"
-0.238,"5,353.157"
-0.234,"6,386.773"
-0.23,"7,517.62"
-0.227,"8,721.161"
-0.223,"10,043.718"
-0.219,"11,404.643"
-0.215,"12,700.212"
-0.211,"14,276.137"
-0.207,"15,833.337"
-0.203,"16,827.412"
-0.199,"17,948.745"
-0.195,"18,520.118"
-0.191,"19,326.341"
-0.188,"19,662.78"
-0.184,"20,020.149"
-0.18,"20,188.192"
-0.176,"20,252.035"
-0.172,"20,140.255"
-0.168,"20,065.714"
-0.164,"19,757.49"
-0.16,"19,725.404"
-0.156,"19,065.929"
-0.152,"18,550.561"
-0.148,"18,237.965"
-0.145,"17,680.102"
-0.141,"16,913.341"
-0.137,"16,059.616"
-0.133,"15,636.937"
-0.129,"14,935.749"
-0.125,"14,616.98"
-0.121,"14,050.596"
-0.117,"13,713.714"
-0.113,"13,339.012"
-0.109,"12,860.184"
-0.105,"12,392.141"
-0.102,"12,114.212"
-0.098,"11,588.745"
-0.094,"10,985.204"
-0.09,"10,721.318"
-0.086,"10,290.22"
-0.082,"9,862.286"
-0.078,"9,474.576"
-0.074,"9,199.498"
-0.07,"8,900.58"
-0.066,"8,548.427"
-0.063,"8,137.945"
-0.059,"7,892.529"
-0.055,"7,503.443"
-0.051,"7,252.875"
-0.047,"7,128.427"
-0.043,"6,802.094"
-0.039,"6,522.478"
-0.035,"6,266.004"
-0.031,"6,035.514"
-0.027,"5,778.145"
-0.023,"5,419.976"
-0.02,"5,303.494"
-0.016,"4,958.667"
-0.012,"4,953.333"
-0.008,"4,651.698"
-0.004,"4,477.369"
0,"4,286.573"
0.004,"3,971.286"
0.008,"3,915.463"
0.012,"3,745.188"
0.016,"3,642.51"
0.02,"3,483.278"
0.023,"3,304.961"
0.027,"3,082.067"
0.031,"3,121.431"
0.035,"2,957.78"
0.039,"2,875.933"
0.043,"2,680.267"
0.047,"2,561.588"
0.051,"2,471.361"
0.055,"2,283.906"
0.059,"2,175.988"
0.063,"1,955.769"
0.066,"1,799.78"
0.07,"1,775.976"
0.074,"1,643"
0.078,"1,468.851"
0.082,"1,397"
0.086,"1,299.482"
0.09,"1,186.702"
0.094,"1,042.494"
0.098,"1,018.086"
0.102,791.976
0.105,746
0.109,664
0.113,645
0.117,537
0.121,429
0.125,415
0.129,323
0.133,311
0.137,265
0.141,239
0.145,218
0.148,163
0.152,133
0.156,122
0.16,76
0.164,66
0.168,45
0.172,40
0.176,32
0.18,14
0.184,21
0.188,16
0.191,14
0.195,6
0.199,5
0.203,13
0.207,2
0.211,7
0.215,5
0.219,3
0.223,
0.227,1
0.23,3
0.234,2
0.238,1
0.242,
0.246,
0.25,
0.254,
0.258,1
0.262,
0.266,1
