Band Value,BSI Count
-0.449,1
-0.445,
-0.441,
-0.438,
-0.434,
-0.43,
-0.426,
-0.422,
-0.418,
-0.414,
-0.41,1
-0.406,1
-0.402,
-0.398,
-0.395,
-0.391,
-0.387,
-0.383,2
-0.379,2
-0.375,3
-0.371,1
-0.367,4
-0.363,9
-0.359,4
-0.355,11
-0.352,12
-0.348,14
-0.344,25
-0.34,27
-0.336,34
-0.332,38.875
-0.328,45.176
-0.324,54.027
-0.32,55.035
-0.316,70
-0.313,92.773
-0.309,119.894
-0.305,93
-0.301,135.067
-0.297,133.988
-0.293,176
-0.289,172.02
-0.285,209
-0.281,219
-0.277,253.498
-0.273,277
-0.27,329
-0.266,339.851
-0.262,434
-0.258,509.792
-0.254,629.569
-0.25,706.627
-0.246,760.988
-0.242,886.757
-0.238,"1,004.576"
-0.234,"1,214.627"
-0.23,"1,358.831"
-0.227,"1,569.42"
-0.223,"1,758.114"
-0.219,"2,138.082"
-0.215,"2,557.855"
-0.211,"3,046.627"
-0.207,"3,799.706"
-0.203,"4,500.663"
-0.199,"5,378.729"
-0.195,"6,427.584"
-0.191,"7,643.643"
-0.188,"8,916.392"
-0.184,"9,858.196"
-0.18,"10,979.725"
-0.176,"11,555.467"
-0.172,"12,172.596"
-0.168,"12,292.153"
-0.164,"12,444.439"
-0.16,"12,364.49"
-0.156,"12,289.31"
-0.152,"12,165.675"
-0.148,"12,022.686"
-0.145,"12,215.118"
-0.141,"11,997.141"
-0.137,"11,882.133"
-0.133,"12,029.949"
-0.129,"11,734.447"
-0.125,"12,309.761"
-0.121,"12,188.518"
-0.117,"12,267.035"
-0.113,"12,282.318"
-0.109,"12,574.431"
-0.105,"12,618.824"
-0.102,"12,157.922"
-0.098,"12,117.506"
-0.094,"12,380.867"
-0.09,"12,124.812"
-0.086,"12,232.933"
-0.082,"12,383.322"
-0.078,"12,015.443"
-0.074,"12,033.259"
-0.07,"11,829.227"
-0.066,"11,959.251"
-0.063,"11,399.616"
-0.059,"11,243.776"
-0.055,"11,098.62"
-0.051,"10,959.447"
-0.047,"10,810.878"
-0.043,"10,744.137"
-0.039,"10,584.875"
-0.035,"10,521.11"
-0.031,"10,333.627"
-0.027,"9,964.514"
-0.023,"9,819.082"
-0.02,"9,556.098"
-0.016,"9,610.455"
-0.012,"9,305.706"
-0.008,"9,501.518"
-0.004,"9,285.102"
0,"9,058.196"
0.004,"8,877.529"
0.008,"8,915.357"
0.012,"8,587.749"
0.016,"8,620.8"
0.02,"8,480.725"
0.023,"8,509.102"
0.027,"8,566.918"
0.031,"8,337.871"
0.035,"8,379.451"
0.039,"8,037.522"
0.043,"8,041.827"
0.047,"7,915.675"
0.051,"7,831.192"
0.055,"7,762.051"
0.059,"7,769.886"
0.063,"7,382.541"
0.066,"7,165.302"
0.07,"7,099.592"
0.074,"6,933.451"
0.078,"6,567.259"
0.082,"6,379.647"
0.086,"6,066.596"
0.09,"5,760.451"
0.094,"5,409.345"
0.098,"5,170.49"
0.102,"4,756.169"
0.105,"4,342.973"
0.109,"4,159.753"
0.113,"3,561.588"
0.117,"3,486.369"
0.121,"3,160.4"
0.125,"2,899.894"
0.129,"2,561.843"
0.133,"2,270"
0.137,"2,146.4"
0.141,"1,962.443"
0.145,"1,553.525"
0.148,"1,430.369"
0.152,"1,238.58"
0.156,"1,034"
0.16,885.188
0.164,777.063
0.168,641.008
0.172,573.431
0.176,477.761
0.18,429
0.184,322.243
0.188,283
0.191,237
0.195,209
0.199,118
0.203,121
0.207,100
0.211,94
0.215,77
0.219,65
0.223,53
0.227,53
0.23,45
0.234,33
0.238,23
0.242,21
0.246,11
0.25,6
0.254,5
0.258,2
0.262,4
0.266,1
0.27,2
0.273,
0.277,1
0.281,1
0.285,1
0.289,2
0.293,1
0.297,
0.301,1
0.305,
0.309,
0.313,1
0.316,
0.32,1
