Band Value,BSI Count
-0.523,1
-0.52,
-0.516,
-0.512,2
-0.508,
-0.504,4
-0.5,1
-0.496,2
-0.492,9
-0.488,12
-0.484,24
-0.48,10.722
-0.477,22.278
-0.473,23
-0.469,37.957
-0.465,33.224
-0.461,46
-0.457,72
-0.453,76
-0.449,69
-0.445,96.325
-0.441,102
-0.438,109.788
-0.434,112
-0.43,107.451
-0.426,122.616
-0.422,145.071
-0.418,131.863
-0.414,157
-0.41,160.973
-0.406,179.655
-0.402,188.012
-0.398,184.494
-0.395,199.165
-0.391,163.875
-0.387,207.412
-0.383,220.553
-0.379,215.588
-0.375,232.431
-0.371,229.973
-0.367,251.114
-0.363,233.549
-0.359,275.835
-0.355,291.988
-0.352,328.922
-0.348,413.694
-0.344,429.435
-0.34,547.494
-0.336,661.298
-0.332,"1,027.714"
-0.328,"1,206.549"
-0.324,"1,599.639"
-0.32,"1,944.231"
-0.316,"2,315.808"
-0.313,"2,739.392"
-0.309,"3,069.141"
-0.305,"3,397.502"
-0.301,"3,760.035"
-0.297,"3,956.318"
-0.293,"4,006.094"
-0.289,"4,063.02"
-0.285,"4,182.812"
-0.281,"4,056.424"
-0.277,"4,042.8"
-0.273,"3,870.365"
-0.27,"3,767.678"
-0.266,"3,591.718"
-0.262,"3,460.278"
-0.258,"3,291.431"
-0.254,"3,176.733"
-0.25,"3,007.161"
-0.246,"2,873.749"
-0.242,"2,787.773"
-0.238,"2,670.376"
-0.234,"2,546.286"
-0.23,"2,537.616"
-0.227,"2,509.988"
-0.223,"2,486.671"
-0.219,"2,358.271"
-0.215,"2,334.024"
-0.211,"2,344.812"
-0.207,"2,279.612"
-0.203,"2,406.243"
-0.199,"2,161.106"
-0.195,"2,210.114"
-0.191,"2,220.62"
-0.188,"2,212.643"
-0.184,"2,218.525"
-0.18,"2,242.98"
-0.176,"2,271.8"
-0.172,"2,329.196"
-0.168,"2,388.569"
-0.164,"2,375.086"
-0.16,"2,415.588"
-0.156,"2,460.047"
-0.152,"2,603.161"
-0.148,"2,691.851"
-0.145,"2,699.361"
-0.141,"2,744.706"
-0.137,"2,948.98"
-0.133,"2,967.725"
-0.129,"3,191.235"
-0.125,"3,356.737"
-0.121,"3,444.878"
-0.117,"3,607.051"
-0.113,"3,824.588"
-0.109,"3,898.616"
-0.105,"4,310.773"
-0.102,"4,389.239"
-0.098,"4,340.157"
-0.094,"4,970.102"
-0.09,"5,000.02"
-0.086,"5,114.239"
-0.082,"5,127.133"
-0.078,"5,553.408"
-0.074,"5,582.259"
-0.07,"5,834.137"
-0.066,"5,963.906"
-0.063,"6,196.702"
-0.059,"6,368"
-0.055,"6,582.718"
-0.051,"6,649.698"
-0.047,"6,904.522"
-0.043,"7,081.184"
-0.039,"7,146.18"
-0.035,"7,547.961"
-0.031,"7,793.769"
-0.027,"7,714.533"
-0.023,"8,049.729"
-0.02,"8,166.796"
-0.016,"8,255.114"
-0.012,"8,490.914"
-0.008,"8,632.059"
-0.004,"8,658.867"
0,"8,960.694"
0.004,"9,178.227"
0.008,"8,963.22"
0.012,"9,438.4"
0.016,"9,377.051"
0.02,"9,488.835"
0.023,"9,638.929"
0.027,"9,795.639"
0.031,"9,879.086"
0.035,"9,985.392"
0.039,"9,967.31"
0.043,"10,289.027"
0.047,"10,321.796"
0.051,"10,602.69"
0.055,"10,635.376"
0.059,"10,706.349"
0.063,"10,673.184"
0.066,"10,685.871"
0.07,"10,692.675"
0.074,"10,527.847"
0.078,"10,802.706"
0.082,"10,591.259"
0.086,"10,708.698"
0.09,"10,519.388"
0.094,"10,490.192"
0.098,"10,416.565"
0.102,"10,249.878"
0.105,"10,055.737"
0.109,"9,866.816"
0.113,"9,930.294"
0.117,"9,570.255"
0.121,"9,406.898"
0.125,"9,324.322"
0.129,"8,848.773"
0.133,"8,702.427"
0.137,"8,382.984"
0.141,"8,225.549"
0.145,"7,918.267"
0.148,"7,565.541"
0.152,"7,469.459"
0.156,"7,147.529"
0.16,"7,167.075"
0.164,"6,748.031"
0.168,"6,420.451"
0.172,"6,122.349"
0.176,"5,702.212"
0.18,"5,644.376"
0.184,"5,216.106"
0.188,"4,859.455"
0.191,"4,472.49"
0.195,"4,301.086"
0.199,"3,914.745"
0.203,"3,629.698"
0.207,"3,265.659"
0.211,"3,072.306"
0.215,"2,800.184"
0.219,"2,564.129"
0.223,"2,272.824"
0.227,"2,185.384"
0.23,"1,896.306"
0.234,"1,775.875"
0.238,"1,598.059"
0.242,"1,439.69"
0.246,"1,284.902"
0.25,"1,098.302"
0.254,984.4
0.258,861.686
0.262,681.886
0.266,611.518
0.27,502.675
0.273,443.078
0.277,386
0.281,298
0.285,253.063
0.289,225
0.293,183.718
0.297,123.431
0.301,113
0.305,87
0.309,57.243
0.313,56
0.316,38
0.32,32
0.324,28
0.328,23
0.332,26
0.336,17
0.34,16
0.344,13
0.348,8
0.352,9
0.355,2
0.359,7
0.363,5
0.367,4
0.371,6
0.375,1
0.379,2
0.383,1
0.387,1
0.391,
0.395,
0.398,
0.402,1
0.406,1
0.41,1
0.414,1
0.418,2
0.422,2
0.426,
0.43,1
0.434,1
0.438,
0.441,
0.445,1
