Band Value,TSM Count
48,9
64,"2,512.09"
80,"43,921.09"
96,"52,364.012"
112,"25,142.4"
128,"22,188.196"
144,"26,542.682"
160,"34,420.804"
176,"42,850.302"
192,"52,239.573"
208,"59,528.157"
224,"59,503.192"
240,"59,061.188"
256,"55,529.973"
272,"49,740.741"
288,"43,740.38"
304,"36,422.969"
320,"30,915.847"
336,"27,362.212"
352,"22,469.31"
368,"18,794.169"
384,"15,631.863"
400,"11,882.49"
416,"9,558.082"
432,"7,517.62"
448,"5,730.588"
464,"4,397.953"
480,"3,398.859"
496,"2,710.984"
512,"2,104.82"
528,"1,839.49"
544,"1,434"
560,"1,281.02"
576,"1,181.016"
592,981.812
608,764
624,723
640,600
656,435.188
672,365
688,380
704,269.49
720,232.804
736,192.788
752,158.18
768,140
784,118
800,114
816,93
832,73
848,83
864,64
880,46
896,55.02
912,43
928,39
944,34
960,29
976,19
992,20
"1,008",17
"1,024",18
"1,040",19
"1,056",18
"1,072",11
"1,088",15
"1,104",11
"1,120",8.976
"1,136",15.498
"1,152",4
"1,168",13
"1,184",10
"1,200",6
"1,216",11
"1,232",4
"1,248",6
"1,264",17
"1,280",6
"1,296",11
"1,312",7
"1,328",4
"1,344",7
"1,360",3
"1,376",1
"1,392",6
"1,408",4
"1,424",1
"1,440",3
"1,456",
"1,472",2
"1,488",2
"1,504",1
"1,520",4
"1,536",4
"1,552",2
"1,568",
"1,584",1
"1,600",3
"1,616",3
"1,632",4
"1,648",1
"1,664",
"1,680",2
"1,696",
"1,712",1
"1,728",
"1,744",
"1,760",
"1,776",1
"1,792",1
"1,808",1
"1,824",1
"1,840",
"1,856",
"1,872",
"1,888",
"1,904",
"1,920",1
"1,936",
"1,952",
"1,968",
"1,984",
"2,000",
"2,016",
"2,032",
"2,048",
"2,064",
"2,080",
"2,096",
"2,112",
"2,128",1
