Band Value,TSM Count
40,17
48,860.886
56,"7,176.443"
64,"27,844.161"
72,"29,274.427"
80,"23,044.765"
88,"13,648.208"
96,"8,789.447"
104,"7,313.996"
112,"6,424.153"
120,"6,244.706"
128,"5,944.392"
136,"6,094.506"
144,"6,327.2"
152,"6,953.176"
160,"7,714.898"
168,"8,110.945"
176,"9,074.69"
184,"10,566.247"
192,"11,748.686"
200,"12,642.039"
208,"14,059.278"
216,"15,440.655"
224,"16,376.753"
232,"18,209.208"
240,"19,755.039"
248,"21,532.671"
256,"22,917.231"
264,"24,272.976"
272,"26,062.357"
280,"25,585.584"
288,"26,729.024"
296,"26,898.973"
304,"26,508.949"
312,"25,616.212"
320,"23,742.008"
328,"23,664.776"
336,"22,168.831"
344,"22,471.188"
352,"19,829.106"
360,"18,519.459"
368,"17,017.471"
376,"16,071.392"
384,"14,846.565"
392,"13,898.624"
400,"12,824.314"
408,"11,367.388"
416,"10,221.243"
424,"9,397.694"
432,"8,538.702"
440,"7,472.125"
448,"6,542.424"
456,"6,178.812"
464,"5,501.376"
472,"4,731.659"
480,"4,177.114"
488,"3,779.663"
496,"3,102.157"
504,"2,988.549"
512,"2,451.078"
520,"2,262.184"
528,"2,026.329"
536,"1,888.976"
544,"1,537.286"
552,"1,421.02"
560,"1,119.153"
568,978.196
576,992.016
584,823.804
592,837
600,710
608,688
616,588
624,502.812
632,512
640,510.49
648,424
656,445
664,366
672,331
680,317.188
688,260.016
696,251
704,248
712,218
720,186
728,225
736,157
744,176.49
752,123
760,121.812
768,126
776,117
784,94
792,115
800,86
808,88
816,63
824,60
832,62
840,49
848,58
856,40.18
864,41
872,43
880,45
888,39
896,36
904,31.976
912,34
920,28.804
928,25
936,22
944,36.02
952,19
960,13
968,19
976,17
984,15
992,14
"1,000",18
"1,008",12
"1,016",5
"1,024",7
"1,032",8
"1,040",11
"1,048",2
"1,056",9
"1,064",7
"1,072",15
"1,080",11
"1,088",8
"1,096",13
"1,104",7
"1,112",6
"1,120",7
"1,128",4
"1,136",3
"1,144",8
"1,152",7
"1,160",2
"1,168",6.498
"1,176",3
"1,184",4.976
"1,192",2
"1,200",5
"1,208",5
"1,216",7
"1,224",4
"1,232",4
"1,240",3
"1,248",5
"1,256",3
"1,264",3
"1,272",7
"1,280",4
"1,288",6
"1,296",3
"1,304",4
"1,312",4
"1,320",4
"1,328",9
"1,336",6
"1,344",5
"1,352",1
"1,360",2
"1,368",2
"1,376",2
"1,384",3
"1,392",1
"1,400",1
"1,408",
"1,416",1
"1,424",4
"1,432",
"1,440",
"1,448",
"1,456",1
"1,464",3
"1,472",
"1,480",1
"1,488",2
"1,496",2
"1,504",1
"1,512",1
"1,520",1
"1,528",1
"1,536",
"1,544",
"1,552",2
"1,560",1
"1,568",1
"1,576",
"1,584",1
"1,592",
"1,600",
"1,608",3
"1,616",
"1,624",2
"1,632",
"1,640",
"1,648",
"1,656",
"1,664",1
"1,672",
"1,680",1
"1,688",
"1,696",
"1,704",
"1,712",
"1,720",1
"1,728",
"1,736",
"1,744",
"1,752",1
"1,760",
"1,768",
"1,776",1
"1,784",
"1,792",
"1,800",
"1,808",
"1,816",
"1,824",
"1,832",
"1,840",
"1,848",
"1,856",
"1,864",1
"1,872",
"1,880",
"1,888",
"1,896",
"1,904",
"1,912",1
"1,920",
"1,928",
"1,936",
"1,944",
"1,952",1
