Band Value,TSM Count
80,41
88,389
96,"2,985"
104,"7,208.475"
112,"12,932.282"
120,"16,279.82"
128,"23,377.737"
136,"15,275.776"
144,"9,683.863"
152,"5,798.443"
160,"3,950.78"
168,"2,818.788"
176,"2,217"
184,"1,854.235"
192,"1,638.702"
200,"1,500.373"
208,"1,638.749"
216,"1,612.149"
224,"1,699.965"
232,"1,633.608"
240,"1,679.231"
248,"1,883.11"
256,"1,855.604"
264,"2,114.106"
272,"2,435.067"
280,"2,742.584"
288,"2,877.89"
296,"3,439.655"
304,"3,975.737"
312,"4,781.973"
320,"5,772.816"
328,"7,115.231"
336,"8,689.369"
344,"11,142.588"
352,"13,133.49"
360,"16,140.122"
368,"19,163.784"
376,"23,026.373"
384,"26,448.133"
392,"29,340.478"
400,"30,352.486"
408,"31,067.643"
416,"30,946.6"
424,"30,841.576"
432,"29,768.184"
440,"30,298.886"
448,"28,397.816"
456,"27,637.957"
464,"26,969.133"
472,"26,044.596"
480,"25,305.569"
488,"23,787.557"
496,"22,575.659"
504,"20,419.957"
512,"18,933.016"
520,"16,538.31"
528,"14,724.396"
536,"13,656.776"
544,"11,150.498"
552,"9,735.506"
560,"8,367.204"
568,"7,239.627"
576,"6,078.988"
584,"5,489.671"
592,"4,660.988"
600,"4,053.949"
608,"3,539.388"
616,"3,046.702"
624,"2,742.224"
632,"2,242.51"
640,"2,037.984"
648,"1,919.757"
656,"1,604.988"
664,"1,454.302"
672,"1,379.82"
680,"1,199.435"
688,"1,066.361"
696,909.365
704,858.416
712,789.506
720,735.216
728,674.969
736,551.047
744,500.957
752,474.569
760,443.392
768,396
776,320.016
784,331.176
792,288
800,289
808,273.545
816,230.812
824,196.012
832,173.58
840,167
848,167
856,133
864,153
872,132.737
880,83
888,95.231
896,68
904,87.58
912,83
920,69
928,82.157
936,71
944,58.161
952,55
960,54
968,40
976,53
984,35
992,27
"1,000",39
"1,008",29.804
"1,016",24
"1,024",16
"1,032",28
"1,040",31
"1,048",23
"1,056",22
"1,064",30
"1,072",18
"1,080",24
"1,088",16
"1,096",12
"1,104",21
"1,112",11
"1,120",8
"1,128",12
"1,136",7
"1,144",5
"1,152",8
"1,160",12
"1,168",6
"1,176",7.498
"1,184",4
"1,192",11
"1,200",3.976
"1,208",16
"1,216",6
"1,224",5
"1,232",7
"1,240",4
"1,248",9
"1,256",5
"1,264",3
"1,272",7
"1,280",8
"1,288",4
"1,296",5
"1,304",3
"1,312",
"1,320",1
"1,328",3
"1,336",
"1,344",2
"1,352",2
"1,360",3
"1,368",5
"1,376",4
"1,384",6
"1,392",1
"1,400",
"1,408",2
"1,416",4
"1,424",2
"1,432",1
"1,440",
"1,448",
"1,456",3
"1,464",2
"1,472",1
"1,480",2
"1,488",3
"1,496",2
"1,504",1
"1,512",2
"1,520",
"1,528",
"1,536",
"1,544",1
"1,552",
"1,560",
"1,568",1
"1,576",1
"1,584",
"1,592",
"1,600",
"1,608",
"1,616",1
"1,624",
"1,632",
"1,640",
"1,648",
"1,656",
"1,664",
"1,672",
"1,680",1
"1,688",1
"1,696",
"1,704",
"1,712",
"1,720",
"1,728",
"1,736",
"1,744",1
"1,752",1
"1,760",
"1,768",
"1,776",
"1,784",
"1,792",
"1,800",2
"1,808",
"1,816",
"1,824",
"1,832",
"1,840",
"1,848",
"1,856",
"1,864",1
