Band Value,TSM Count
136,185
144,448.906
152,803.478
160,"3,514.165"
168,"6,107.475"
176,"8,022.635"
184,"11,901.635"
192,"9,847.275"
200,"7,767.455"
208,"5,706.031"
216,"4,247.165"
224,"3,507.906"
232,"3,267.051"
240,"3,241.643"
248,"3,467.784"
256,"3,294.192"
264,"3,420.78"
272,"3,434.827"
280,"3,606.129"
288,"3,861.702"
296,"4,220.196"
304,"4,755.922"
312,"5,707.275"
320,"6,982.718"
328,"9,246.533"
336,"12,201.89"
344,"15,238.682"
352,"17,263.89"
360,"19,482.455"
368,"20,109.886"
376,"21,721.475"
384,"24,010.427"
392,"26,986.208"
400,"28,386.596"
408,"30,267.925"
416,"30,808.125"
424,"30,878.969"
432,"30,201.894"
440,"30,105.949"
448,"27,304.22"
456,"26,153.082"
464,"24,437.698"
472,"23,693.455"
480,"22,726.871"
488,"22,307.631"
496,"21,586.729"
504,"20,451.541"
512,"19,249.729"
520,"17,846.608"
528,"16,276.537"
536,"15,850.898"
544,"13,324.631"
552,"11,973.086"
560,"10,759.329"
568,"9,585.522"
576,"8,322.718"
584,"7,212.294"
592,"6,365.706"
600,"5,507.318"
608,"4,793.373"
616,"3,997.596"
624,"3,824.106"
632,"3,164.651"
640,"2,864.494"
648,"2,575.451"
656,"2,420.847"
664,"2,168.929"
672,"1,986.243"
680,"1,801.078"
688,"1,692.322"
696,"1,481.196"
704,"1,429.004"
712,"1,269.063"
720,"1,237.376"
728,"1,068.412"
736,977.431
744,932
752,852.867
760,754
768,702.016
776,621
784,597
792,502.867
800,479.188
808,461.502
816,473
824,395
832,405.886
840,364
848,326
856,293.812
864,321.698
872,318.839
880,267.592
888,219.173
896,199
904,207.816
912,193.18
920,172.016
928,171.004
936,160.976
944,154.024
952,137.98
960,117.51
968,113
976,116.82
984,106.141
992,93
"1,000",81
"1,008",72
"1,016",64.02
"1,024",81
"1,032",54
"1,040",61
"1,048",53
"1,056",45
"1,064",48
"1,072",51
"1,080",47
"1,088",43
"1,096",31
"1,104",30
"1,112",18
"1,120",26
"1,128",22
"1,136",23
"1,144",23
"1,152",21
"1,160",13
"1,168",9
"1,176",19
"1,184",9
"1,192",20.498
"1,200",8
"1,208",10
"1,216",4
"1,224",14
"1,232",11.976
"1,240",13
"1,248",9
"1,256",9
"1,264",4
"1,272",8
"1,280",6
"1,288",3
"1,296",10
"1,304",2
"1,312",4
"1,320",4
"1,328",3
"1,336",3
"1,344",8
"1,352",8
"1,360",1
"1,368",2
"1,376",2
"1,384",
"1,392",1
"1,400",3
"1,408",3
"1,416",2
"1,424",1
"1,432",2
"1,440",2
"1,448",2
"1,456",2
"1,464",
"1,472",2
"1,480",1
"1,488",1
"1,496",
"1,504",
"1,512",1
"1,520",1
"1,528",
"1,536",
"1,544",
"1,552",
"1,560",
"1,568",1
"1,576",
"1,584",
"1,592",
"1,600",
"1,608",
"1,616",2
"1,624",
"1,632",
"1,640",1
"1,648",
"1,656",1
"1,664",1
"1,672",
"1,680",
"1,688",2
"1,696",
"1,704",
"1,712",
"1,720",
"1,728",
"1,736",
"1,744",1
"1,752",
"1,760",1
