Band Value,TSM Count
16,8
32,"1,240.016"
48,"1,768.671"
64,"6,258.702"
80,"13,460.035"
96,"9,898.29"
112,"3,889.176"
128,"2,881.082"
144,"4,004.459"
160,"4,908.655"
176,"4,925.643"
192,"4,711.949"
208,"4,926.749"
224,"5,234.584"
240,"6,353.635"
256,"8,179.635"
272,"10,329.537"
288,"14,351.447"
304,"20,485.706"
320,"28,522.706"
336,"41,842.765"
352,"51,938.329"
368,"58,787.776"
384,"61,297.816"
400,"59,233.769"
416,"53,345.561"
432,"49,797.024"
448,"43,767.082"
464,"38,844.086"
480,"34,460.675"
496,"28,418.149"
512,"21,931.392"
528,"18,443.529"
544,"13,011.671"
560,"10,149.8"
576,"8,409.333"
592,"6,793.71"
608,"5,693.078"
624,"4,637.035"
640,"4,138.349"
656,"3,800.118"
672,"3,100.522"
688,"2,861.149"
704,"2,435.831"
720,"2,352.965"
736,"1,975"
752,"1,992.957"
768,"1,966.894"
784,"1,866.976"
800,"1,772.459"
816,"1,754.557"
832,"1,817.447"
848,"1,768.529"
864,"1,847.671"
880,"1,806.812"
896,"1,796.086"
912,"1,734.667"
928,"1,656.455"
944,"1,551.447"
960,"1,536.063"
976,"1,497.282"
992,"1,584.373"
"1,008","1,394.875"
"1,024","1,329.529"
"1,040","1,454.588"
"1,056","1,313.404"
"1,072","1,378.776"
"1,088","1,334.318"
"1,104","1,148.945"
"1,120","1,129.357"
"1,136",952.447
"1,152",918.675
"1,168",925.843
"1,184",701.094
"1,200",700.565
"1,216",608.627
"1,232",585.718
"1,248",610.337
"1,264",514.796
"1,280",494.259
"1,296",437.247
"1,312",422.384
"1,328",415.624
"1,344",431.416
"1,360",371.2
"1,376",391.839
"1,392",328.545
"1,408",257.027
"1,424",268.847
"1,440",254.808
"1,456",245.384
"1,472",255.173
"1,488",191.408
"1,504",204.498
"1,520",187
"1,536",153
"1,552",160.565
"1,568",138.008
"1,584",148.667
"1,600",141
"1,616",122.259
"1,632",109
"1,648",136
"1,664",111
"1,680",103.875
"1,696",87
"1,712",109
"1,728",90
"1,744",94.302
"1,760",83
"1,776",65
"1,792",80
"1,808",67
"1,824",75
"1,840",30
"1,856",35
"1,872",24
"1,888",17.416
"1,904",15.063
"1,920",27
"1,936",16
"1,952",18.612
"1,968",11
"1,984",15.698
"2,000",13
"2,016",9.373
"2,032",15.804
"2,048",3.373
"2,064",7
"2,080",11
"2,096",3.545
"2,112",1
"2,128",3
"2,144",4.314
"2,160",1.125
"2,176",2
"2,192",2
"2,208",2
"2,224",4.251
"2,240",3.502
"2,256",
"2,272",
"2,288",0.125
"2,304",2.251
"2,320",1.282
"2,336",1
"2,352",
"2,368",
"2,384",
"2,400",
"2,416",
"2,432",
"2,448",
"2,464",
"2,480",
"2,496",
"2,512",
"2,528",
"2,544",
"2,560",3
"2,576",
"2,592",
"2,608",
"2,624",
"2,640",
"2,656",
"2,672",
"2,688",
"2,704",
"2,720",
"2,736",
"2,752",1
