Band Value,TSM Count
136,1
144,90
152,581.235
160,"2,369.51"
168,"6,997.047"
176,"16,924.514"
184,"33,407.094"
192,"52,476.4"
200,"68,487.231"
208,"73,558.592"
216,"66,584.369"
224,"57,743.396"
232,"49,473.055"
240,"42,914.498"
248,"37,756.349"
256,"32,485.145"
264,"29,952.267"
272,"27,142.11"
280,"25,321.671"
288,"23,130.184"
296,"21,098.816"
304,"18,660.973"
312,"16,708.125"
320,"14,657.031"
328,"13,339.667"
336,"11,989.529"
344,"10,795.608"
352,"9,140.373"
360,"7,591.686"
368,"6,812.914"
376,"6,031.894"
384,"5,259.757"
392,"4,525.227"
400,"3,895.031"
408,"3,392.973"
416,"3,122.569"
424,"2,798.282"
432,"2,432.596"
440,"2,383.8"
448,"2,040.827"
456,"1,822.784"
464,"1,629"
472,"1,520.608"
480,"1,407"
488,"1,369"
496,"1,321"
504,"1,238.18"
512,"1,181.976"
520,"1,081.2"
528,"1,040"
536,"1,010.788"
544,930
552,855
560,723
568,761
576,688.188
584,706
592,631.494
600,565
608,551
616,451
624,425
632,349
640,329.49
648,308
656,288.49
664,221
672,209
680,192
688,165.016
696,176
704,164
712,139
720,130.812
728,133
736,122
744,87
752,90
760,81
768,84
776,72
784,76
792,57
800,61
808,62.976
816,41
824,47.804
832,35.18
840,33
848,31
856,30
864,30
872,26.02
880,23
888,22
896,28
904,30
912,20
920,21
928,14
936,14
944,10
952,18
960,13
968,15
976,9
984,7
992,14
"1,000",7
"1,008",13
"1,016",10
"1,024",10
"1,032",6
"1,040",6
"1,048",3
"1,056",8
"1,064",9.976
"1,072",9
"1,080",5.498
"1,088",4
"1,096",5
"1,104",1
"1,112",1
"1,120",3
"1,128",3
"1,136",5
"1,144",3
"1,152",2
"1,160",3
"1,168",1
"1,176",6
"1,184",3
"1,192",2
"1,200",1
"1,208",2
"1,216",2
"1,224",3
"1,232",1
"1,240",3
"1,248",1
"1,256",1
"1,264",1
"1,272",4
"1,280",3
"1,288",
"1,296",
"1,304",2
"1,312",1
"1,320",1
"1,328",1
"1,336",3
"1,344",2
"1,352",4
"1,360",1
"1,368",
"1,376",
"1,384",1
"1,392",1
"1,400",3
"1,408",1
"1,416",
"1,424",1
"1,432",1
"1,440",
"1,448",
"1,456",
"1,464",
"1,472",
"1,480",
"1,488",
"1,496",1
"1,504",
"1,512",
"1,520",1
"1,528",
"1,536",
"1,544",
"1,552",
"1,560",
"1,568",1
"1,576",1
"1,584",
"1,592",
"1,600",
"1,608",
"1,616",
"1,624",
"1,632",
"1,640",1
"1,648",
"1,656",
"1,664",1
"1,672",
"1,680",
"1,688",
"1,696",
"1,704",
"1,712",
"1,720",
"1,728",1
