Band Value,TSM Count
112,2
120,19
128,99
136,525.267
144,"1,691"
152,"4,769.404"
160,"9,967.816"
168,"17,864.518"
176,"27,171.482"
184,"38,315.686"
192,"49,905.71"
200,"59,559.906"
208,"63,505.655"
216,"59,310.008"
224,"49,335.776"
232,"42,530.584"
240,"37,483.467"
248,"34,407.965"
256,"29,730.745"
264,"27,592.839"
272,"24,853.141"
280,"22,582.82"
288,"21,118.941"
296,"20,080.953"
304,"18,345.71"
312,"17,087.749"
320,"15,612.557"
328,"14,647.055"
336,"13,363.718"
344,"12,574.298"
352,"10,997.784"
360,"9,848.596"
368,"8,577.455"
376,"7,766.043"
384,"6,900.306"
392,"6,087.651"
400,"5,290.584"
408,"4,576.961"
416,"3,926.914"
424,"3,469.016"
432,"3,227.145"
440,"3,044.624"
448,"2,596.788"
456,"2,389.035"
464,"2,125.627"
472,"1,906.106"
480,"1,735.188"
488,"1,590.588"
496,"1,513"
504,"1,295.976"
512,"1,235.145"
520,"1,180"
528,"1,066.443"
536,"1,154.812"
544,"1,008.427"
552,945.098
560,843.02
568,791
576,773
584,730
592,690
600,635.188
608,532.29
616,570
624,492.49
632,457.49
640,426
648,351
656,322
664,276
672,251
680,231
688,239
696,189
704,138.976
712,147
720,145.812
728,132
736,116
744,99.18
752,86
760,71
768,77.804
776,61
784,71
792,73
800,43
808,39
816,38
824,31
832,46.02
840,29
848,40
856,42
864,32
872,21
880,31
888,29
896,19
904,16
912,11
920,11
928,13
936,16
944,14
952,8
960,11
968,10
976,10
984,10
992,10
"1,000",8
"1,008",4
"1,016",4
"1,024",13
"1,032",8
"1,040",5
"1,048",6
"1,056",7
"1,064",5
"1,072",8
"1,080",9
"1,088",4
"1,096",5
"1,104",6
"1,112",1.976
"1,120",5.498
"1,128",2
"1,136",1
"1,144",3
"1,152",2
"1,160",3
"1,168",2
"1,176",4
"1,184",5
"1,192",1
"1,200",2
"1,208",3
"1,216",2
"1,224",2
"1,232",1
"1,240",1
"1,248",3
"1,256",1
"1,264",1
"1,272",1
"1,280",
"1,288",1
"1,296",
"1,304",2
"1,312",3
"1,320",1
"1,328",
"1,336",
"1,344",
"1,352",2
"1,360",2
"1,368",2
"1,376",2
"1,384",3
"1,392",1
"1,400",
"1,408",1
"1,416",
"1,424",
"1,432",3
"1,440",
"1,448",3
"1,456",2
"1,464",
"1,472",
"1,480",1
"1,488",
"1,496",2
"1,504",3
"1,512",
"1,520",
"1,528",
"1,536",
"1,544",1
"1,552",1
"1,560",
"1,568",
"1,576",
"1,584",
"1,592",
"1,600",3
"1,608",
"1,616",
"1,624",2
"1,632",
"1,640",
"1,648",1
"1,656",
"1,664",
"1,672",
"1,680",
"1,688",
"1,696",
"1,704",
"1,712",
"1,720",
"1,728",
"1,736",
"1,744",
"1,752",
"1,760",
"1,768",
"1,776",
"1,784",
"1,792",
"1,800",1
"1,808",
"1,816",
"1,824",
"1,832",
"1,840",
"1,848",
"1,856",
"1,864",
"1,872",
"1,880",
"1,888",
"1,896",
"1,904",
"1,912",1
"1,920",
"1,928",
"1,936",
"1,944",
"1,952",
"1,960",
"1,968",
"1,976",
"1,984",
"1,992",
"2,000",
"2,008",
"2,016",
"2,024",
"2,032",
"2,040",
"2,048",
"2,056",
"2,064",1
