Band Value,TSM Count
48,380.012
64,"35,546.996"
80,"54,523.847"
96,"20,766.89"
112,"21,175.686"
128,"35,472.494"
144,"56,054.545"
160,"69,859.796"
176,"68,698.749"
192,"65,372.184"
208,"59,424.408"
224,"52,123.51"
240,"46,689.71"
256,"39,682.753"
272,"34,459.2"
288,"30,084.361"
304,"25,311.827"
320,"21,467.643"
336,"18,094.455"
352,"14,534.729"
368,"12,151.169"
384,"10,063.698"
400,"8,562.6"
416,"6,947.376"
432,"5,698.843"
448,"4,489.89"
464,"3,656.18"
480,"2,945.992"
496,"2,457"
512,"1,949.812"
528,"1,826"
544,"1,440.188"
560,"1,232.02"
576,"1,075"
592,929
608,770
624,675.49
640,558
656,484.506
672,416
688,349
704,262.812
720,237
736,207
752,157
768,142.976
784,110.18
800,98
816,82
832,68
848,59
864,58.824
880,47
896,37
912,43
928,22
944,30
960,24
976,17
992,10
"1,008",13
"1,024",15.976
"1,040",14.498
"1,056",12
"1,072",9
"1,088",16
"1,104",8
"1,120",6
"1,136",3
"1,152",6
"1,168",8
"1,184",5
"1,200",3
"1,216",3
"1,232",4
"1,248",3
"1,264",2
"1,280",4
"1,296",2
"1,312",3
"1,328",
"1,344",
"1,360",
"1,376",2
"1,392",1
"1,408",9
"1,424",3
"1,440",2
"1,456",1
"1,472",1
"1,488",2
"1,504",1
"1,520",
"1,536",1
"1,552",3
"1,568",
"1,584",
"1,600",1
"1,616",
"1,632",
"1,648",1
"1,664",1
"1,680",
"1,696",
"1,712",1
"1,728",1
"1,744",
"1,760",
"1,776",2
"1,792",
"1,808",1
"1,824",
"1,840",
"1,856",
"1,872",
"1,888",
"1,904",
"1,920",1
"1,936",
"1,952",1
"1,968",
"1,984",
"2,000",
"2,016",
"2,032",
"2,048",
"2,064",
"2,080",1
"2,096",
"2,112",
"2,128",
"2,144",
"2,160",
"2,176",
"2,192",
"2,208",
"2,224",
"2,240",
"2,256",
"2,272",
"2,288",
"2,304",
"2,320",1
